時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,180,150,130,70,30,15,0,0
15,190,160,140,75,45,10,0,0
30,190,160,130,75,50,40,0,0
45,180,150,130,80,55,60,0,0
60,170,150,130,80,55,60,5,20
75,170,140,130,80,55,50,5,20
90,150,140,120,80,60,50,5,30
105,140,130,110,80,60,50,5,35
120,130,120,100,80,60,50,25,35
135,130,110,110,80,55,50,30,35
150,130,100,110,80,55,50,30,35
165,120,100,110,80,55,50,20,40
180,130,95,80,75,60,50,20,40
195,130,110,80,75,60,45,40,40
210,140,110,90,75,60,45,15,30
225,140,115,90,75,55,45,30,30
240,140,95,90,75,55,50,30,30
255,130,100,80,75,50,50,35,30
270,130,110,100,70,50,50,20,30
285,120,100,100,75,50,45,25,40
300,130,100,100,75,55,45,30,35
315,130,110,100,75,65,45,30,35
330,130,130,90,75,65,45,30,50
345,140,125,90,75,60,55,35,45
360,140,120,90,75,60,55,20,45
375,140,100,100,75,50,50,25,35
390,140,100,100,80,55,50,25,40
405,140,100,100,80,50,50,30,35
420,130,100,110,75,50,50,20,35
435,140,100,100,70,50,45,20,45
450,140,100,100,70,50,45,25,50
465,140,115,100,70,50,45,40,45
480,140,110,100,60,50,45,35,35
495,140,110,100,60,50,40,25,30
510,145,115,100,65,50,40,20,30
525,145,105,100,65,50,40,15,30
540,160,110,110,70,50,45,30,45
555,155,110,90,70,50,50,15,35
570,145,95,100,70,50,40,20,45
585,140,95,100,65,45,45,25,30
600,135,95,100,60,45,45,25,25
615,130,95,100,60,45,40,15,20
630,0,95,100,60,45,40,20,35
645,0,85,0,60,45,40,20,35
660,0,0,0,60,40,40,0,30
675,0,0,0,60,35,30,0,30
690,0,0,0,0,25,0,0,20
705,0,0,0,0,0,0,0,0
