日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-26,3,5632.0,661,"[6, 4, 4, 4, 1, 3, 6, 6, 6, 5, 3, 4, 4, 3, 6, 4, 0]","[6, 4, 1, 3, 6, 5, 3, 4, 3, 6, 4, 0]","[0, 45, 105, 120, 180, 255, 300, 345, 405, 465, 525, 570]"
2022-07-26,8,5572.0,722,"[6, 5, 6, 1, 5, 3, 2, 5, 3, 6, 7, 7, 2, 5, 4, 4, 4, 2, 5, 4]","[6, 5, 6, 1, 5, 3, 2, 5, 3, 6, 7, 2]","[0, 45, 90, 165, 255, 300, 345, 420, 465, 510, 570, 645]"
2022-07-26,2,4691.0,560,"[4, 5, 2, 5, 7, 3, 6, 2, 2, 3, 3, 7, 7]","[4, 5, 2, 5, 7, 3, 6, 2, 3, 7]","[0, 30, 60, 150, 180, 255, 300, 360, 435, 495]"
2022-07-26,10,6101.0,730,"[3, 4, 4, 4, 5, 6, 4, 3, 1, 0, 5, 3, 4, 7, 6, 0, 5, 6, 3, 2]","[3, 4, 5, 6, 4, 3, 1, 0, 5, 3, 4, 7, 6]","[0, 75, 120, 150, 210, 255, 315, 420, 510, 555, 600, 645, 705]"
2022-07-26,10,4675.0,623,"[6, 6, 1, 3, 3, 5, 0, 5, 3, 4, 3, 3, 3, 2]","[6, 1, 3, 5, 0, 5, 3, 4, 3, 2]","[0, 45, 165, 225, 270, 375, 420, 465, 510, 555]"
2022-07-26,5,4691.0,724,"[1, 3, 3, 0, 5, 2, 5, 2, 3, 0, 4, 1, 1, 6, 4, 3, 0, 2, 0, 3]","[1, 3, 0, 5, 2, 5, 2, 3, 0, 4]","[0, 135, 195, 330, 375, 450, 495, 555, 615, 705]"
2022-07-26,8,4728.0,708,"[7, 4, 2, 4, 1, 7, 6, 3, 0, 1, 4, 5, 6, 1, 3, 1, 5, 1, 5, 1]","[7, 4, 2, 4, 1, 7, 6, 3, 0, 1]","[0, 45, 105, 210, 255, 345, 420, 480, 525, 630]"
2022-07-26,7,5650.0,717,"[3, 5, 4, 6, 0, 7, 1, 4, 3, 3, 2, 6, 6, 4]","[3, 5, 4, 6, 0, 7, 1, 4, 3, 2, 6, 4]","[0, 75, 120, 165, 240, 345, 420, 510, 555, 600, 660, 705]"
2022-07-26,5,5193.0,718,"[6, 7, 4, 0, 7, 6, 3, 7, 6, 3, 0, 2, 3, 5, 6, 7]","[6, 7, 4, 0, 7, 6, 3, 7, 6, 3, 0]","[0, 45, 90, 150, 255, 330, 405, 465, 540, 585, 630]"
2022-07-26,4,5213.0,714,"[3, 7, 4, 1, 3, 4, 2, 2, 3, 0, 1, 1, 4, 3, 4, 2, 1, 0, 3, 5]","[3, 7, 4, 1, 3, 4, 2, 3, 0, 1, 4]","[0, 75, 135, 195, 285, 345, 405, 465, 510, 600, 705]"
2022-07-26,2,5684.0,710,"[6, 7, 4, 7, 3, 4, 4, 1, 4, 6, 0, 2, 4, 5, 2, 5, 4, 2]","[6, 7, 4, 7, 3, 4, 1, 4, 6, 0, 2, 4]","[0, 45, 90, 150, 210, 270, 315, 420, 465, 525, 615, 690]"
2022-07-26,6,5186.0,732,"[7, 2, 2, 7, 7, 1, 5, 7, 7, 2, 3, 3, 4, 6, 6, 0, 1, 7]","[7, 2, 7, 1, 5, 7, 2, 3, 4, 6, 0]","[0, 45, 150, 210, 300, 360, 435, 495, 540, 585, 645]"
2022-07-26,4,6128.0,729,"[4, 7, 6, 6, 2, 5, 3, 4, 1, 1, 1, 1, 4, 3, 7, 1, 3, 2, 0, 3]","[4, 7, 6, 2, 5, 3, 4, 1, 4, 3, 7, 1, 3]","[0, 30, 75, 150, 195, 240, 300, 345, 435, 480, 525, 600, 690]"
2022-07-26,6,5173.0,722,"[4, 7, 1, 0, 4, 1, 5, 3, 5, 4, 2, 4, 7, 3, 0, 6, 6]","[4, 7, 1, 0, 4, 1, 5, 3, 5, 4, 2]","[0, 30, 75, 195, 330, 390, 480, 525, 570, 615, 645]"
2022-07-26,9,6091.0,707,"[5, 7, 4, 3, 5, 3, 1, 2, 1, 5, 4, 7, 3, 1, 2, 1, 4, 0, 0]","[5, 7, 4, 3, 5, 3, 1, 2, 1, 5, 4, 7, 3]","[0, 30, 75, 120, 180, 225, 285, 360, 435, 525, 570, 615, 675]"
2022-07-26,6,5120.0,709,"[1, 3, 3, 6, 3, 2, 2, 3, 3, 5, 2, 5, 0, 5, 5, 7]","[1, 3, 6, 3, 2, 3, 5, 2, 5, 0, 5]","[0, 135, 195, 255, 315, 375, 435, 465, 540, 585, 690]"
2022-07-26,3,6112.0,699,"[4, 5, 7, 7, 7, 3, 4, 6, 3, 2, 6, 6, 7, 7, 4, 2, 5]","[4, 5, 7, 3, 4, 6, 3, 2, 6, 7, 4, 2, 5]","[0, 30, 60, 120, 180, 225, 285, 345, 420, 480, 555, 600, 675]"
2022-07-26,7,5131.0,710,"[1, 5, 6, 1, 2, 2, 3, 7, 6, 4, 5, 3, 5, 2, 3, 0, 0, 3, 4, 5]","[1, 5, 6, 1, 2, 3, 7, 6, 4, 5, 3]","[0, 135, 165, 240, 330, 405, 465, 525, 600, 630, 675]"
2022-07-26,8,6077.0,709,"[6, 7, 6, 2, 3, 5, 4, 7, 7, 6, 3, 1, 3, 5, 7, 2, 7, 3, 5, 6]","[6, 7, 6, 2, 3, 5, 4, 7, 6, 3, 1, 3, 5]","[0, 45, 90, 165, 210, 270, 315, 375, 450, 495, 555, 645, 690]"
2022-07-26,7,6158.0,732,"[6, 7, 7, 4, 0, 7, 3, 4, 5, 5, 7, 2, 4, 4, 3, 3, 1, 7, 7, 6]","[6, 7, 4, 0, 7, 3, 4, 5, 7, 2, 4, 3, 7]","[0, 45, 90, 150, 255, 330, 390, 435, 465, 540, 615, 645, 675]"
2022-07-26,7,5171.0,728,"[2, 6, 6, 1, 4, 5, 6, 0, 4, 2, 7, 3, 5, 3, 4, 2, 3, 6]","[2, 6, 1, 4, 5, 6, 0, 4, 2, 7, 3]","[0, 120, 165, 270, 315, 360, 435, 525, 570, 630, 690]"
2022-07-26,5,5165.0,663,"[7, 1, 1, 6, 2, 2, 6, 6, 3, 5, 5, 5, 7, 4, 3, 2, 2, 2, 1]","[7, 1, 6, 2, 6, 3, 5, 7, 4, 3, 2]","[0, 45, 180, 240, 315, 390, 450, 480, 555, 615, 660]"
2022-07-26,6,5596.0,726,"[4, 0, 5, 2, 5, 3, 2, 5, 6, 5, 4, 4, 2, 3, 5, 4, 0, 2, 7, 3]","[4, 0, 5, 2, 5, 3, 2, 5, 6, 5, 4, 2]","[0, 30, 180, 210, 300, 345, 390, 465, 510, 570, 615, 645]"
2022-07-26,7,4241.0,521,"[7, 3, 3, 3, 4, 2, 3, 5, 4, 6, 2, 2]","[7, 3, 4, 2, 3, 5, 4, 6, 2]","[0, 45, 105, 165, 225, 285, 330, 390, 450]"
2022-07-26,10,5149.0,726,"[4, 3, 6, 0, 6, 2, 1, 3, 1, 5, 3, 4, 4, 0, 5, 1]","[4, 3, 6, 0, 6, 2, 1, 3, 1, 5, 3]","[0, 30, 90, 165, 285, 360, 420, 525, 570, 660, 690]"
2022-07-26,10,5147.0,663,"[5, 4, 6, 6, 6, 7, 0, 6, 2, 6, 2, 5, 4, 1]","[5, 4, 6, 7, 0, 6, 2, 6, 2, 5, 4]","[0, 30, 75, 150, 210, 330, 405, 465, 540, 600, 645]"
2022-07-26,2,6578.0,715,"[4, 5, 7, 4, 2, 7, 7, 7, 6, 3, 4, 7, 3, 5, 6, 6, 0, 6, 4]","[4, 5, 7, 4, 2, 7, 6, 3, 4, 7, 3, 5, 6, 6]","[0, 30, 60, 120, 165, 225, 285, 360, 405, 450, 525, 570, 615, 690]"
2022-07-26,4,5602.0,742,"[3, 6, 3, 0, 1, 5, 5, 6, 6, 6, 7, 7, 3, 4, 5, 6, 3, 4, 7, 1]","[3, 6, 3, 0, 1, 5, 6, 7, 3, 4, 5, 6]","[0, 75, 135, 195, 330, 420, 465, 525, 615, 645, 675, 705]"
2022-07-26,10,5638.0,710,"[3, 7, 6, 3, 2, 2, 2, 6, 7, 4, 6, 5, 7, 3, 4, 2]","[3, 7, 6, 3, 2, 6, 7, 4, 6, 5, 7, 3]","[0, 75, 135, 210, 255, 345, 405, 465, 510, 570, 615, 675]"
2022-07-26,6,6078.0,758,"[4, 4, 4, 1, 4, 1, 2, 2, 3, 5, 6, 5, 6, 7, 6, 0, 7, 4, 0]","[4, 1, 4, 1, 2, 3, 5, 6, 5, 6, 7, 6, 7]","[0, 30, 165, 210, 300, 360, 405, 450, 510, 540, 600, 660, 705]"
2022-07-26,2,5629.0,713,"[6, 2, 6, 3, 2, 1, 2, 7, 4, 5, 6, 4, 3, 3, 3, 5, 2, 4]","[6, 2, 6, 3, 2, 1, 2, 7, 4, 5, 6, 4]","[0, 45, 135, 210, 270, 330, 435, 495, 570, 615, 660, 690]"
2022-07-26,5,5157.0,706,"[6, 7, 7, 0, 6, 1, 1, 7, 6, 3, 4, 5, 2, 3, 4, 6, 5]","[6, 7, 0, 6, 1, 7, 6, 3, 4, 5, 2]","[0, 45, 90, 195, 255, 345, 435, 495, 540, 585, 630]"
2022-07-26,9,5166.0,708,"[6, 3, 7, 1, 2, 0, 7, 6, 3, 7, 5, 3, 5, 0, 3, 0, 4]","[6, 3, 7, 1, 2, 0, 7, 6, 3, 7, 5]","[0, 45, 105, 165, 255, 330, 435, 510, 570, 630, 690]"
2022-07-26,9,5572.0,651,"[5, 4, 5, 1, 3, 1, 5, 4, 5, 7, 3, 5, 5]","[5, 4, 5, 1, 3, 1, 5, 4, 5, 7, 3, 5]","[0, 30, 75, 135, 195, 270, 360, 405, 450, 495, 570, 615]"
2022-07-26,2,6109.0,716,"[5, 3, 4, 3, 1, 7, 0, 4, 4, 5, 7, 4, 4, 5, 3, 6, 6, 3, 5]","[5, 3, 4, 3, 1, 7, 0, 4, 5, 7, 4, 5, 3]","[0, 30, 90, 150, 210, 300, 360, 465, 495, 540, 615, 645, 675]"
2022-07-26,6,6076.0,712,"[5, 3, 5, 1, 4, 7, 5, 3, 5, 2, 2, 4, 4, 3, 0, 2, 3, 7, 5]","[5, 3, 5, 1, 4, 7, 5, 3, 5, 2, 4, 3, 0]","[0, 30, 90, 120, 180, 240, 315, 360, 420, 450, 525, 570, 615]"
2022-07-26,7,5151.0,728,"[7, 7, 6, 1, 0, 5, 6, 3, 7, 7, 5, 0, 0, 4, 5, 0, 2, 4, 2]","[7, 6, 1, 0, 5, 6, 3, 7, 5, 0, 4]","[0, 45, 90, 195, 330, 375, 435, 495, 570, 600, 705]"
2022-07-26,5,5690.0,709,"[7, 2, 3, 7, 6, 3, 3, 4, 4, 2, 4, 3, 3, 2, 7, 7, 3, 2]","[7, 2, 3, 7, 6, 3, 4, 2, 4, 3, 2, 7]","[0, 45, 150, 210, 285, 345, 405, 435, 510, 540, 585, 660]"
2022-07-26,8,5659.0,715,"[7, 2, 1, 6, 4, 3, 7, 6, 3, 6, 7, 4, 5, 4, 7, 7]","[7, 2, 1, 6, 4, 3, 7, 6, 3, 6, 7, 4]","[0, 45, 150, 240, 300, 345, 390, 465, 525, 570, 645, 705]"
2022-07-26,7,4187.0,537,"[2, 2, 6, 6, 5, 4, 5, 3, 4, 1, 5]","[2, 6, 5, 4, 5, 3, 4, 1, 5]","[0, 120, 165, 210, 255, 300, 345, 420, 510]"
2022-07-26,7,4730.0,715,"[3, 3, 5, 4, 0, 1, 4, 4, 4, 7, 0, 0, 2, 2, 7, 7, 6, 7, 6, 6]","[3, 5, 4, 0, 1, 4, 7, 0, 2, 7]","[0, 75, 120, 165, 300, 375, 435, 495, 600, 660]"
2022-07-26,3,5173.0,724,"[3, 3, 1, 3, 7, 7, 3, 6, 4, 0, 2, 5, 3, 4, 2, 1, 0, 2, 5]","[3, 1, 3, 7, 3, 6, 4, 0, 2, 5, 3]","[0, 75, 195, 255, 330, 390, 450, 495, 600, 660, 690]"
2022-07-26,4,6122.0,722,"[6, 7, 7, 6, 7, 6, 7, 5, 2, 7, 3, 7, 4, 3, 3, 0, 4, 5, 3, 1]","[6, 7, 6, 7, 6, 7, 5, 2, 7, 3, 7, 4, 3]","[0, 45, 90, 165, 225, 285, 360, 420, 480, 540, 600, 660, 690]"
2022-07-26,10,6150.0,706,"[5, 4, 3, 7, 4, 1, 7, 4, 3, 4, 3, 3, 6, 4, 1, 5, 7, 6, 5, 2]","[5, 4, 3, 7, 4, 1, 7, 4, 3, 4, 3, 6, 4]","[0, 30, 75, 150, 210, 270, 360, 435, 480, 525, 570, 615, 675]"
