日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-02,6,6536.0,742,"[4, 5, 1, 7, 3, 5, 5, 5, 3, 6, 5, 6, 4, 4, 7, 6, 6, 3, 3, 7]","[4, 5, 1, 7, 3, 5, 3, 6, 5, 6, 4, 7, 6, 3]","[0, 30, 60, 210, 270, 330, 375, 435, 495, 540, 585, 615, 675, 705]"
2022-07-02,2,6597.0,738,"[1, 7, 4, 5, 4, 1, 7, 4, 3, 5, 4, 4, 4, 3, 3, 1, 7, 2, 6, 6]","[1, 7, 4, 5, 4, 1, 7, 4, 3, 5, 4, 3, 1, 7]","[0, 30, 75, 135, 195, 225, 315, 390, 435, 480, 525, 555, 600, 675]"
2022-07-02,6,4666.0,542,"[5, 4, 7, 6, 5, 7, 1, 3, 0, 5]","[5, 4, 7, 6, 5, 7, 1, 3, 0, 5]","[0, 30, 60, 120, 180, 210, 270, 375, 420, 510]"
2022-07-02,6,6119.0,721,"[5, 4, 4, 2, 5, 5, 5, 3, 1, 3, 4, 3, 4, 4, 2, 3, 0, 6, 0]","[5, 4, 2, 5, 3, 1, 3, 4, 3, 4, 2, 3, 0]","[0, 30, 60, 165, 210, 270, 360, 420, 450, 495, 525, 585, 630]"
2022-07-02,5,6610.0,693,"[7, 4, 5, 7, 6, 4, 7, 4, 3, 3, 4, 5, 4, 6, 7]","[7, 4, 5, 7, 6, 4, 7, 4, 3, 4, 5, 4, 6, 7]","[0, 45, 105, 150, 225, 300, 345, 420, 450, 495, 510, 555, 585, 645]"
2022-07-02,8,5630.0,706,"[5, 5, 0, 3, 2, 6, 4, 6, 5, 3, 7, 4, 2, 1, 4, 3, 5, 2, 5]","[5, 0, 3, 2, 6, 4, 6, 5, 3, 7, 4, 2]","[0, 30, 165, 225, 300, 360, 405, 480, 525, 570, 630, 645]"
2022-07-02,6,5632.0,714,"[7, 4, 5, 3, 1, 5, 1, 2, 3, 1, 4, 4, 4, 7, 3, 5, 5, 4, 4]","[7, 4, 5, 3, 1, 5, 1, 2, 3, 1, 4, 7]","[0, 45, 105, 150, 210, 300, 345, 420, 495, 540, 645, 660]"
2022-07-02,10,5142.0,592,"[3, 6, 6, 4, 2, 4, 6, 5, 5, 6, 5, 7, 3, 3, 3]","[3, 6, 4, 2, 4, 6, 5, 6, 5, 7, 3]","[0, 60, 105, 150, 225, 285, 345, 375, 435, 480, 555]"
2022-07-02,6,6587.0,730,"[3, 3, 7, 4, 6, 0, 0, 3, 4, 5, 4, 7, 4, 5, 1, 1, 6, 2, 6]","[3, 7, 4, 6, 0, 3, 4, 5, 4, 7, 4, 5, 1, 6]","[0, 60, 105, 165, 225, 345, 405, 435, 480, 510, 570, 600, 615, 705]"
2022-07-02,10,6548.0,701,"[4, 6, 7, 1, 5, 1, 4, 4, 5, 7, 3, 4, 5, 3, 3, 3, 3, 3, 6]","[4, 6, 7, 1, 5, 1, 4, 5, 7, 3, 4, 5, 3, 6]","[0, 30, 75, 135, 240, 285, 375, 420, 465, 540, 585, 615, 630, 675]"
2022-07-02,3,6550.0,709,"[3, 7, 4, 6, 3, 6, 0, 5, 4, 6, 3, 5, 3, 6, 4, 4, 5]","[3, 7, 4, 6, 3, 6, 0, 5, 4, 6, 3, 5, 3, 6]","[0, 60, 105, 165, 225, 285, 330, 435, 480, 495, 570, 615, 645, 675]"
2022-07-02,10,6601.0,709,"[1, 2, 4, 7, 4, 7, 5, 4, 5, 7, 4, 3, 6, 0, 3, 5, 7, 2]","[1, 2, 4, 7, 4, 7, 5, 4, 5, 7, 4, 3, 6, 3]","[0, 30, 150, 195, 270, 315, 390, 435, 465, 495, 555, 600, 645, 675]"
2022-07-02,7,5670.0,641,"[7, 4, 4, 3, 5, 5, 2, 4, 3, 5, 7, 7, 7, 4, 4, 2, 2, 4, 4]","[7, 4, 3, 5, 2, 4, 3, 5, 7, 4, 2, 4]","[0, 45, 105, 180, 210, 285, 345, 405, 450, 525, 555, 630]"
2022-07-02,6,6049.0,646,"[5, 5, 7, 6, 5, 6, 6, 3, 3, 6, 5, 3, 7, 5, 5, 5, 7, 4, 4]","[5, 7, 6, 5, 6, 3, 6, 5, 3, 7, 5, 7, 4]","[0, 30, 75, 135, 180, 240, 300, 375, 405, 465, 540, 570, 630]"
2022-07-02,2,5174.0,636,"[5, 3, 6, 3, 7, 4, 7, 7, 2, 4, 5, 5, 0]","[5, 3, 6, 3, 7, 4, 7, 2, 4, 5, 0]","[0, 30, 90, 165, 225, 300, 345, 405, 480, 495, 540]"
2022-07-02,7,5678.0,710,"[3, 7, 4, 2, 3, 7, 4, 4, 4, 2, 6, 7, 6, 6, 0, 0, 3, 0, 1, 7]","[3, 7, 4, 2, 3, 7, 4, 2, 6, 7, 6, 3]","[0, 60, 105, 165, 225, 285, 360, 405, 465, 525, 615, 675]"
2022-07-02,3,5585.0,708,"[0, 6, 4, 6, 5, 1, 1, 5, 6, 6, 2, 3, 3, 3, 3, 4, 5, 7, 0, 3]","[0, 6, 4, 6, 5, 1, 5, 6, 2, 3, 4, 5]","[0, 150, 210, 270, 330, 375, 465, 495, 570, 630, 675, 690]"
2022-07-02,3,5609.0,694,"[4, 4, 6, 7, 7, 1, 6, 1, 1, 4, 2, 6, 3, 6, 1, 5, 5]","[4, 6, 7, 1, 6, 1, 4, 2, 6, 3, 6, 5]","[0, 30, 75, 135, 240, 300, 390, 450, 510, 570, 615, 675]"
2022-07-02,7,5651.0,717,"[1, 6, 4, 4, 4, 6, 3, 7, 3, 5, 7, 0, 4, 0, 5, 3, 0]","[1, 6, 4, 6, 3, 7, 3, 5, 7, 0, 4, 0]","[0, 30, 75, 135, 210, 255, 330, 390, 420, 480, 600, 630]"
2022-07-02,9,4732.0,512,"[5, 4, 4, 4, 6, 3, 4, 7, 0, 4, 2, 2, 4]","[5, 4, 6, 3, 4, 7, 0, 4, 2, 4]","[0, 30, 60, 105, 180, 210, 270, 375, 435, 495]"
2022-07-02,6,4682.0,504,"[4, 7, 3, 2, 5, 7, 5, 2, 3, 5, 5]","[4, 7, 3, 2, 5, 7, 5, 2, 3, 5]","[0, 30, 75, 150, 210, 255, 315, 375, 435, 480]"
