日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-15,8,6562.0,726,"[4, 6, 5, 3, 0, 0, 2, 5, 6, 5, 5, 4, 7, 4, 3, 2, 0]","[4, 6, 5, 3, 0, 2, 5, 6, 5, 4, 7, 4, 3, 2]","[0, 30, 75, 90, 150, 270, 345, 375, 435, 450, 495, 570, 615, 645]"
2022-07-15,3,6111.0,623,"[2, 4, 4, 4, 5, 2, 7, 4, 4, 4, 4, 5, 4, 3, 7, 4, 6, 5]","[2, 4, 5, 2, 7, 4, 5, 4, 3, 7, 4, 6, 5]","[0, 30, 60, 90, 180, 240, 285, 315, 390, 435, 510, 540, 600]"
2022-07-15,5,6130.0,727,"[4, 7, 4, 4, 3, 3, 4, 1, 3, 6, 5, 4, 2, 3, 1, 2, 7, 1, 0, 3]","[4, 7, 4, 3, 4, 1, 3, 6, 5, 4, 2, 3, 1]","[0, 30, 75, 135, 195, 255, 330, 390, 465, 480, 510, 585, 630]"
2022-07-15,2,6086.0,713,"[3, 4, 4, 5, 5, 6, 6, 4, 4, 6, 3, 7, 6, 4, 3, 5, 1, 7, 7]","[3, 4, 5, 6, 4, 6, 3, 7, 6, 4, 3, 5, 1]","[0, 60, 120, 150, 195, 240, 300, 360, 435, 510, 540, 585, 630]"
2022-07-15,7,6614.0,728,"[2, 7, 3, 7, 6, 6, 4, 2, 4, 6, 2, 4, 3, 6, 3, 0, 6, 2, 2, 7]","[2, 7, 3, 7, 6, 4, 2, 4, 6, 2, 4, 3, 6, 3]","[0, 30, 75, 135, 210, 270, 330, 405, 450, 495, 570, 600, 645, 690]"
2022-07-15,4,6560.0,737,"[6, 7, 5, 3, 6, 7, 3, 7, 5, 5, 3, 4, 4, 4, 7, 1, 0, 6]","[6, 7, 5, 3, 6, 7, 3, 7, 5, 3, 4, 7, 1, 6]","[0, 45, 90, 105, 180, 240, 300, 360, 435, 450, 495, 525, 615, 705]"
2022-07-15,7,6093.0,713,"[1, 4, 3, 5, 7, 5, 6, 2, 0, 4, 5, 3, 4, 6, 4, 3]","[1, 4, 3, 5, 7, 5, 6, 2, 0, 4, 5, 3, 4]","[0, 120, 150, 210, 255, 345, 375, 420, 510, 600, 630, 645, 690]"
2022-07-15,10,5124.0,552,"[7, 2, 5, 3, 6, 7, 5, 1, 6, 4, 5]","[7, 2, 5, 3, 6, 7, 5, 1, 6, 4, 5]","[0, 45, 120, 150, 210, 270, 330, 360, 435, 510, 540]"
2022-07-15,6,6041.0,592,"[4, 6, 5, 0, 2, 5, 6, 6, 5, 4, 5, 3, 5, 7]","[4, 6, 5, 0, 2, 5, 6, 5, 4, 5, 3, 5, 7]","[0, 30, 75, 90, 195, 255, 300, 360, 405, 450, 465, 510, 540]"
2022-07-15,5,6119.0,740,"[2, 0, 2, 3, 4, 5, 4, 6, 7, 4, 6, 3, 6, 6, 6, 5]","[2, 0, 2, 3, 4, 5, 4, 6, 7, 4, 6, 3, 6]","[0, 30, 150, 225, 285, 330, 360, 405, 480, 555, 615, 660, 705]"
2022-07-15,6,6110.0,727,"[3, 7, 4, 3, 4, 7, 3, 5, 3, 3, 3, 3, 6, 5, 1, 0]","[3, 7, 4, 3, 4, 7, 3, 5, 3, 6, 5, 1, 0]","[0, 60, 120, 165, 210, 270, 330, 390, 420, 465, 525, 540, 645]"
2022-07-15,2,6132.0,729,"[2, 6, 0, 4, 3, 2, 4, 1, 5, 3, 4, 0, 3, 5, 1]","[2, 6, 0, 4, 3, 2, 4, 1, 5, 3, 4, 0, 3]","[0, 30, 60, 195, 240, 300, 375, 420, 495, 510, 570, 600, 690]"
2022-07-15,8,6585.0,732,"[7, 7, 2, 3, 0, 0, 4, 3, 5, 5, 5, 4, 5, 3, 4, 1, 6, 6, 3, 2]","[7, 2, 3, 0, 4, 3, 5, 4, 5, 3, 4, 1, 6, 3]","[0, 45, 120, 195, 285, 345, 405, 420, 465, 480, 525, 570, 660, 690]"
2022-07-15,6,5155.0,520,"[2, 4, 3, 4, 5, 6, 5, 6, 3, 4, 3]","[2, 4, 3, 4, 5, 6, 5, 6, 3, 4, 3]","[0, 30, 60, 120, 165, 210, 285, 315, 390, 435, 480]"
2022-07-15,5,4697.0,450,"[4, 7, 5, 4, 5, 2, 7, 5, 4, 4, 3, 3]","[4, 7, 5, 4, 5, 2, 7, 5, 4, 3]","[0, 30, 75, 90, 150, 195, 255, 345, 360, 405]"
2022-07-15,6,5642.0,737,"[6, 4, 7, 7, 3, 3, 4, 1, 5, 0, 6, 4, 3, 1, 5, 2, 4, 7, 5]","[6, 4, 7, 3, 4, 1, 5, 0, 6, 4, 3, 1]","[0, 45, 105, 165, 225, 270, 360, 405, 495, 570, 600, 645]"
2022-07-15,9,5653.0,708,"[2, 6, 1, 3, 2, 6, 2, 3, 3, 4, 4, 7, 1, 4, 5, 5, 5, 5]","[2, 6, 1, 3, 2, 6, 2, 3, 4, 7, 1, 4]","[0, 30, 60, 180, 225, 300, 360, 435, 480, 525, 600, 690]"
2022-07-15,7,5678.0,722,"[7, 4, 0, 4, 4, 7, 5, 3, 6, 2, 3, 4, 0, 2, 5, 0, 2, 6]","[7, 4, 0, 4, 7, 5, 3, 6, 2, 3, 4, 0]","[0, 45, 105, 225, 270, 330, 360, 420, 465, 555, 600, 630]"
2022-07-15,8,5659.0,556,"[2, 5, 4, 4, 3, 3, 3, 2, 2, 4, 2, 2, 2, 4, 3, 5, 4, 3, 3]","[2, 5, 4, 3, 2, 4, 2, 4, 3, 5, 4, 3]","[0, 30, 60, 120, 195, 255, 300, 375, 405, 465, 480, 510]"
2022-07-15,6,5149.0,568,"[2, 7, 6, 7, 7, 4, 5, 5, 2, 6, 5, 4, 6]","[2, 7, 6, 7, 4, 5, 2, 6, 5, 4, 6]","[0, 30, 75, 135, 210, 255, 300, 360, 435, 465, 495]"
2022-07-15,2,5633.0,726,"[5, 1, 3, 3, 2, 2, 3, 6, 7, 4, 3, 3, 4, 5, 0, 3, 6, 2, 6]","[5, 1, 3, 2, 3, 6, 7, 4, 3, 4, 5, 0]","[0, 45, 150, 210, 285, 330, 390, 465, 510, 555, 600, 630]"
2022-07-15,3,6087.0,706,"[3, 5, 4, 0, 7, 5, 7, 4, 6, 3, 6, 2, 5, 5, 4, 5, 5, 1, 0, 4]","[3, 5, 4, 0, 7, 5, 7, 4, 6, 3, 6, 2, 5]","[0, 60, 90, 135, 300, 375, 405, 465, 510, 570, 615, 675, 690]"
2022-07-15,6,6561.0,724,"[3, 7, 6, 3, 4, 7, 5, 4, 1, 5, 6, 5, 7, 4, 5, 4, 5, 4]","[3, 7, 6, 3, 4, 7, 5, 4, 1, 5, 6, 5, 7, 4]","[0, 60, 120, 195, 240, 285, 360, 390, 435, 525, 555, 615, 645, 705]"
2022-07-15,9,7017.0,737,"[5, 7, 5, 4, 6, 4, 5, 4, 7, 5, 4, 6, 3, 6, 7, 2, 3, 0]","[5, 7, 5, 4, 6, 4, 5, 4, 7, 5, 4, 6, 3, 6, 7]","[0, 45, 90, 105, 165, 225, 270, 300, 345, 435, 450, 495, 570, 615, 675]"
2022-07-15,3,4728.0,558,"[3, 7, 5, 5, 7, 7, 1, 4, 7, 3, 4, 2]","[3, 7, 5, 7, 1, 4, 7, 3, 4, 2]","[0, 60, 120, 150, 210, 300, 330, 405, 465, 495]"
2022-07-15,3,6593.0,750,"[4, 1, 4, 3, 3, 5, 5, 0, 5, 4, 2, 5, 4, 2, 4, 7, 6]","[4, 1, 4, 3, 5, 0, 5, 4, 2, 5, 4, 2, 4, 7]","[0, 30, 135, 180, 240, 285, 360, 405, 450, 510, 540, 585, 660, 690]"
2022-07-15,9,5147.0,495,"[2, 2, 7, 6, 4, 5, 1, 1, 4, 6, 3, 5, 2]","[2, 7, 6, 4, 5, 1, 4, 6, 3, 5, 2]","[0, 30, 75, 135, 165, 225, 300, 345, 405, 465, 480]"
2022-07-15,6,6094.0,724,"[7, 2, 2, 5, 7, 7, 3, 2, 4, 5, 6, 4, 7, 5, 1, 6, 2, 3]","[7, 2, 5, 7, 3, 2, 4, 5, 6, 4, 7, 5, 1]","[0, 45, 120, 150, 225, 285, 345, 405, 420, 480, 510, 585, 630]"
2022-07-15,7,5186.0,519,"[6, 4, 7, 4, 7, 7, 2, 4, 5, 3, 4, 5]","[6, 4, 7, 4, 7, 2, 4, 5, 3, 4, 5]","[0, 45, 105, 165, 210, 270, 360, 390, 420, 465, 510]"
