日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-08-28,6559,664,"[3, 6, 7, 5, 6, 4, 7, 5, 4, 3, 2, 5, 3, 0, 0]","[3, 6, 7, 5, 6, 4, 7, 5, 4, 3, 2, 5, 3, 0]","[0, 30, 75, 120, 150, 210, 270, 315, 360, 405, 465, 555, 600, 645]"
2022-08-28,6548,664,"[3, 5, 2, 5, 2, 5, 7, 4, 7, 5, 3, 6, 6, 6, 4, 2, 2]","[3, 5, 2, 5, 2, 5, 7, 4, 7, 5, 3, 6, 4, 2]","[0, 30, 75, 180, 225, 300, 345, 390, 435, 480, 525, 570, 630, 660]"
2022-08-28,6574,667,"[3, 5, 3, 4, 4, 3, 3, 7, 4, 5, 4, 7, 3, 6, 6, 5, 2]","[3, 5, 3, 4, 3, 7, 4, 5, 4, 7, 3, 6, 5, 2]","[0, 30, 75, 150, 210, 270, 315, 375, 420, 465, 510, 555, 615, 660]"
2022-08-28,6556,666,"[3, 4, 7, 5, 6, 5, 6, 3, 7, 5, 3, 2, 4, 2]","[3, 4, 7, 5, 6, 5, 6, 3, 7, 5, 3, 2, 4, 2]","[0, 30, 90, 135, 180, 240, 285, 345, 390, 435, 495, 540, 630, 660]"
2022-08-28,6608,672,"[3, 4, 7, 6, 2, 1, 3, 5, 7, 3, 4, 3, 4, 2]","[3, 4, 7, 6, 2, 1, 3, 5, 7, 3, 4, 3, 4, 2]","[0, 30, 90, 135, 180, 255, 345, 405, 450, 495, 540, 585, 630, 660]"
2022-08-28,6119,665,"[4, 7, 4, 6, 5, 5, 7, 4, 1, 5, 5, 4, 6, 3, 4]","[4, 7, 4, 6, 5, 7, 4, 1, 5, 4, 6, 3, 4]","[0, 45, 90, 150, 210, 255, 300, 345, 435, 480, 525, 585, 645]"
2022-08-28,6615,666,"[5, 7, 6, 5, 2, 3, 7, 4, 4, 4, 7, 4, 2, 4, 7, 4]","[5, 7, 6, 5, 2, 3, 7, 4, 7, 4, 2, 4, 7, 4]","[0, 30, 75, 135, 180, 240, 315, 360, 405, 450, 495, 555, 600, 645]"
2022-08-28,6609,669,"[3, 4, 6, 3, 6, 2, 5, 3, 4, 7, 4, 3, 4, 0]","[3, 4, 6, 3, 6, 2, 5, 3, 4, 7, 4, 3, 4, 0]","[0, 30, 90, 135, 210, 255, 345, 390, 450, 495, 540, 570, 630, 660]"
2022-08-28,6125,664,"[3, 6, 3, 2, 4, 7, 3, 2, 5, 7, 4, 6, 2]","[3, 6, 3, 2, 4, 7, 3, 2, 5, 7, 4, 6, 2]","[0, 30, 75, 135, 225, 270, 315, 375, 450, 510, 555, 585, 660]"
2022-08-28,6136,671,"[4, 5, 4, 6, 2, 7, 7, 0, 0, 7, 4, 4, 3, 3, 5, 5, 7, 0]","[4, 5, 4, 6, 2, 7, 0, 7, 4, 3, 5, 7, 0]","[0, 45, 105, 150, 210, 270, 315, 435, 480, 525, 570, 615, 660]"
