日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-26,6055,649,"[5, 6, 6, 7, 6, 1, 5, 2, 6, 4, 3, 6, 6, 7, 6]","[5, 6, 7, 6, 1, 5, 2, 6, 4, 3, 6, 7, 6]","[0, 30, 60, 135, 180, 210, 255, 300, 375, 420, 480, 540, 600]"
2023-08-26,6517,670,"[2, 5, 6, 5, 5, 3, 1, 6, 5, 3, 4, 3, 5, 2, 4, 0]","[2, 5, 6, 5, 3, 1, 6, 5, 3, 4, 3, 5, 2, 4]","[0, 60, 75, 150, 195, 255, 270, 330, 390, 435, 495, 555, 600, 660]"
2023-08-26,6076,646,"[4, 4, 4, 5, 2, 4, 5, 1, 3, 5, 4, 5, 1, 4, 4, 2]","[4, 5, 2, 4, 5, 1, 3, 5, 4, 5, 1, 4, 2]","[0, 30, 45, 105, 165, 210, 240, 300, 345, 390, 450, 555, 600]"
2023-08-26,6090,638,"[4, 5, 2, 5, 2, 7, 5, 2, 4, 4, 2, 5, 4, 3]","[4, 5, 2, 5, 2, 7, 5, 2, 4, 2, 5, 4, 3]","[0, 30, 45, 105, 150, 210, 300, 330, 390, 435, 495, 540, 600]"
2023-08-26,6101,614,"[5, 4, 4, 5, 6, 4, 1, 3, 2, 3, 2, 4, 6, 4]","[5, 4, 5, 6, 4, 1, 3, 2, 3, 2, 4, 6, 4]","[0, 30, 75, 90, 150, 210, 225, 285, 345, 405, 465, 510, 570]"
2023-08-26,6136,656,"[5, 5, 4, 6, 3, 4, 2, 6, 4, 3, 4, 2, 3, 3, 4]","[5, 4, 6, 3, 4, 2, 6, 4, 3, 4, 2, 3, 4]","[0, 30, 75, 135, 195, 255, 300, 360, 420, 480, 525, 570, 615]"
2023-08-26,6077,657,"[2, 3, 6, 1, 4, 2, 5, 3, 5, 3, 5, 2, 4]","[2, 3, 6, 1, 4, 2, 5, 3, 5, 3, 5, 2, 4]","[0, 60, 135, 195, 210, 270, 315, 345, 405, 480, 525, 585, 630]"
2023-08-26,6559,646,"[5, 4, 5, 2, 5, 2, 4, 5, 2, 6, 4, 2, 7, 4]","[5, 4, 5, 2, 5, 2, 4, 5, 2, 6, 4, 2, 7, 4]","[0, 30, 75, 90, 165, 210, 270, 315, 345, 405, 450, 510, 570, 630]"
2023-08-26,6549,655,"[4, 5, 3, 5, 1, 3, 1, 1, 3, 2, 4, 4, 5, 2, 6, 4]","[4, 5, 3, 5, 1, 3, 1, 3, 2, 4, 5, 2, 6, 4]","[0, 30, 45, 120, 180, 195, 255, 285, 345, 405, 450, 510, 555, 615]"
2023-08-26,6537,667,"[5, 2, 2, 5, 3, 3, 1, 4, 1, 5, 4, 3, 5, 3, 7, 3]","[5, 2, 5, 3, 1, 4, 1, 5, 4, 3, 5, 3, 7, 3]","[0, 30, 90, 120, 180, 210, 255, 285, 345, 390, 450, 495, 555, 630]"
