日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-12,6074,662,"[5, 6, 4, 2, 7, 5, 4, 3, 4, 6, 5, 5, 6, 3]","[5, 6, 4, 2, 7, 5, 4, 3, 4, 6, 5, 6, 3]","[0, 30, 60, 120, 195, 255, 300, 345, 375, 435, 495, 540, 600]"
2023-07-12,6114,652,"[4, 7, 7, 4, 5, 2, 6, 3, 6, 6, 4, 5, 5, 4, 4, 1, 1, 4]","[4, 7, 4, 5, 2, 6, 3, 6, 4, 5, 4, 1, 4]","[0, 30, 90, 150, 195, 270, 330, 345, 405, 465, 495, 555, 615]"
2023-07-12,6094,668,"[4, 6, 7, 4, 3, 3, 6, 3, 5, 4, 1, 5, 6, 4, 1, 0, 0, 0]","[4, 6, 7, 4, 3, 6, 3, 5, 4, 1, 5, 6, 4]","[0, 30, 75, 135, 195, 270, 330, 345, 390, 465, 540, 585, 645]"
2023-07-12,6133,647,"[4, 5, 2, 4, 2, 5, 6, 3, 4, 4, 7, 4, 3, 4]","[4, 5, 2, 4, 2, 5, 6, 3, 4, 7, 4, 3, 4]","[0, 30, 60, 135, 195, 270, 300, 360, 375, 435, 495, 555, 615]"
2023-07-12,6117,670,"[2, 7, 3, 5, 4, 4, 4, 3, 4, 5, 2, 5, 4, 2, 4]","[2, 7, 3, 5, 4, 3, 4, 5, 2, 5, 4, 2, 4]","[0, 60, 120, 210, 255, 315, 330, 390, 435, 495, 540, 600, 660]"
2023-07-12,5652,672,"[2, 5, 3, 6, 2, 7, 3, 4, 2, 1, 2, 2, 4]","[2, 5, 3, 6, 2, 7, 3, 4, 2, 1, 2, 4]","[0, 60, 105, 180, 225, 300, 360, 375, 435, 495, 585, 645]"
2023-07-12,5621,669,"[2, 5, 4, 2, 2, 6, 6, 4, 5, 4, 1, 5, 5, 5, 5, 2, 4]","[2, 5, 4, 2, 6, 4, 5, 4, 1, 5, 2, 4]","[0, 60, 105, 165, 225, 270, 330, 375, 435, 525, 570, 645]"
2023-07-12,6086,666,"[4, 4, 4, 5, 4, 6, 7, 5, 2, 3, 3, 4, 5, 1, 6, 4, 1]","[4, 5, 4, 6, 7, 5, 2, 3, 4, 5, 1, 6, 4]","[0, 30, 60, 120, 195, 255, 300, 360, 390, 450, 495, 585, 645]"
2023-07-12,6539,663,"[5, 3, 7, 3, 5, 3, 3, 5, 3, 2, 4, 5, 4, 5, 4, 0]","[5, 3, 7, 3, 5, 3, 5, 3, 2, 4, 5, 4, 5, 4]","[0, 30, 105, 180, 255, 300, 315, 360, 390, 465, 510, 555, 600, 630]"
2023-07-12,6578,668,"[4, 4, 5, 5, 7, 5, 6, 3, 4, 3, 7, 4, 6, 4, 5, 4, 4, 0]","[4, 5, 7, 5, 6, 3, 4, 3, 7, 4, 6, 4, 5, 4]","[0, 30, 60, 135, 180, 225, 315, 375, 405, 465, 510, 555, 615, 645]"
