日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,2,6526.0,707.0,"[5, 7, 3, 6, 7, 5, 7, 6, 7, 7, 6, 5, 7, 5, 2, 4, 2]","[5, 7, 3, 6, 7, 5, 7, 6, 7, 6, 5, 7, 5, 2]","[0, 30, 75, 150, 195, 270, 315, 375, 435, 510, 570, 615, 675, 690]"
,4,5628.0,725.0,"[7, 2, 7, 5, 5, 3, 6, 6, 2, 2, 2, 3, 5, 4, 1, 3, 1, 2]","[7, 2, 7, 5, 3, 6, 2, 3, 5, 4, 1, 3]","[0, 45, 135, 210, 255, 315, 375, 450, 510, 555, 600, 690]"
,7,5209.0,708.0,"[6, 7, 3, 2, 4, 0, 0, 4, 6, 3, 4, 4, 0, 4, 2, 2, 5, 2]","[6, 7, 3, 2, 4, 0, 4, 6, 3, 4, 0]","[0, 45, 105, 165, 240, 300, 405, 450, 510, 585, 630]"
,7,6169.0,723.5,"[4, 7, 4, 3, 4, 5, 4, 7, 4, 7, 3, 7, 6, 4, 3, 3, 3, 0, 6]","[4, 7, 4, 3, 4, 5, 4, 7, 4, 7, 3, 7, 6]","[0, 30, 75, 150, 210, 270, 315, 375, 450, 510, 570, 630, 690]"
,9,5645.0,715.5,"[3, 3, 7, 2, 5, 4, 3, 5, 5, 4, 4, 5, 4, 7, 0, 4, 2]","[3, 7, 2, 5, 4, 3, 5, 4, 5, 4, 7, 0]","[0, 60, 135, 210, 255, 300, 375, 420, 480, 525, 570, 630]"
,10,5235.0,748.5,"[1, 7, 4, 2, 4, 2, 2, 4, 0, 4, 3, 7, 4, 2, 1, 4, 1, 1, 0]","[1, 7, 4, 2, 4, 2, 4, 0, 4, 3, 7]","[0, 120, 180, 240, 315, 375, 435, 495, 600, 645, 690]"
,6,5696.0,706.5,"[7, 6, 4, 0, 4, 7, 3, 3, 6, 4, 3, 4, 7, 2, 1, 4]","[7, 6, 4, 0, 4, 7, 3, 6, 4, 3, 4, 7]","[0, 45, 90, 150, 255, 315, 375, 450, 510, 555, 615, 660]"
,6,6589.0,708.0,"[4, 7, 4, 5, 2, 6, 5, 7, 4, 3, 5, 7, 0, 4, 2, 4, 0, 3]","[4, 7, 4, 5, 2, 6, 5, 7, 4, 3, 5, 7, 4, 2]","[0, 30, 75, 150, 195, 255, 330, 375, 450, 510, 570, 615, 675, 705]"
,6,5222.0,708.0,"[4, 6, 6, 4, 3, 4, 0, 7, 4, 3, 1, 7, 0, 4, 2, 2, 4, 3, 4]","[4, 6, 4, 3, 4, 0, 7, 4, 3, 1, 7]","[0, 30, 75, 135, 210, 255, 360, 435, 495, 555, 660]"
,6,5649.0,670.5,"[7, 6, 4, 3, 4, 3, 5, 4, 5, 3, 7, 3, 3, 3, 1]","[7, 6, 4, 3, 4, 3, 5, 4, 5, 3, 7, 3]","[0, 45, 90, 150, 210, 270, 345, 390, 450, 495, 555, 615]"
