日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,2,6120.0,712.0,"[7, 4, 7, 7, 5, 6, 7, 3, 6, 7, 3, 7, 5, 4, 5, 0, 1, 5, 7, 0]","[7, 4, 7, 5, 6, 7, 3, 6, 7, 3, 7, 5, 4]","[0, 45, 120, 180, 225, 285, 345, 420, 480, 540, 600, 675, 690]"
,4,6092.0,721.0,"[4, 5, 6, 4, 6, 4, 3, 4, 4, 2, 0, 5, 2, 5, 4, 1, 5, 5, 7]","[4, 5, 6, 4, 6, 4, 3, 4, 2, 0, 5, 2, 5]","[0, 30, 75, 135, 195, 255, 300, 375, 420, 495, 600, 645, 705]"
,7,6141.0,710.5,"[4, 5, 6, 7, 4, 7, 0, 2, 4, 5, 7, 4, 2, 3]","[4, 5, 6, 7, 4, 7, 0, 2, 4, 5, 7, 4, 2]","[0, 30, 75, 135, 195, 255, 315, 420, 495, 540, 585, 645, 675]"
,8,5657.0,710.0,"[6, 7, 4, 2, 1, 4, 2, 3, 5, 7, 3, 3, 2, 4, 4]","[6, 7, 4, 2, 1, 4, 2, 3, 5, 7, 3, 2]","[0, 45, 105, 150, 225, 315, 375, 450, 510, 555, 630, 675]"
,8,5229.0,676.0,"[3, 7, 4, 4, 7, 4, 3, 3, 7, 4, 7, 3, 3, 6]","[3, 7, 4, 7, 4, 3, 7, 4, 7, 3, 6]","[0, 60, 135, 180, 255, 300, 375, 450, 495, 570, 630]"
,8,5666.0,719.0,"[2, 4, 3, 4, 6, 4, 2, 5, 2, 3, 7, 3, 3, 3, 3, 2, 1, 4, 4]","[2, 4, 3, 4, 6, 4, 2, 5, 2, 3, 7, 3]","[0, 75, 135, 195, 255, 315, 375, 450, 495, 570, 630, 690]"
,5,5651.0,723.5,"[3, 5, 3, 4, 0, 2, 4, 3, 4, 6, 3, 6, 4, 5, 7, 0, 6, 2, 1, 1]","[3, 5, 3, 4, 0, 2, 4, 3, 4, 6, 3, 6]","[0, 60, 120, 195, 240, 360, 420, 480, 540, 585, 645, 690]"
,7,6068.0,710.0,"[6, 1, 3, 4, 6, 5, 4, 6, 5, 3, 4, 5, 4, 5, 2, 0, 6]","[6, 1, 3, 4, 6, 5, 4, 6, 5, 3, 4, 5, 4]","[0, 45, 165, 240, 300, 360, 405, 465, 525, 570, 630, 660, 690]"
,7,6154.0,710.5,"[4, 7, 2, 7, 2, 7, 3, 4, 5, 4, 4, 4, 5, 5, 4, 7, 7, 6, 7, 3]","[4, 7, 2, 7, 2, 7, 3, 4, 5, 4, 5, 4, 7]","[0, 30, 75, 165, 225, 300, 360, 435, 480, 525, 570, 615, 660]"
,5,5654.0,716.0,"[3, 3, 4, 7, 1, 3, 5, 4, 4, 5, 5, 5, 3, 3, 7, 4, 2, 0, 2]","[3, 4, 7, 1, 3, 5, 4, 5, 3, 7, 4, 2]","[0, 60, 120, 195, 285, 345, 405, 450, 510, 570, 630, 660]"
,9,6068.0,718.5,"[7, 6, 5, 3, 5, 2, 4, 7, 2, 5, 4, 5, 5, 1, 2, 1, 1, 7, 3, 7]","[7, 6, 5, 3, 5, 2, 4, 7, 2, 5, 4, 5, 1]","[0, 45, 90, 135, 210, 255, 330, 390, 465, 525, 570, 615, 660]"
,2,5665.0,721.5,"[3, 7, 4, 7, 4, 6, 7, 5, 4, 7, 0, 5, 4, 2]","[3, 7, 4, 7, 4, 6, 7, 5, 4, 7, 0, 5]","[0, 60, 135, 180, 255, 300, 360, 435, 495, 540, 600, 705]"
,4,5185.0,707.0,"[7, 7, 2, 4, 6, 4, 1, 4, 2, 5, 7, 1, 2, 4]","[7, 2, 4, 6, 4, 1, 4, 2, 5, 7, 1]","[0, 45, 135, 195, 255, 315, 405, 465, 525, 570, 630]"
,4,5150.0,743.0,"[5, 6, 0, 4, 2, 2, 1, 6, 0, 1, 4, 6, 3, 1, 1, 3]","[5, 6, 0, 4, 2, 1, 6, 0, 1, 4, 6]","[0, 30, 60, 210, 270, 330, 435, 495, 600, 690, 705]"
,2,6107.0,706.0,"[7, 6, 5, 2, 3, 3, 5, 2, 4, 4, 6, 2, 4, 4, 3, 4, 2, 0, 0]","[7, 6, 5, 2, 3, 5, 2, 4, 6, 2, 4, 3, 4]","[0, 45, 90, 135, 225, 285, 330, 405, 465, 525, 600, 630, 690]"
,2,5650.0,727.0,"[3, 5, 0, 7, 4, 2, 3, 6, 6, 3, 2, 6, 4, 4, 3, 7, 3, 2, 0]","[3, 5, 0, 7, 4, 2, 3, 6, 3, 2, 6, 4]","[0, 60, 120, 225, 300, 345, 420, 480, 555, 615, 675, 705]"
,4,5141.0,717.5,"[2, 1, 7, 2, 4, 1, 6, 5, 6, 3, 6, 6, 0, 2, 6, 1, 7]","[2, 1, 7, 2, 4, 1, 6, 5, 6, 3, 6]","[0, 75, 180, 240, 315, 375, 465, 540, 585, 645, 690]"
,7,5655.0,720.5,"[4, 5, 5, 4, 4, 7, 4, 7, 2, 2, 6, 4, 1, 5, 0, 4, 2, 4, 6, 7]","[4, 5, 4, 7, 4, 7, 2, 6, 4, 1, 5, 0]","[0, 30, 75, 135, 195, 255, 315, 390, 465, 510, 600, 645]"
,8,5676.0,663.0,"[4, 7, 7, 7, 4, 5, 5, 7, 2, 3, 3, 4, 4, 4, 4, 4, 2, 4, 5, 7]","[4, 7, 4, 5, 7, 2, 3, 4, 2, 4, 5, 7]","[0, 30, 75, 150, 195, 255, 330, 390, 450, 510, 570, 615]"
,10,6102.0,714.5,"[3, 5, 0, 2, 6, 4, 5, 4, 3, 4, 3, 4, 5, 4, 1, 3, 6, 1]","[3, 5, 0, 2, 6, 4, 5, 4, 3, 4, 3, 4, 5]","[0, 60, 120, 225, 300, 360, 420, 465, 510, 585, 615, 675, 705]"
,3,6121.0,722.5,"[2, 2, 3, 6, 2, 6, 4, 4, 4, 3, 4, 5, 3, 4, 2, 0, 3, 4, 0]","[2, 3, 6, 2, 6, 4, 3, 4, 5, 3, 4, 2, 3]","[0, 75, 135, 210, 270, 330, 390, 465, 510, 555, 615, 660, 705]"
,3,5669.0,714.0,"[7, 4, 7, 6, 7, 2, 4, 3, 6, 7, 5, 7, 4, 4, 2, 3, 4]","[7, 4, 7, 6, 7, 2, 4, 3, 6, 7, 5, 7]","[0, 45, 120, 180, 240, 315, 375, 435, 495, 555, 615, 660]"
,8,4236.0,491.0,"[4, 5, 4, 2, 2, 6, 4, 7, 4, 5]","[4, 5, 4, 2, 6, 4, 7, 4, 5]","[0, 30, 75, 135, 210, 270, 330, 405, 450]"
,7,6109.0,710.0,"[6, 5, 4, 3, 5, 3, 4, 3, 4, 7, 5, 4, 7, 5, 6, 1, 0, 0, 4]","[6, 5, 4, 3, 5, 3, 4, 3, 4, 7, 5, 4, 7]","[0, 45, 90, 150, 225, 270, 345, 390, 465, 510, 570, 630, 660]"
,4,6048.0,711.0,"[5, 6, 5, 6, 7, 6, 2, 2, 5, 3, 3, 4, 6, 6, 4, 1, 3]","[5, 6, 5, 6, 7, 6, 2, 5, 3, 4, 6, 4, 1]","[0, 30, 60, 120, 180, 255, 315, 390, 435, 495, 540, 600, 645]"
,7,4713.0,584.0,"[4, 7, 3, 4, 5, 5, 5, 1, 3, 3, 6, 4, 4, 4, 2]","[4, 7, 3, 4, 5, 1, 3, 6, 4, 2]","[0, 30, 75, 150, 210, 255, 345, 420, 480, 525]"
,5,5666.0,712.5,"[3, 7, 5, 2, 7, 4, 2, 7, 4, 5, 7, 3, 4, 2, 0, 3, 7, 2]","[3, 7, 5, 2, 7, 4, 2, 7, 4, 5, 7, 3]","[0, 60, 135, 180, 255, 315, 375, 450, 525, 570, 615, 675]"
,5,6112.0,706.5,"[4, 5, 4, 6, 6, 4, 7, 1, 6, 1, 4, 7, 4, 5, 4, 1, 0, 2, 4, 4]","[4, 5, 4, 6, 4, 7, 1, 6, 1, 4, 7, 4, 5]","[0, 30, 75, 135, 195, 255, 315, 405, 465, 555, 600, 675, 690]"
,3,6043.0,764.0,"[7, 7, 7, 7, 7, 1, 5, 7, 4, 6, 5, 6, 5, 2, 5, 6, 7]","[7, 1, 5, 7, 4, 6, 5, 6, 5, 2, 5, 6, 7]","[0, 45, 180, 225, 285, 345, 405, 450, 510, 555, 630, 675, 705]"
,2,5663.0,706.0,"[4, 6, 4, 4, 4, 3, 4, 1, 6, 4, 6, 7, 7, 3, 3, 2, 3, 5, 5, 1]","[4, 6, 4, 3, 4, 1, 6, 4, 6, 7, 3, 2]","[0, 30, 75, 135, 210, 255, 360, 405, 465, 525, 600, 645]"
,5,5703.0,707.0,"[4, 7, 4, 7, 2, 3, 7, 7, 7, 4, 7, 6, 4, 1, 4, 3, 1, 7]","[4, 7, 4, 7, 2, 3, 7, 4, 7, 6, 4, 1]","[0, 30, 75, 150, 210, 285, 345, 420, 465, 540, 600, 630]"
,8,6103.0,705.5,"[3, 7, 4, 5, 7, 4, 3, 5, 6, 2, 4, 5, 2, 5, 4, 4, 3, 4, 3, 1]","[3, 7, 4, 5, 7, 4, 3, 5, 6, 2, 4, 5, 2]","[0, 60, 135, 180, 240, 300, 345, 420, 465, 525, 600, 645, 675]"
,10,5668.0,750.0,"[3, 5, 4, 3, 2, 4, 3, 7, 6, 7, 3, 7, 5, 2, 5, 3, 6, 0, 0, 0]","[3, 5, 4, 3, 2, 4, 3, 7, 6, 7, 3, 7]","[0, 60, 120, 180, 240, 315, 375, 450, 525, 585, 645, 690]"
,2,6066.0,718.5,"[5, 6, 7, 3, 3, 7, 7, 5, 5, 4, 5, 3, 5, 4, 4, 4, 0, 6, 4]","[5, 6, 7, 3, 7, 5, 4, 5, 3, 5, 4, 0, 6]","[0, 30, 60, 135, 195, 270, 315, 375, 420, 495, 525, 585, 690]"
,6,6113.0,721.0,"[6, 7, 4, 1, 1, 7, 5, 4, 3, 7, 4, 5, 1, 3, 2, 3, 2]","[6, 7, 4, 1, 7, 5, 4, 3, 7, 4, 5, 1, 3]","[0, 45, 105, 150, 240, 315, 360, 405, 480, 540, 585, 630, 705]"
,9,5206.0,726.0,"[0, 6, 2, 5, 7, 4, 7, 4, 7, 3, 7, 7, 4, 5, 4, 0, 4, 3]","[0, 6, 2, 5, 7, 4, 7, 4, 7, 3, 7]","[0, 135, 210, 270, 315, 390, 435, 510, 555, 615, 675]"
,2,6079.0,727.5,"[4, 6, 4, 0, 0, 7, 6, 5, 6, 1, 4, 4, 5, 6, 1, 3, 4, 4, 7]","[4, 6, 4, 0, 7, 6, 5, 6, 1, 4, 5, 6, 3]","[0, 30, 75, 135, 240, 315, 375, 420, 480, 570, 615, 660, 690]"
,8,5221.0,714.0,"[2, 7, 2, 7, 3, 6, 7, 4, 3, 0, 4, 5, 4, 3, 4, 6, 7, 7, 6, 4]","[2, 7, 2, 7, 3, 6, 7, 4, 3, 0, 4]","[0, 75, 135, 210, 270, 345, 405, 480, 525, 585, 705]"
,6,5647.0,720.0,"[2, 7, 4, 7, 7, 3, 4, 5, 5, 2, 3, 3, 5, 5, 3, 1, 4]","[2, 7, 4, 7, 3, 4, 5, 2, 3, 5, 3, 1]","[0, 75, 135, 195, 255, 330, 390, 435, 495, 555, 600, 660]"
,2,4723.0,630.0,"[7, 2, 1, 4, 5, 7, 7, 3, 2, 3, 4]","[7, 2, 1, 4, 5, 7, 3, 2, 3, 4]","[0, 45, 135, 225, 285, 330, 405, 465, 525, 600]"
,10,6104.0,714.0,"[4, 7, 6, 3, 7, 2, 2, 4, 1, 5, 4, 5, 3, 6, 4, 2, 6, 3]","[4, 7, 6, 3, 7, 2, 4, 1, 5, 4, 5, 3, 6]","[0, 30, 75, 135, 210, 270, 345, 405, 495, 540, 585, 630, 690]"
,4,5680.0,712.0,"[7, 4, 2, 6, 0, 4, 4, 7, 4, 7, 7, 3, 5, 3, 4, 2, 3, 4, 4]","[7, 4, 2, 6, 0, 4, 7, 4, 7, 3, 5, 3]","[0, 45, 120, 195, 255, 360, 420, 480, 525, 585, 645, 675]"
,3,6106.0,721.0,"[2, 6, 4, 6, 4, 5, 4, 1, 6, 4, 3, 4, 6, 2]","[2, 6, 4, 6, 4, 5, 4, 1, 6, 4, 3, 4, 6]","[0, 75, 120, 180, 255, 300, 345, 405, 495, 555, 600, 660, 690]"
,3,5676.0,731.5,"[2, 6, 7, 6, 2, 4, 6, 4, 4, 7, 4, 2, 7, 4, 0, 3, 4, 7, 3]","[2, 6, 7, 6, 2, 4, 6, 4, 7, 4, 2, 7]","[0, 75, 120, 195, 255, 330, 390, 450, 510, 570, 615, 675]"
,3,5621.0,720.0,"[7, 5, 7, 4, 6, 4, 7, 5, 6, 6, 6, 6, 2, 5, 0, 1, 2, 0, 5]","[7, 5, 7, 4, 6, 4, 7, 5, 6, 2, 5, 0]","[0, 45, 105, 165, 225, 285, 345, 405, 450, 525, 585, 630]"
,10,4252.0,584.0,"[4, 2, 4, 0, 4, 3, 5, 7, 6, 6]","[4, 2, 4, 0, 4, 3, 5, 7, 6]","[0, 30, 120, 180, 300, 345, 420, 465, 525]"
,3,5619.0,730.0,"[5, 7, 5, 0, 6, 4, 6, 0, 5, 2, 4, 7, 5, 0, 2, 2, 6, 2, 5]","[5, 7, 5, 0, 6, 4, 6, 0, 5, 2, 4, 7]","[0, 30, 75, 135, 240, 300, 345, 420, 525, 570, 645, 675]"
,6,5660.0,711.0,"[4, 7, 4, 7, 5, 2, 4, 6, 5, 3, 3, 7, 0, 2, 2, 2]","[4, 7, 4, 7, 5, 2, 4, 6, 5, 3, 7, 0]","[0, 30, 75, 150, 210, 255, 330, 390, 450, 495, 570, 630]"
,6,6119.0,717.5,"[5, 4, 7, 4, 4, 6, 6, 4, 5, 7, 4, 4, 6, 3, 1, 4, 3, 2]","[5, 4, 7, 4, 6, 4, 5, 7, 4, 6, 3, 1, 4]","[0, 30, 75, 150, 210, 270, 315, 375, 450, 495, 555, 615, 705]"
,2,5622.0,722.0,"[5, 2, 6, 2, 6, 1, 2, 4, 7, 1, 4, 4, 4, 1, 6, 0]","[5, 2, 6, 2, 6, 1, 2, 4, 7, 1, 4, 6]","[0, 30, 120, 180, 255, 315, 405, 480, 510, 585, 675, 690]"
,5,6114.0,708.0,"[6, 7, 7, 4, 7, 5, 5, 7, 5, 7, 4, 3, 5, 4, 2, 3, 7]","[6, 7, 4, 7, 5, 7, 5, 7, 4, 3, 5, 4, 2]","[0, 45, 105, 150, 225, 270, 330, 390, 465, 510, 570, 615, 660]"
,5,4707.0,657.0,"[4, 4, 1, 6, 4, 2, 3, 2, 5, 2, 7]","[4, 1, 6, 4, 2, 3, 2, 5, 2, 7]","[0, 30, 165, 225, 285, 345, 420, 480, 525, 600]"
,7,6096.0,696.0,"[7, 4, 6, 3, 5, 6, 6, 4, 6, 4, 7, 5, 4, 6]","[7, 4, 6, 3, 5, 6, 4, 6, 4, 7, 5, 4, 6]","[0, 45, 120, 180, 240, 300, 360, 420, 465, 525, 585, 630, 660]"
,6,5622.0,709.0,"[2, 7, 4, 6, 2, 0, 4, 5, 2, 5, 3, 3, 5]","[2, 7, 4, 6, 2, 0, 4, 5, 2, 5, 3, 5]","[0, 75, 135, 195, 255, 330, 435, 495, 525, 600, 645, 690]"
,3,6090.0,722.5,"[7, 6, 4, 7, 0, 6, 7, 6, 6, 6, 5, 4, 5, 6, 3, 4, 5, 4, 5, 1]","[7, 6, 4, 7, 0, 6, 7, 6, 5, 4, 5, 6, 3]","[0, 45, 90, 150, 210, 330, 375, 450, 525, 570, 615, 660, 690]"
,8,6124.0,705.5,"[4, 7, 3, 3, 4, 5, 3, 5, 6, 3, 3, 4, 3, 4, 2, 0, 3, 2, 3, 1]","[4, 7, 3, 4, 5, 3, 5, 6, 3, 4, 3, 4, 2]","[0, 30, 75, 150, 210, 255, 330, 375, 435, 510, 555, 615, 645]"
,2,5636.0,715.0,"[3, 7, 3, 4, 2, 6, 1, 5, 2, 4, 5, 7, 7, 5, 3, 4, 0]","[3, 7, 3, 4, 2, 6, 1, 5, 2, 4, 5, 7]","[0, 60, 135, 195, 255, 330, 375, 480, 510, 585, 630, 660]"
,9,5663.0,707.0,"[3, 4, 7, 3, 4, 3, 6, 7, 5, 5, 2, 3, 2, 5, 5, 1, 5, 4]","[3, 4, 7, 3, 4, 3, 6, 7, 5, 2, 3, 2]","[0, 60, 120, 195, 255, 315, 375, 435, 510, 555, 615, 675]"
,7,6074.0,718.0,"[5, 7, 5, 6, 2, 7, 2, 5, 4, 5, 1, 7, 4, 3]","[5, 7, 5, 6, 2, 7, 2, 5, 4, 5, 1, 7, 4]","[0, 30, 75, 135, 195, 255, 330, 405, 450, 495, 540, 630, 705]"
,8,5635.0,711.0,"[7, 1, 5, 6, 5, 5, 2, 2, 7, 4, 7, 4, 1, 2, 4, 0, 2, 0]","[7, 1, 5, 6, 5, 2, 7, 4, 7, 4, 1, 2]","[0, 45, 180, 225, 285, 330, 405, 480, 510, 585, 630, 705]"
,10,6067.0,711.0,"[5, 6, 4, 6, 3, 2, 5, 4, 3, 6, 7, 5, 5, 2, 1, 3]","[5, 6, 4, 6, 3, 2, 5, 4, 3, 6, 7, 5, 2]","[0, 30, 60, 135, 195, 255, 330, 390, 435, 495, 555, 630, 660]"
,3,5218.0,691.0,"[7, 7, 4, 2, 7, 2, 4, 4, 4, 7, 6, 3, 2, 3]","[7, 4, 2, 7, 2, 4, 7, 6, 3, 2, 3]","[0, 45, 120, 195, 255, 330, 390, 465, 525, 585, 660]"
,3,5628.0,678.0,"[4, 4, 7, 5, 3, 3, 4, 7, 5, 7, 5, 6, 6, 2, 3]","[4, 7, 5, 3, 4, 7, 5, 7, 5, 6, 2, 3]","[0, 30, 75, 135, 210, 270, 330, 375, 450, 495, 555, 630]"
,5,5681.0,707.0,"[4, 7, 2, 4, 3, 1, 2, 2, 7, 6, 4, 6, 4, 5, 2, 0, 1, 1]","[4, 7, 2, 4, 3, 1, 2, 7, 6, 4, 6, 4]","[0, 30, 75, 165, 225, 285, 375, 450, 525, 585, 630, 690]"
,5,5125.0,750.0,"[5, 0, 5, 6, 5, 7, 6, 7, 0, 6, 7, 4, 5, 6, 5, 2, 7, 1]","[5, 0, 5, 6, 5, 7, 6, 7, 0, 6, 7]","[0, 30, 180, 225, 285, 330, 405, 465, 525, 645, 690]"
,8,5203.0,710.5,"[3, 0, 4, 7, 6, 1, 4, 3, 7, 4, 6, 4, 2, 4]","[3, 0, 4, 7, 6, 1, 4, 3, 7, 4, 6]","[0, 60, 210, 255, 330, 390, 480, 525, 585, 645, 675]"
,6,5633.0,706.5,"[4, 5, 3, 5, 7, 2, 4, 2, 2, 4, 4, 4, 5, 1, 0, 0, 4, 0, 2]","[4, 5, 3, 5, 7, 2, 4, 2, 4, 5, 1, 0]","[0, 30, 75, 150, 195, 255, 330, 390, 465, 510, 555, 660]"
,9,5692.0,713.5,"[4, 7, 4, 0, 7, 2, 7, 3, 4, 2, 2, 5, 3]","[4, 7, 4, 0, 7, 2, 7, 3, 4, 2, 5, 3]","[0, 30, 75, 150, 255, 315, 390, 465, 525, 570, 645, 675]"
,8,5679.0,718.0,"[4, 7, 6, 5, 7, 1, 7, 2, 4, 0, 7, 4, 1, 2, 4, 7]","[4, 7, 6, 5, 7, 1, 7, 2, 4, 0, 7, 4]","[0, 30, 75, 135, 195, 255, 345, 420, 480, 525, 645, 705]"
,4,5622.0,706.0,"[5, 3, 1, 4, 3, 4, 3, 5, 4, 5, 1, 4, 2, 0, 3, 0, 1, 4]","[5, 3, 1, 4, 3, 4, 3, 5, 4, 5, 1, 4]","[0, 30, 105, 210, 270, 330, 390, 465, 510, 555, 600, 690]"
,5,5223.0,632.0,"[4, 3, 7, 2, 4, 7, 3, 4, 5, 7, 7, 4]","[4, 3, 7, 2, 4, 7, 3, 4, 5, 7, 4]","[0, 30, 120, 180, 255, 300, 375, 435, 495, 525, 600]"
,5,5649.0,713.5,"[3, 3, 5, 2, 7, 0, 0, 4, 6, 4, 3, 5, 5, 4, 2, 5, 6, 7]","[3, 5, 2, 7, 0, 4, 6, 4, 3, 5, 4, 2]","[0, 60, 120, 195, 255, 360, 420, 480, 525, 585, 630, 660]"
,3,5671.0,706.0,"[5, 5, 7, 4, 7, 4, 7, 5, 1, 4, 3, 4, 0, 5, 0, 4]","[5, 7, 4, 7, 4, 7, 5, 1, 4, 3, 4, 0]","[0, 30, 75, 135, 195, 255, 330, 375, 465, 510, 585, 630]"
,3,3737.0,529.0,"[6, 6, 5, 5, 5, 5, 0, 2, 5, 2, 3, 7]","[6, 5, 0, 2, 5, 2, 3, 7]","[0, 45, 90, 210, 285, 330, 405, 465]"
,6,5617.0,710.0,"[3, 4, 6, 6, 5, 3, 6, 3, 3, 5, 4, 7, 3, 3, 1, 4, 3, 5]","[3, 4, 6, 5, 3, 6, 3, 5, 4, 7, 3, 1]","[0, 60, 120, 195, 240, 300, 360, 435, 480, 525, 585, 645]"
,10,5679.0,715.0,"[1, 7, 2, 4, 4, 7, 3, 2, 7, 5, 7, 4, 3, 3, 2, 3, 0, 0, 7, 0]","[1, 7, 2, 4, 7, 3, 2, 7, 5, 7, 4, 3]","[0, 120, 180, 255, 315, 375, 435, 510, 570, 615, 675, 705]"
,3,6108.0,721.5,"[3, 4, 4, 3, 5, 0, 7, 4, 5, 4, 2, 4, 0, 1, 6, 5]","[3, 4, 3, 5, 0, 7, 4, 5, 4, 2, 4, 6, 5]","[0, 60, 120, 195, 240, 345, 420, 480, 510, 570, 630, 675, 705]"
,5,4207.0,528.5,"[5, 6, 4, 6, 6, 2, 5, 5, 4, 3, 0]","[5, 6, 4, 6, 2, 5, 4, 3, 0]","[0, 30, 60, 135, 195, 255, 300, 360, 420]"
,5,5686.0,735.0,"[4, 2, 4, 6, 3, 7, 7, 3, 7, 2, 6, 4, 7, 4, 4, 2, 5]","[4, 2, 4, 6, 3, 7, 3, 7, 2, 6, 4, 7]","[0, 30, 120, 180, 240, 315, 375, 450, 525, 585, 645, 675]"
,2,5634.0,714.0,"[4, 1, 4, 3, 5, 6, 5, 4, 2, 6, 7, 7, 4, 2, 0, 4]","[4, 1, 4, 3, 5, 6, 5, 4, 2, 6, 7, 4]","[0, 30, 165, 225, 300, 345, 405, 450, 510, 570, 630, 705]"
,7,5643.0,682.5,"[4, 4, 6, 2, 5, 3, 7, 2, 4, 6, 4, 6, 6, 6, 3, 3]","[4, 6, 2, 5, 3, 7, 2, 4, 6, 4, 6, 3]","[0, 30, 75, 150, 210, 270, 345, 405, 465, 525, 570, 630]"
,7,5188.0,647.0,"[5, 5, 6, 3, 7, 3, 7, 7, 3, 4, 7, 7, 7, 3, 2]","[5, 6, 3, 7, 3, 7, 3, 4, 7, 3, 2]","[0, 30, 60, 135, 210, 270, 345, 405, 465, 525, 585]"
,3,5641.0,721.0,"[7, 7, 2, 5, 6, 0, 6, 4, 7, 5, 4, 7, 1, 3, 5, 3, 0, 7]","[7, 2, 5, 6, 0, 6, 4, 7, 5, 4, 7, 3]","[0, 45, 135, 195, 255, 360, 420, 465, 540, 585, 630, 690]"
,4,5629.0,720.0,"[2, 3, 7, 4, 2, 4, 5, 6, 5, 4, 5, 0, 7, 6, 3, 4, 7]","[2, 3, 7, 4, 2, 4, 5, 6, 5, 4, 5, 0]","[0, 75, 135, 210, 270, 330, 390, 435, 510, 555, 600, 645]"
,10,5636.0,708.0,"[5, 7, 4, 4, 2, 7, 4, 3, 6, 2, 0, 5, 5, 6, 6, 2, 6, 0, 1, 4]","[5, 7, 4, 2, 7, 4, 3, 6, 2, 0, 5, 6]","[0, 30, 75, 135, 210, 285, 330, 390, 465, 525, 645, 675]"
,2,5213.0,608.5,"[4, 7, 6, 6, 7, 4, 2, 4, 4, 5, 2, 7, 7, 4, 4]","[4, 7, 6, 7, 4, 2, 4, 5, 2, 7, 4]","[0, 30, 75, 135, 210, 255, 330, 390, 435, 510, 570]"
