日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,5664,649.0,"[4, 7, 5, 4, 7, 5, 5, 5, 2, 7, 7, 4, 6, 3, 4, 4]","[4, 7, 5, 4, 7, 5, 2, 7, 4, 6, 3, 4]","[0, 30, 75, 135, 195, 255, 300, 375, 450, 510, 570, 630]"
,5668,671.0,"[5, 7, 4, 7, 5, 0, 4, 6, 4, 7, 2, 4]","[5, 7, 4, 7, 5, 0, 4, 6, 4, 7, 2, 4]","[0, 30, 75, 135, 195, 255, 360, 405, 465, 510, 585, 645]"
,5652,662.5,"[7, 6, 4, 4, 5, 7, 5, 2, 4, 2, 3, 2, 4, 4]","[7, 6, 4, 5, 7, 5, 2, 4, 2, 3, 2, 4]","[0, 45, 90, 150, 195, 270, 315, 375, 435, 495, 570, 630]"
,5625,655.5,"[4, 5, 2, 6, 4, 3, 7, 5, 2, 2, 3, 4, 5, 5]","[4, 5, 2, 6, 4, 3, 7, 5, 2, 3, 4, 5]","[0, 30, 75, 150, 210, 270, 330, 405, 450, 525, 585, 630]"
,6093,662.5,"[4, 6, 7, 7, 5, 4, 5, 2, 5, 5, 4, 4, 5, 4, 2, 4, 4]","[4, 6, 7, 5, 4, 5, 2, 5, 4, 5, 4, 2, 4]","[0, 30, 75, 135, 195, 240, 300, 375, 420, 480, 510, 570, 630]"
,5672,664.0,"[7, 4, 5, 4, 2, 4, 2, 3, 4, 3, 4, 4, 5, 5]","[7, 4, 5, 4, 2, 4, 2, 3, 4, 3, 4, 5]","[0, 45, 120, 165, 225, 300, 345, 420, 480, 525, 585, 630]"
,5649,666.0,"[5, 7, 2, 7, 4, 4, 2, 5, 4, 5, 5, 4, 4, 7, 2, 0]","[5, 7, 2, 7, 4, 2, 5, 4, 5, 4, 7, 2]","[0, 30, 75, 150, 225, 270, 345, 405, 450, 495, 540, 615]"
,6041,666.0,"[5, 6, 5, 5, 4, 2, 5, 4, 6, 2, 5, 4, 2, 2, 5]","[5, 6, 5, 4, 2, 5, 4, 6, 2, 5, 4, 2, 5]","[0, 30, 60, 120, 180, 255, 300, 360, 405, 480, 525, 570, 645]"
,5638,663.0,"[3, 3, 6, 7, 4, 4, 4, 7, 4, 6, 5, 3, 4, 5, 3]","[3, 6, 7, 4, 7, 4, 6, 5, 3, 4, 5, 3]","[0, 60, 105, 165, 225, 300, 345, 405, 450, 525, 570, 615]"
,6039,665.5,"[5, 6, 4, 6, 3, 5, 5, 3, 5, 4, 2, 5, 4, 5, 0]","[5, 6, 4, 6, 3, 5, 3, 5, 4, 2, 5, 4, 5]","[0, 30, 60, 135, 195, 255, 315, 375, 420, 480, 540, 600, 630]"
