日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-19,602,673,"[2, 2, 1, 2, 0, 2, 3, 2, 3, 2, 0]","[2, 1, 2, 0, 2, 3, 2, 3, 2, 0]","[0, 30, 150, 195, 315, 360, 420, 480, 540, 585]"
2023-08-19,595,659,"[2, 2, 5, 3, 2, 1, 0, 3, 1, 3, 2, 3]","[2, 5, 3, 2, 1, 0, 3, 1, 3, 2, 3]","[0, 30, 60, 135, 180, 270, 375, 435, 525, 570, 615]"
2023-08-19,583,672,"[2, 0, 0, 1, 5, 2, 0, 2, 0, 1]","[2, 0, 1, 5, 2, 0, 2, 0, 1]","[0, 30, 180, 270, 315, 360, 465, 510, 615]"
2023-08-19,612,675,"[4, 2, 0, 4, 0, 2, 0, 2, 0, 3]","[4, 2, 0, 4, 0, 2, 0, 2, 0, 3]","[0, 30, 105, 195, 255, 345, 390, 480, 540, 660]"
2023-08-19,584,674,"[2, 1, 2, 0, 2, 5, 1, 3, 1, 2]","[2, 1, 2, 0, 2, 5, 1, 3, 1, 2]","[0, 30, 150, 195, 315, 360, 420, 510, 555, 645]"
2023-08-19,575,668,"[0, 2, 5, 2, 2, 3, 2, 0, 1, 2, 3, 0, 0, 0]","[0, 2, 5, 2, 3, 2, 0, 1, 2, 3]","[0, 150, 195, 255, 315, 360, 420, 510, 585, 630]"
2023-08-19,595,675,"[2, 5, 1, 6, 1, 2, 0, 2, 3, 4, 5, 5, 2]","[2, 5, 1, 6, 1, 2, 0, 2, 3, 4, 5, 2]","[0, 30, 60, 180, 240, 315, 360, 465, 510, 555, 600, 645]"
2023-08-19,600,673,"[2, 0, 2, 1, 3, 2, 0, 1, 0]","[2, 0, 2, 1, 3, 2, 0, 1, 0]","[0, 30, 180, 240, 315, 360, 420, 510, 585]"
2023-08-19,617,675,"[2, 3, 5, 0, 1, 0, 2, 5, 2, 1, 3]","[2, 3, 5, 0, 1, 0, 2, 5, 2, 1, 3]","[0, 30, 105, 150, 255, 330, 435, 480, 525, 570, 660]"
2023-08-19,595,674,"[2, 3, 5, 2, 3, 0, 2, 3, 3, 1, 3, 1]","[2, 3, 5, 2, 3, 0, 2, 3, 1, 3, 1]","[0, 30, 105, 150, 195, 255, 345, 405, 465, 555, 615]"
2023-08-19,625,672,"[2, 3, 0, 0, 4, 1, 0, 2, 3, 2, 2, 2, 3, 2, 0, 1, 0, 0]","[2, 3, 0, 4, 1, 0, 2, 3, 2, 3, 2]","[0, 30, 105, 210, 255, 330, 435, 480, 540, 585, 630]"
2023-08-19,605,675,"[2, 2, 3, 5, 2, 0, 4, 0, 2, 3, 3, 4, 2, 4, 4, 4]","[2, 3, 5, 2, 0, 4, 0, 2, 3, 4, 2, 4]","[0, 30, 105, 150, 195, 315, 360, 465, 510, 555, 600, 645]"
2023-08-19,578,672,"[2, 2, 4, 6, 0, 1, 4, 3, 2, 1, 2, 2, 5, 4]","[2, 4, 6, 0, 1, 4, 3, 2, 1, 2, 5, 4]","[0, 30, 75, 135, 240, 315, 360, 420, 480, 570, 630, 660]"
2023-08-19,632,670,"[2, 2, 5, 2, 0, 1, 1, 2, 3, 0, 2, 1, 4]","[2, 5, 2, 0, 1, 2, 3, 0, 2, 1, 4]","[0, 30, 60, 135, 240, 315, 360, 420, 510, 555, 645]"
2023-08-19,611,674,"[2, 4, 2, 0, 5, 4, 2, 0, 2, 0, 3]","[2, 4, 2, 0, 5, 4, 2, 0, 2, 0, 3]","[0, 30, 75, 150, 270, 300, 345, 405, 480, 540, 660]"
2023-08-19,654,674,"[2, 5, 2, 0, 1, 2, 0, 2, 1, 1, 2, 3]","[2, 5, 2, 0, 1, 2, 0, 2, 1, 2, 3]","[0, 30, 60, 135, 240, 315, 360, 465, 510, 585, 645]"
2023-08-19,564,672,"[0, 2, 3, 0, 2, 0, 5, 5, 0, 3]","[0, 2, 3, 0, 2, 0, 5, 0, 3]","[0, 150, 195, 255, 345, 405, 480, 525, 630]"
2023-08-19,563,668,"[5, 2, 0, 2, 4, 1, 2, 0, 2, 3]","[5, 2, 0, 2, 4, 1, 2, 0, 2, 3]","[0, 30, 105, 210, 270, 315, 405, 465, 585, 630]"
2023-08-19,606,674,"[2, 1, 0, 2, 3, 0, 3, 2, 1, 1, 3]","[2, 1, 0, 2, 3, 0, 3, 2, 1, 3]","[0, 30, 150, 255, 315, 360, 465, 525, 570, 660]"
2023-08-19,638,674,"[2, 5, 3, 2, 1, 0, 0, 3, 0, 3, 2, 5, 3]","[2, 5, 3, 2, 1, 0, 3, 0, 3, 2, 5, 3]","[0, 30, 60, 135, 180, 270, 375, 435, 525, 570, 615, 660]"
2023-08-19,575,669,"[2, 3, 2, 4, 0, 1, 0, 5, 3, 7, 2]","[2, 3, 2, 4, 0, 1, 0, 5, 3, 7, 2]","[0, 30, 105, 165, 210, 315, 405, 480, 525, 570, 630]"
2023-08-19,544,664,"[2, 3, 5, 2, 1, 4, 3, 4, 0, 5, 1]","[2, 3, 5, 2, 1, 4, 3, 4, 0, 5, 1]","[0, 30, 105, 150, 195, 285, 330, 390, 435, 525, 585]"
2023-08-19,631,665,"[2, 6, 2, 0, 2, 3, 2, 0, 2, 1, 2, 2]","[2, 6, 2, 0, 2, 3, 2, 0, 2, 1, 2]","[0, 30, 60, 135, 255, 300, 360, 405, 495, 555, 630]"
2023-08-19,604,668,"[4, 4, 2, 0, 1, 2, 2, 0, 2, 1, 1, 2, 3]","[4, 2, 0, 1, 2, 0, 2, 1, 2, 3]","[0, 30, 105, 195, 285, 345, 450, 495, 585, 630]"
2023-08-19,596,666,"[2, 3, 4, 2, 0, 1, 0, 2, 4, 5, 2]","[2, 3, 4, 2, 0, 1, 0, 2, 4, 5, 2]","[0, 30, 105, 165, 225, 315, 405, 495, 555, 600, 630]"
2023-08-19,604,673,"[4, 2, 1, 0, 2, 0, 2, 1, 2, 3]","[4, 2, 1, 0, 2, 0, 2, 1, 2, 3]","[0, 30, 105, 210, 315, 360, 465, 510, 585, 630]"
2023-08-19,560,664,"[0, 1, 0, 3, 0, 2, 2, 0, 2, 2]","[0, 1, 0, 3, 0, 2, 0, 2]","[0, 150, 240, 315, 375, 465, 525, 630]"
2023-08-19,561,663,"[4, 1, 0, 2, 1, 0, 5, 2, 0]","[4, 1, 0, 2, 1, 0, 5, 2, 0]","[0, 30, 150, 255, 315, 405, 480, 525, 570]"
2023-08-19,582,659,"[2, 3, 2, 6, 2, 0, 2, 3, 1, 3, 2]","[2, 3, 2, 6, 2, 0, 2, 3, 1, 3, 2]","[0, 30, 105, 165, 210, 285, 375, 435, 495, 570, 630]"
2023-08-19,607,673,"[2, 4, 2, 4, 3, 1, 4, 0, 3, 2, 3, 2, 1, 0, 1, 1, 1]","[2, 4, 2, 4, 3, 1, 4, 0, 3, 2, 3, 2]","[0, 30, 75, 150, 210, 270, 345, 390, 480, 540, 585, 645]"
2023-08-19,592,671,"[2, 5, 0, 4, 2, 3, 3, 0, 2, 0, 1]","[2, 5, 0, 4, 2, 3, 0, 2, 0, 1]","[0, 30, 60, 195, 255, 300, 360, 465, 510, 615]"
2023-08-19,583,671,"[4, 2, 4, 2, 1, 2, 1, 2, 3, 3, 1, 3]","[4, 2, 4, 2, 1, 2, 1, 2, 3, 1, 3]","[0, 30, 105, 165, 225, 315, 360, 465, 510, 555, 630]"
2023-08-19,608,671,"[2, 5, 3, 2, 3, 0, 2, 4, 2, 0, 1]","[2, 5, 3, 2, 3, 0, 2, 4, 2, 0, 1]","[0, 30, 60, 135, 180, 255, 345, 390, 450, 510, 615]"
2023-08-19,610,667,"[2, 0, 2, 0, 0, 1, 0, 2, 1, 2, 0, 1]","[2, 0, 2, 0, 1, 0, 2, 1, 2]","[0, 30, 180, 240, 315, 405, 495, 555, 630]"
2023-08-19,577,658,"[2, 5, 1, 2, 1, 2, 0, 3, 4, 4, 0]","[2, 5, 1, 2, 1, 2, 0, 3, 4, 0]","[0, 30, 60, 180, 240, 315, 360, 465, 525, 570]"
2023-08-19,604,673,"[4, 0, 2, 1, 2, 0, 2, 1, 3, 2]","[4, 0, 2, 1, 2, 0, 2, 1, 3, 2]","[0, 30, 180, 240, 315, 360, 465, 510, 585, 645]"
2023-08-19,576,662,"[2, 3, 2, 4, 2, 4, 2, 2, 3, 2, 5, 0, 4, 0, 0]","[2, 3, 2, 4, 2, 4, 2, 3, 2, 5, 0, 4]","[0, 30, 105, 165, 210, 285, 315, 375, 435, 480, 525, 630]"
2023-08-19,621,661,"[2, 4, 2, 0, 2, 3, 2, 0, 0, 2, 2, 3, 3, 2]","[2, 4, 2, 0, 2, 3, 2, 0, 2, 3, 2]","[0, 30, 75, 150, 270, 315, 375, 420, 510, 570, 615]"
2023-08-19,563,673,"[4, 1, 4, 0, 2, 4, 0, 2, 0, 0, 0, 0, 0, 4]","[4, 1, 4, 0, 2, 4, 0, 2, 0, 4]","[0, 30, 150, 210, 300, 360, 405, 495, 555, 660]"
2023-08-19,617,672,"[2, 6, 3, 2, 4, 1, 2, 3, 0, 1, 2, 4]","[2, 6, 3, 2, 4, 1, 2, 3, 0, 1, 2, 4]","[0, 30, 60, 135, 195, 240, 315, 375, 420, 510, 600, 645]"
2023-08-19,586,675,"[3, 2, 3, 1, 2, 0, 2, 3, 4, 2, 3]","[3, 2, 3, 1, 2, 0, 2, 3, 4, 2, 3]","[0, 75, 135, 210, 300, 360, 465, 510, 555, 600, 660]"
2023-08-19,596,671,"[2, 2, 5, 3, 3, 3, 2, 4, 2, 0, 1, 0, 2, 4, 0, 0]","[2, 5, 3, 2, 4, 2, 0, 1, 0, 2, 4]","[0, 30, 60, 135, 180, 240, 300, 405, 495, 615, 660]"
2023-08-19,586,672,"[4, 4, 2, 0, 2, 4, 5, 2, 0, 3, 1, 3]","[4, 2, 0, 2, 4, 5, 2, 0, 3, 1, 3]","[0, 30, 105, 195, 270, 315, 375, 420, 510, 555, 645]"
2023-08-19,568,674,"[2, 2, 0, 0, 1, 2, 1, 0, 2, 5, 5, 1]","[2, 0, 1, 2, 1, 0, 2, 5, 1]","[0, 30, 180, 270, 330, 420, 510, 555, 615]"
2023-08-19,577,668,"[4, 2, 5, 0, 1, 3, 2, 0, 1, 2]","[4, 2, 5, 0, 1, 3, 2, 0, 1, 2]","[0, 30, 105, 150, 255, 330, 390, 450, 555, 630]"
