日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-19,6085,672,"[5, 3, 2, 6, 5, 3, 5, 4, 3, 3, 6, 6, 4, 7, 4, 1]","[5, 3, 2, 6, 5, 3, 5, 4, 3, 6, 4, 7, 4]","[0, 30, 105, 165, 225, 270, 330, 390, 435, 495, 555, 600, 660]"
2023-08-19,6194,672,"[2, 2, 4, 2, 4, 3, 4, 2, 2, 2, 4, 4, 7, 3, 4, 2, 4, 1]","[2, 4, 2, 4, 3, 4, 2, 4, 7, 3, 4, 2, 4]","[0, 30, 75, 150, 210, 270, 330, 375, 435, 510, 555, 600, 660]"
2023-08-19,6166,671,"[4, 5, 2, 4, 3, 3, 2, 2, 4, 3, 2, 7, 4, 2, 4]","[4, 5, 2, 4, 3, 2, 4, 3, 2, 7, 4, 2, 4]","[0, 30, 60, 135, 195, 255, 300, 345, 420, 480, 555, 600, 660]"
2023-08-19,6174,673,"[2, 4, 3, 4, 7, 4, 2, 6, 2, 3, 4, 3, 4]","[2, 4, 3, 4, 7, 4, 2, 6, 2, 3, 4, 3, 4]","[0, 30, 75, 165, 210, 300, 330, 390, 450, 510, 555, 600, 645]"
2023-08-19,6177,673,"[2, 4, 3, 7, 3, 4, 3, 4, 4, 2, 2, 3, 2, 3, 4, 1]","[2, 4, 3, 7, 3, 4, 3, 4, 2, 3, 2, 3, 4]","[0, 30, 75, 165, 225, 300, 330, 390, 450, 510, 555, 615, 660]"
2023-08-19,5718,671,"[4, 2, 2, 4, 3, 4, 2, 2, 7, 0, 2, 4, 2, 4, 4, 0]","[4, 2, 4, 3, 4, 2, 7, 0, 2, 4, 2, 4]","[0, 30, 105, 165, 240, 285, 345, 405, 495, 540, 600, 645]"
2023-08-19,6151,675,"[4, 3, 6, 4, 2, 5, 4, 7, 3, 3, 2, 7, 4, 4, 3, 0, 0]","[4, 3, 6, 4, 2, 5, 4, 7, 3, 2, 7, 4, 3]","[0, 30, 105, 165, 225, 285, 330, 375, 435, 495, 555, 615, 645]"
2023-08-19,6147,671,"[2, 4, 3, 6, 4, 4, 5, 5, 2, 4, 3, 2, 7, 4, 2]","[2, 4, 3, 6, 4, 5, 2, 4, 3, 2, 7, 4, 2]","[0, 30, 75, 165, 210, 270, 315, 360, 420, 480, 540, 600, 630]"
2023-08-19,6172,675,"[2, 4, 3, 4, 2, 2, 3, 7, 6, 2, 4, 7, 4, 3]","[2, 4, 3, 4, 2, 3, 7, 6, 2, 4, 7, 4, 3]","[0, 30, 75, 165, 210, 270, 345, 405, 450, 510, 555, 615, 645]"
2023-08-19,6627,674,"[4, 6, 2, 4, 2, 5, 4, 2, 4, 2, 3, 7, 4, 3, 3]","[4, 6, 2, 4, 2, 5, 4, 2, 4, 2, 3, 7, 4, 3]","[0, 30, 75, 135, 195, 270, 300, 345, 405, 465, 510, 555, 615, 660]"
2023-08-19,5700,670,"[2, 4, 3, 4, 3, 4, 0, 4, 6, 2, 4, 2, 1, 1, 1, 0]","[2, 4, 3, 4, 3, 4, 0, 4, 6, 2, 4, 2]","[0, 30, 75, 165, 210, 270, 330, 435, 480, 540, 585, 630]"
2023-08-19,6128,671,"[4, 6, 3, 2, 6, 2, 5, 3, 2, 7, 4, 2, 4, 1]","[4, 6, 3, 2, 6, 2, 5, 3, 2, 7, 4, 2, 4]","[0, 30, 75, 150, 195, 255, 315, 360, 405, 465, 555, 600, 645]"
2023-08-19,6161,670,"[2, 6, 7, 2, 2, 2, 3, 1, 4, 2, 4, 2, 4, 2, 4]","[2, 6, 7, 2, 3, 1, 4, 2, 4, 2, 4, 2, 4]","[0, 30, 60, 150, 195, 255, 330, 375, 435, 480, 540, 585, 645]"
2023-08-19,6186,672,"[2, 4, 2, 4, 2, 4, 3, 2, 7, 4, 3, 4, 3, 0, 0, 0]","[2, 4, 2, 4, 2, 4, 3, 2, 7, 4, 3, 4, 3]","[0, 30, 75, 150, 210, 270, 315, 375, 420, 495, 555, 600, 645]"
2023-08-19,6161,673,"[4, 6, 4, 2, 4, 7, 5, 2, 4, 2, 7, 2, 4, 0]","[4, 6, 4, 2, 4, 7, 5, 2, 4, 2, 7, 2, 4]","[0, 30, 75, 150, 195, 240, 330, 375, 420, 495, 540, 615, 660]"
2023-08-19,6160,674,"[4, 2, 4, 6, 4, 5, 3, 3, 2, 7, 4, 7, 2, 4]","[4, 2, 4, 6, 4, 5, 3, 2, 7, 4, 7, 2, 4]","[0, 30, 105, 165, 225, 270, 315, 360, 420, 480, 555, 615, 660]"
2023-08-19,6157,670,"[5, 4, 5, 4, 7, 4, 3, 4, 3, 3, 2, 4, 7, 4, 0]","[5, 4, 5, 4, 7, 4, 3, 4, 3, 2, 4, 7, 4]","[0, 30, 90, 135, 180, 255, 315, 360, 420, 480, 540, 585, 645]"
2023-08-19,6171,674,"[2, 3, 4, 2, 4, 5, 7, 4, 3, 2, 4, 7, 4]","[2, 3, 4, 2, 4, 5, 7, 4, 3, 2, 4, 7, 4]","[0, 30, 105, 165, 225, 285, 315, 390, 450, 510, 555, 600, 660]"
2023-08-19,6157,675,"[5, 4, 6, 2, 4, 0, 4, 3, 2, 4, 3, 7, 4]","[5, 4, 6, 2, 4, 0, 4, 3, 2, 4, 3, 7, 4]","[0, 30, 90, 150, 195, 240, 330, 375, 435, 495, 540, 600, 660]"
2023-08-19,6173,674,"[4, 4, 6, 2, 7, 4, 7, 4, 7, 2, 6, 7, 2, 4]","[4, 6, 2, 7, 4, 7, 4, 7, 2, 6, 7, 2, 4]","[0, 30, 75, 135, 210, 270, 330, 375, 450, 495, 555, 615, 660]"
2023-08-19,6160,674,"[4, 3, 6, 2, 4, 7, 7, 2, 4, 4, 5, 4, 7, 2, 4, 4, 1, 0]","[4, 3, 6, 2, 4, 7, 2, 4, 5, 4, 7, 2, 4]","[0, 30, 105, 165, 225, 270, 345, 390, 450, 510, 555, 615, 660]"
2023-08-19,6153,663,"[2, 4, 2, 2, 3, 4, 6, 4, 7, 3, 4, 3, 3, 4, 5, 0]","[2, 4, 2, 3, 4, 6, 4, 7, 3, 4, 3, 4, 5]","[0, 30, 75, 150, 225, 270, 330, 375, 450, 510, 555, 600, 645]"
2023-08-19,6189,669,"[2, 4, 7, 4, 7, 4, 2, 4, 6, 6, 2, 2, 4, 2, 4, 0, 1]","[2, 4, 7, 4, 7, 4, 2, 4, 6, 2, 4, 2, 4]","[0, 30, 75, 150, 210, 285, 330, 390, 450, 495, 555, 600, 660]"
2023-08-19,6173,674,"[4, 3, 4, 6, 4, 3, 7, 4, 2, 3, 4, 2, 3]","[4, 3, 4, 6, 4, 3, 7, 4, 2, 3, 4, 2, 3]","[0, 30, 105, 165, 225, 270, 345, 405, 465, 510, 555, 600, 660]"
2023-08-19,6162,669,"[2, 6, 7, 2, 4, 6, 4, 2, 7, 4, 3, 2, 4]","[2, 6, 7, 2, 4, 6, 4, 2, 7, 4, 3, 2, 4]","[0, 30, 60, 150, 195, 240, 300, 345, 390, 480, 555, 600, 660]"
2023-08-19,6146,662,"[2, 4, 7, 2, 5, 4, 3, 2, 3, 6, 4, 3, 4]","[2, 4, 7, 2, 5, 4, 3, 2, 3, 6, 4, 3, 4]","[0, 30, 75, 150, 210, 240, 300, 345, 405, 465, 540, 585, 630]"
