日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,865,651,"[0, 0, 0, 1, 3, 2, 4, 5, 4, 2, 1, 3, 1, 0, 5]","[0, 0, 0, 1, 3, 2, 4, 5, 4, 2, 1, 3, 1, 0, 5]","[0, 120, 195, 240, 315, 345, 405, 420, 435, 450, 510, 525, 555, 570, 645]"
2022-07-01,935,659,"[0, 1, 0, 2, 0, 3, 4, 4, 5, 0, 1, 1, 1, 3, 0]","[0, 1, 0, 2, 0, 3, 4, 4, 5, 0, 1, 1, 1, 3, 0]","[0, 120, 180, 240, 300, 360, 390, 405, 435, 450, 510, 525, 540, 570, 585]"
2022-07-01,925,617,"[2, 2, 0, 1, 0, 0, 3, 2, 3, 1, 1, 3, 1, 5, 1]","[2, 2, 0, 1, 0, 0, 3, 2, 3, 1, 1, 3, 1, 5, 1]","[0, 75, 120, 195, 270, 345, 420, 435, 495, 510, 525, 540, 570, 585, 600]"
2022-07-01,948,640,"[0, 0, 4, 0, 1, 0, 0, 3, 0, 1, 1, 1, 3, 3]","[0, 0, 4, 0, 1, 0, 0, 3, 0, 1, 1, 1, 3, 3]","[0, 120, 195, 210, 270, 330, 405, 465, 480, 555, 570, 585, 600, 630]"
2022-07-01,937,624,"[0, 0, 1, 3, 4, 0, 4, 0, 0, 1, 4, 1, 1, 5, 1]","[0, 0, 1, 3, 4, 0, 4, 0, 0, 1, 4, 1, 1, 5, 1]","[0, 120, 195, 255, 285, 315, 375, 390, 450, 510, 525, 555, 570, 585, 615]"
2022-07-02,721,652,"[1, 3, 3, 5, 1, 0, 1, 3, 4, 1, 4, 4, 4, 4, 4]","[1, 3, 3, 5, 1, 0, 1, 3, 4, 1, 4, 4, 4, 4, 4]","[0, 30, 90, 150, 180, 270, 360, 435, 480, 495, 570, 585, 600, 630, 645]"
2022-07-02,650,656,"[3, 5, 0, 2, 3, 1, 3, 3, 4, 3, 3, 4, 4, 3]","[3, 5, 0, 2, 3, 1, 3, 3, 4, 3, 3, 4, 4, 3]","[0, 45, 90, 225, 285, 330, 420, 450, 495, 510, 555, 600, 615, 630]"
2022-07-02,635,650,"[4, 5, 3, 5, 0, 4, 3, 1, 3, 1, 3, 4, 3, 4]","[4, 5, 3, 5, 0, 4, 3, 1, 3, 1, 3, 4, 3, 4]","[0, 30, 45, 105, 150, 255, 300, 360, 435, 465, 540, 585, 600, 645]"
2022-07-02,628,654,"[1, 0, 5, 4, 2, 3, 0, 3, 4, 5, 2, 1]","[1, 0, 5, 4, 2, 3, 0, 3, 4, 5, 2, 1]","[0, 30, 165, 195, 240, 300, 345, 435, 480, 495, 525, 585]"
2022-07-02,672,660,"[1, 0, 0, 1, 1, 0, 1, 4, 4, 4, 3]","[1, 0, 0, 1, 1, 0, 1, 4, 4, 4, 3]","[0, 30, 165, 255, 345, 420, 510, 570, 600, 615, 630]"
