日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,8028,663,"[3, 4, 3, 1, 0, 2, 3, 4, 3, 4, 3, 5, 3, 2, 3, 1, 4]","[3, 4, 3, 1, 0, 2, 3, 4, 3, 4, 3, 5, 3, 2, 3, 1, 4]","[0, 45, 75, 135, 195, 255, 315, 345, 390, 420, 435, 480, 495, 525, 585, 615, 645]"
2022-07-01,8050,673,"[7, 3, 2, 4, 0, 4, 7, 3, 4, 3, 5, 5, 4, 2, 4, 4, 3, 4, 5]","[7, 3, 2, 4, 0, 4, 7, 3, 4, 3, 5, 4, 2, 4, 3, 4, 5]","[0, 45, 120, 180, 195, 255, 300, 360, 405, 420, 450, 480, 510, 555, 600, 630, 660]"
2022-07-01,8030,657,"[4, 5, 7, 2, 4, 3, 5, 4, 0, 4, 3, 3, 4, 3, 4, 5, 7, 2]","[4, 5, 7, 2, 4, 3, 5, 4, 0, 4, 3, 4, 3, 4, 5, 7, 2]","[0, 30, 60, 120, 180, 195, 240, 270, 300, 360, 405, 435, 465, 480, 510, 540, 600]"
2022-07-01,7124,670,"[6, 7, 4, 3, 0, 4, 0, 7, 4, 3, 4, 2, 1, 4, 2, 0]","[6, 7, 4, 3, 0, 4, 0, 7, 4, 3, 4, 2, 1, 4, 2]","[0, 45, 90, 135, 180, 255, 300, 360, 435, 450, 480, 510, 570, 585, 630]"
2022-07-01,7914,639,"[4, 6, 5, 1, 3, 5, 5, 2, 6, 3, 3, 6, 4, 3, 5, 1, 3, 5, 3]","[4, 6, 5, 1, 3, 5, 2, 6, 3, 6, 4, 3, 5, 1, 3, 5, 3]","[0, 30, 75, 105, 165, 225, 255, 315, 360, 405, 465, 495, 525, 540, 570, 600, 615]"
2022-07-01,7593,662,"[7, 4, 4, 6, 1, 1, 3, 4, 3, 2, 4, 7, 3, 4, 4, 3, 4, 3, 7]","[7, 4, 6, 1, 3, 4, 3, 2, 4, 7, 3, 4, 3, 4, 3, 7]","[0, 45, 75, 135, 195, 240, 270, 315, 375, 405, 465, 480, 510, 540, 570, 615]"
2022-07-01,7966,647,"[6, 4, 5, 4, 3, 4, 7, 5, 5, 0, 3, 5, 0, 1, 1, 1, 3, 1, 6, 3]","[6, 4, 5, 4, 3, 4, 7, 5, 0, 3, 5, 0, 1, 3, 1, 6, 3]","[0, 45, 75, 105, 165, 210, 225, 285, 315, 375, 420, 435, 510, 525, 555, 585, 630]"
2022-07-01,7560,674,"[3, 4, 4, 2, 7, 0, 1, 7, 4, 3, 2, 3, 1, 5, 3, 4, 3]","[3, 4, 2, 7, 0, 1, 7, 4, 3, 2, 3, 1, 5, 3, 4, 3]","[0, 45, 75, 135, 210, 270, 330, 390, 420, 450, 510, 540, 555, 585, 615, 660]"
2022-07-01,7067,675,"[6, 2, 3, 5, 4, 2, 3, 0, 4, 4, 3, 6, 1, 3, 4, 7]","[6, 2, 3, 5, 4, 2, 3, 0, 4, 3, 6, 1, 3, 4, 7]","[0, 45, 120, 165, 195, 225, 285, 330, 420, 435, 465, 540, 555, 585, 615]"
2022-07-01,7973,647,"[4, 7, 5, 2, 5, 5, 4, 7, 5, 7, 6, 4, 3, 5, 5, 5, 3, 4, 6, 3]","[4, 7, 5, 2, 5, 4, 7, 5, 7, 6, 4, 3, 5, 3, 4, 6, 3]","[0, 30, 75, 105, 165, 195, 225, 285, 315, 375, 435, 465, 495, 510, 540, 585, 630]"
2022-07-02,6103,653,"[4, 7, 7, 4, 5, 1, 7, 3, 2, 4, 6, 5, 4, 5]","[4, 7, 4, 5, 1, 7, 3, 2, 4, 6, 5, 4, 5]","[0, 30, 75, 135, 180, 270, 330, 390, 450, 495, 570, 600, 630]"
2022-07-02,6131,665,"[1, 3, 4, 7, 4, 5, 3, 4, 5, 3, 0, 4, 3]","[1, 3, 4, 7, 4, 5, 3, 4, 5, 3, 0, 4, 3]","[0, 30, 105, 165, 225, 270, 315, 375, 420, 465, 495, 615, 630]"
