日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,826,660,"[0, 1, 0, 3, 3, 3, 1, 1, 1, 3, 1, 1, 3, 6]","[0, 1, 0, 3, 3, 3, 1, 1, 1, 3, 1, 1, 3, 6]","[0, 120, 180, 255, 300, 345, 375, 435, 510, 525, 555, 585, 600, 630]"
2022-07-02,617,655,"[1, 3, 0, 3, 5, 0, 3, 3, 3, 4, 4, 5, 4]","[1, 3, 0, 3, 5, 0, 3, 3, 3, 4, 4, 5, 4]","[0, 30, 105, 225, 285, 330, 435, 480, 525, 570, 600, 615, 645]"
2022-07-03,681,649,"[3, 6, 5, 4, 0, 5, 0, 3, 1, 4, 0, 3, 0]","[3, 6, 5, 4, 0, 5, 0, 3, 1, 4, 0, 3, 0]","[0, 30, 60, 105, 135, 225, 270, 345, 405, 465, 495, 570, 600]"
2022-07-04,857,658,"[3, 0, 5, 0, 0, 0, 0, 0, 4, 1, 5, 0, 4, 4]","[3, 0, 5, 0, 0, 0, 0, 0, 4, 1, 5, 0, 4, 4]","[0, 30, 120, 150, 210, 285, 345, 405, 450, 480, 525, 555, 615, 630]"
2022-07-05,676,653,"[3, 4, 1, 0, 1, 3, 4, 0, 4, 0, 1, 5]","[3, 4, 1, 0, 1, 3, 4, 0, 4, 0, 1, 5]","[0, 30, 60, 135, 210, 270, 315, 360, 450, 480, 570, 645]"
2022-07-06,1028,658,"[3, 5, 5, 0, 5, 1, 0, 5, 0, 3, 1, 0, 3, 0, 0, 0, 2]","[3, 5, 5, 0, 5, 1, 0, 5, 0, 3, 1, 0, 3, 0, 0, 0, 2]","[0, 45, 60, 90, 165, 180, 240, 285, 300, 360, 375, 435, 465, 495, 540, 585, 630]"
2022-07-07,872,660,"[1, 1, 4, 0, 5, 1, 0, 0, 0, 5, 4, 3, 4, 0, 3]","[1, 1, 4, 0, 5, 1, 0, 0, 0, 5, 4, 3, 4, 0, 3]","[0, 90, 135, 165, 225, 255, 315, 375, 420, 480, 510, 525, 555, 585, 645]"
2022-07-08,768,658,"[2, 4, 4, 4, 4, 3, 1, 5, 0, 1, 3, 3, 5, 3, 3, 3, 4]","[2, 4, 4, 4, 4, 3, 1, 5, 0, 1, 3, 3, 5, 3, 3, 3, 4]","[0, 75, 90, 105, 135, 150, 210, 270, 315, 375, 435, 465, 510, 540, 570, 600, 630]"
2022-07-09,468,657,"[3, 0, 2, 4, 0, 5, 2, 0]","[3, 0, 2, 4, 0, 5, 2, 0]","[0, 30, 195, 270, 330, 480, 525, 645]"
2022-07-10,475,657,"[5, 5, 3, 2, 1, 2, 0, 3, 4, 4]","[5, 5, 3, 2, 1, 2, 0, 3, 4, 4]","[0, 30, 75, 150, 255, 345, 435, 540, 600, 630]"
2022-07-11,782,647,"[1, 6, 1, 1, 0, 3, 0, 3, 0, 4, 1, 0, 5]","[1, 6, 1, 1, 0, 3, 0, 3, 0, 4, 1, 0, 5]","[0, 30, 75, 135, 195, 270, 315, 375, 420, 480, 510, 570, 630]"
2022-07-12,771,640,"[4, 4, 3, 0, 4, 2, 3, 0, 3, 0, 5, 5, 0, 3, 3]","[4, 4, 3, 0, 4, 2, 3, 0, 3, 0, 5, 5, 0, 3, 3]","[0, 30, 60, 105, 180, 225, 270, 300, 375, 405, 465, 495, 510, 585, 615]"
2022-07-13,844,660,"[6, 1, 4, 0, 5, 0, 0, 1, 3, 4, 0, 0, 2, 3, 5]","[6, 1, 4, 0, 5, 0, 0, 1, 3, 4, 0, 0, 2, 3, 5]","[0, 45, 105, 150, 210, 225, 285, 345, 420, 435, 465, 525, 585, 615, 645]"
2022-07-14,849,657,"[3, 2, 0, 0, 3, 4, 4, 5, 2, 3, 0, 0, 0, 3, 3]","[3, 2, 0, 0, 3, 4, 4, 5, 2, 3, 0, 0, 0, 3, 3]","[0, 45, 105, 165, 225, 255, 285, 300, 330, 405, 420, 480, 540, 600, 630]"
2022-07-15,572,650,"[0, 1, 0, 0, 5, 5, 4, 0, 3, 4]","[0, 1, 0, 0, 5, 5, 4, 0, 3, 4]","[0, 120, 210, 315, 405, 435, 450, 495, 585, 630]"
2022-07-16,557,657,"[6, 3, 2, 5, 2, 5, 3, 1, 3, 0, 0]","[6, 3, 2, 5, 2, 5, 3, 1, 3, 0, 0]","[0, 45, 120, 210, 255, 345, 390, 465, 570, 630, 645]"
2022-07-17,602,635,"[2, 7, 3, 3, 3, 1, 1, 0, 0, 0]","[2, 7, 3, 3, 3, 1, 1, 0, 0, 0]","[0, 30, 75, 90, 105, 135, 270, 420, 600, 615]"
2022-07-18,644,660,"[3, 5, 3, 1, 1, 1, 0, 5, 0, 4, 3, 3]","[3, 5, 3, 1, 1, 1, 0, 5, 0, 4, 3, 3]","[0, 30, 60, 135, 195, 285, 360, 450, 495, 570, 600, 645]"
2022-07-19,896,655,"[5, 3, 1, 0, 0, 1, 4, 0, 1, 3, 3, 0, 3, 5, 0]","[5, 3, 1, 0, 0, 1, 4, 0, 1, 3, 3, 0, 3, 5, 0]","[0, 30, 75, 150, 210, 285, 300, 330, 390, 420, 450, 480, 540, 570, 600]"
2022-07-20,951,659,"[1, 6, 0, 4, 3, 1, 0, 1, 3, 5, 3, 0, 0, 1, 1, 2]","[1, 6, 0, 4, 3, 1, 0, 1, 3, 5, 3, 0, 0, 1, 1, 2]","[0, 30, 75, 135, 165, 195, 240, 285, 345, 375, 390, 420, 465, 510, 570, 630]"
2022-07-21,607,657,"[0, 1, 1, 0, 2, 0, 0, 4, 3]","[0, 1, 1, 0, 2, 0, 0, 4, 3]","[0, 135, 210, 285, 360, 435, 525, 600, 630]"
2022-07-22,549,653,"[3, 4, 0, 3, 2, 5, 1, 5, 4, 3, 0]","[3, 4, 0, 3, 2, 5, 1, 5, 4, 3, 0]","[0, 60, 120, 240, 300, 375, 405, 480, 495, 525, 570]"
2022-07-23,557,639,"[5, 5, 2, 0, 0, 2, 0, 4, 4, 5, 3]","[5, 5, 2, 0, 0, 2, 0, 4, 4, 5, 3]","[0, 30, 75, 165, 270, 390, 450, 555, 570, 585, 615]"
2022-07-24,734,640,"[1, 3, 3, 3, 0, 0, 0, 0, 2, 0, 2]","[1, 3, 3, 3, 0, 0, 0, 0, 2, 0, 2]","[0, 120, 135, 150, 180, 255, 315, 390, 465, 525, 600]"
2022-07-25,529,660,"[0, 1, 4, 0, 5, 3, 0, 1, 4]","[0, 1, 4, 0, 5, 3, 0, 1, 4]","[0, 120, 225, 270, 375, 420, 465, 540, 630]"
2022-07-26,627,658,"[7, 3, 1, 0, 4, 5, 0, 5, 0, 0, 4, 4]","[7, 3, 1, 0, 4, 5, 0, 5, 0, 0, 4, 4]","[0, 45, 105, 135, 195, 240, 285, 375, 435, 510, 615, 645]"
2022-07-27,739,649,"[2, 0, 0, 3, 5, 3, 1, 3, 3, 3, 3, 2, 5, 4, 4]","[2, 0, 0, 3, 5, 3, 1, 3, 3, 3, 3, 2, 5, 4, 4]","[0, 30, 150, 225, 270, 300, 345, 450, 465, 480, 495, 510, 585, 615, 630]"
2022-07-28,702,660,"[4, 1, 1, 5, 0, 3, 0, 3, 4, 0, 2, 3, 5]","[4, 1, 1, 5, 0, 3, 0, 3, 4, 0, 2, 3, 5]","[0, 30, 135, 210, 240, 315, 345, 420, 450, 480, 555, 615, 645]"
2022-07-29,640,657,"[3, 2, 1, 5, 1, 0, 3, 3, 2, 3, 2, 3]","[3, 2, 1, 5, 1, 0, 3, 3, 2, 3, 2, 3]","[0, 60, 150, 225, 270, 345, 420, 450, 495, 555, 585, 645]"
2022-08-01,652,650,"[3, 4, 1, 2, 1, 0, 3, 0, 0, 0]","[3, 4, 1, 2, 1, 0, 3, 0, 0, 0]","[0, 60, 120, 180, 240, 330, 390, 435, 510, 570]"
2022-08-02,770,648,"[3, 1, 0, 3, 3, 3, 3, 3, 0, 5, 5, 0, 3, 3, 4]","[3, 1, 0, 3, 3, 3, 3, 3, 0, 5, 5, 0, 3, 3, 4]","[0, 60, 150, 225, 270, 285, 300, 330, 345, 420, 450, 480, 540, 585, 630]"
2022-08-03,685,653,"[4, 1, 3, 0, 0, 0, 0, 4, 1, 2, 3]","[4, 1, 3, 0, 0, 0, 0, 4, 1, 2, 3]","[0, 30, 120, 135, 225, 300, 375, 435, 480, 555, 615]"
2022-08-04,890,654,"[3, 4, 0, 2, 0, 3, 0, 3, 0, 1, 0, 0, 5, 4, 4]","[3, 4, 0, 2, 0, 3, 0, 3, 0, 1, 0, 0, 5, 4, 4]","[0, 75, 120, 135, 210, 285, 315, 390, 405, 480, 555, 585, 600, 615, 645]"
2022-08-05,633,655,"[1, 3, 3, 1, 5, 2, 0, 4, 2, 0, 4, 4]","[1, 3, 3, 1, 5, 2, 0, 4, 2, 0, 4, 4]","[0, 30, 45, 75, 180, 225, 285, 390, 435, 495, 600, 645]"
2022-08-06,487,657,"[3, 4, 4, 0, 3, 0, 5, 4, 1, 4]","[3, 4, 4, 0, 3, 0, 5, 4, 1, 4]","[0, 60, 135, 195, 300, 330, 435, 480, 525, 630]"
