日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-19,7083,720,"[5, 4, 5, 2, 7, 3, 7, 2, 4, 6, 4, 3, 4, 1, 3, 4, 6, 0, 3]","[5, 4, 5, 2, 7, 3, 7, 2, 4, 6, 4, 3, 4, 3, 4]","[0, 30, 90, 135, 180, 240, 315, 375, 435, 495, 540, 585, 645, 675, 705]"
2023-08-19,7072,725,"[4, 6, 7, 5, 3, 6, 2, 4, 7, 4, 5, 2, 4, 1, 4, 3, 5, 0, 7]","[4, 6, 7, 5, 3, 6, 2, 4, 7, 4, 5, 2, 4, 4, 3]","[0, 30, 75, 150, 210, 270, 330, 375, 435, 510, 570, 615, 660, 690, 705]"
2023-08-19,7104,720,"[2, 2, 5, 3, 2, 3, 4, 2, 7, 6, 4, 7, 4, 3, 4, 1, 4, 4, 0]","[2, 5, 3, 2, 3, 4, 2, 7, 6, 4, 7, 4, 3, 4, 4]","[0, 30, 60, 135, 180, 255, 315, 360, 450, 495, 555, 615, 660, 675, 705]"
2023-08-19,7104,775,"[4, 6, 7, 2, 5, 3, 3, 4, 3, 4, 3, 4, 2, 4, 2, 7, 6, 1, 0]","[4, 6, 7, 2, 5, 3, 4, 3, 4, 3, 4, 2, 4, 2, 7]","[0, 30, 75, 150, 195, 255, 315, 375, 420, 495, 540, 600, 645, 675, 705]"
2023-08-19,7116,768,"[4, 6, 2, 3, 4, 2, 4, 6, 3, 4, 2, 4, 2, 4, 1, 0, 7, 2, 6, 5]","[4, 6, 2, 3, 4, 2, 4, 6, 3, 4, 2, 4, 2, 4, 7]","[0, 30, 75, 135, 210, 255, 315, 360, 420, 480, 540, 585, 645, 675, 705]"
2023-08-19,7095,767,"[4, 5, 6, 7, 4, 5, 2, 4, 0, 4, 3, 4, 2, 4, 7, 1, 0, 6]","[4, 5, 6, 7, 4, 5, 2, 4, 0, 4, 3, 4, 2, 4, 7]","[0, 30, 60, 120, 195, 240, 300, 345, 405, 495, 555, 600, 645, 675, 705]"
2023-08-19,7062,722,"[2, 2, 7, 6, 2, 3, 3, 5, 2, 7, 3, 2, 4, 5, 4, 0, 1, 3, 2]","[2, 7, 6, 2, 3, 5, 2, 7, 3, 2, 4, 5, 4, 3, 2]","[0, 30, 105, 165, 225, 285, 330, 375, 450, 510, 555, 600, 630, 675, 690]"
2023-08-19,7558,720,"[2, 6, 5, 3, 4, 2, 4, 7, 7, 4, 2, 3, 4, 5, 4, 1, 4, 3, 0]","[2, 6, 5, 3, 4, 2, 4, 7, 4, 2, 3, 4, 5, 4, 4, 3]","[0, 30, 60, 135, 195, 240, 300, 345, 405, 480, 525, 570, 630, 660, 675, 705]"
2023-08-19,7087,723,"[4, 5, 6, 4, 1, 6, 4, 2, 7, 4, 3, 4, 2, 2, 3, 0, 4, 2, 5]","[4, 5, 6, 4, 1, 6, 4, 2, 7, 4, 3, 4, 2, 3, 4]","[0, 30, 60, 120, 180, 270, 330, 375, 420, 495, 540, 600, 630, 675, 705]"
2023-08-19,7063,771,"[4, 7, 2, 6, 3, 2, 3, 6, 7, 2, 4, 5, 4, 5, 7, 4, 2, 4, 1, 0]","[4, 7, 2, 6, 3, 2, 3, 6, 7, 2, 4, 5, 4, 5, 7]","[0, 30, 105, 165, 210, 285, 330, 390, 450, 540, 585, 630, 660, 690, 705]"
2023-08-19,7081,726,"[2, 4, 2, 2, 6, 3, 4, 1, 6, 4, 3, 4, 5, 4, 3, 4, 7, 0, 2, 4]","[2, 4, 2, 6, 3, 4, 1, 6, 4, 3, 4, 5, 4, 3, 4]","[0, 30, 75, 150, 210, 270, 330, 420, 480, 540, 600, 630, 660, 690, 705]"
2023-08-19,7093,775,"[4, 2, 6, 2, 4, 3, 6, 2, 4, 4, 7, 4, 5, 4, 3, 1, 0, 7]","[4, 2, 6, 2, 4, 3, 6, 2, 4, 7, 4, 5, 4, 3, 7]","[0, 30, 105, 165, 210, 270, 330, 390, 465, 525, 585, 645, 660, 690, 705]"
2023-08-19,7099,728,"[4, 5, 6, 2, 4, 0, 4, 3, 3, 7, 2, 3, 7, 3, 1, 3, 4, 2, 3]","[4, 5, 6, 2, 4, 0, 4, 3, 7, 2, 3, 7, 3, 3, 4]","[0, 30, 60, 120, 165, 225, 315, 360, 420, 480, 540, 585, 645, 690, 705]"
2023-08-19,7128,728,"[4, 7, 3, 2, 4, 7, 7, 4, 3, 2, 2, 7, 4, 5, 4, 3, 0, 1, 4, 6]","[4, 7, 3, 2, 4, 7, 4, 3, 2, 7, 4, 5, 4, 3, 4]","[0, 30, 105, 180, 225, 285, 345, 405, 465, 510, 585, 630, 660, 690, 705]"
2023-08-19,7082,711,"[2, 4, 7, 2, 3, 5, 4, 2, 7, 6, 4, 7, 4, 5, 3, 1, 2, 4, 0, 3]","[2, 4, 7, 2, 3, 5, 4, 2, 7, 6, 4, 7, 4, 5, 3]","[0, 30, 75, 150, 210, 270, 315, 360, 405, 480, 525, 570, 645, 675, 690]"
2023-08-19,6653,728,"[4, 3, 0, 4, 2, 7, 4, 3, 1, 3, 2, 4, 3, 4, 6, 5, 1, 6]","[4, 3, 0, 4, 2, 7, 4, 3, 1, 3, 2, 4, 3, 4]","[0, 30, 105, 210, 255, 315, 375, 435, 495, 570, 630, 660, 690, 705]"
2023-08-19,6646,710,"[2, 7, 3, 4, 0, 4, 2, 7, 4, 3, 4, 4, 5, 4, 3, 4, 6, 1, 2]","[2, 7, 3, 4, 0, 4, 2, 7, 4, 3, 4, 5, 4, 3]","[0, 30, 105, 165, 225, 315, 375, 420, 480, 555, 600, 645, 675, 690]"
2023-08-19,7091,767,"[4, 6, 2, 3, 4, 4, 2, 1, 4, 2, 3, 4, 3, 3, 4, 5, 0, 7]","[4, 6, 2, 3, 4, 2, 1, 4, 2, 3, 4, 3, 4, 5, 7]","[0, 30, 75, 135, 210, 255, 315, 390, 450, 510, 555, 600, 645, 675, 705]"
2023-08-19,7076,724,"[5, 6, 7, 4, 4, 3, 4, 7, 5, 3, 2, 4, 2, 4, 4, 0, 2, 2, 1, 3]","[5, 6, 7, 4, 3, 4, 7, 5, 3, 2, 4, 2, 4, 2, 3]","[0, 30, 75, 150, 195, 270, 315, 375, 450, 510, 555, 600, 660, 675, 705]"
2023-08-19,7094,724,"[4, 6, 2, 3, 5, 2, 2, 4, 2, 4, 1, 4, 3, 3, 4, 2, 4, 0, 7]","[4, 6, 2, 3, 5, 2, 4, 2, 4, 1, 4, 3, 4, 2, 4]","[0, 30, 75, 135, 210, 240, 300, 345, 405, 465, 555, 600, 660, 675, 705]"
2023-08-19,7098,720,"[2, 6, 3, 2, 4, 4, 6, 7, 3, 4, 4, 2, 7, 2, 3, 1, 4, 3, 5, 0]","[2, 6, 3, 2, 4, 6, 7, 3, 4, 2, 7, 2, 3, 4, 3]","[0, 30, 60, 135, 195, 240, 300, 360, 420, 480, 540, 600, 660, 675, 705]"
2023-08-19,7094,719,"[4, 3, 6, 3, 4, 5, 2, 4, 3, 3, 6, 6, 2, 7, 4, 0, 4, 1, 4, 3]","[4, 3, 6, 3, 4, 5, 2, 4, 3, 6, 2, 7, 4, 4, 4]","[0, 30, 105, 165, 240, 285, 330, 375, 435, 495, 540, 585, 645, 675, 705]"
