日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-19,6126,668,"[2, 2, 6, 5, 3, 4, 1, 3, 2, 3, 2, 4, 2, 4]","[2, 6, 5, 3, 4, 1, 3, 2, 3, 2, 4, 2, 4]","[0, 30, 60, 135, 195, 240, 315, 375, 420, 480, 540, 585, 645]"
2023-08-19,6101,669,"[4, 5, 2, 2, 6, 6, 7, 6, 4, 2, 2, 2, 7, 4, 3, 6, 5, 0]","[4, 5, 2, 6, 7, 6, 4, 2, 7, 4, 3, 6, 5]","[0, 30, 60, 135, 180, 255, 315, 360, 405, 480, 540, 600, 645]"
2023-08-19,6098,672,"[6, 7, 2, 2, 6, 2, 5, 3, 4, 3, 5, 3, 4, 3]","[6, 7, 2, 6, 2, 5, 3, 4, 3, 5, 3, 4, 3]","[0, 45, 105, 165, 225, 285, 330, 375, 435, 495, 555, 615, 645]"
2023-08-19,6106,670,"[4, 3, 4, 6, 7, 5, 2, 5, 2, 4, 2, 4, 5, 1]","[4, 3, 4, 6, 7, 5, 2, 5, 2, 4, 2, 4, 5]","[0, 30, 105, 165, 225, 300, 345, 405, 465, 510, 555, 615, 645]"
2023-08-19,6123,674,"[4, 5, 6, 2, 5, 7, 3, 4, 2, 2, 3, 3, 3, 3, 7, 4, 4, 3]","[4, 5, 6, 2, 5, 7, 3, 4, 2, 3, 7, 4, 3]","[0, 30, 60, 120, 165, 255, 345, 405, 465, 510, 555, 615, 660]"
2023-08-19,6059,674,"[5, 4, 4, 5, 7, 4, 6, 7, 6, 5, 4, 6, 5, 3, 3]","[5, 4, 5, 7, 4, 6, 7, 6, 5, 4, 6, 5, 3]","[0, 30, 90, 135, 210, 255, 315, 375, 450, 495, 555, 615, 660]"
2023-08-19,6124,673,"[4, 6, 3, 7, 7, 5, 5, 4, 2, 3, 4, 4, 5, 3, 4, 3]","[4, 6, 3, 7, 5, 4, 2, 3, 4, 5, 3, 4, 3]","[0, 30, 75, 150, 225, 285, 330, 375, 435, 495, 555, 615, 645]"
2023-08-19,6106,672,"[4, 7, 5, 2, 6, 3, 5, 5, 6, 2, 2, 4, 4, 3, 4, 3, 0]","[4, 7, 5, 2, 6, 3, 5, 6, 2, 4, 3, 4, 3]","[0, 30, 105, 150, 195, 255, 330, 375, 435, 480, 555, 615, 645]"
2023-08-19,6085,662,"[2, 4, 6, 2, 6, 5, 7, 5, 5, 7, 4, 2, 2, 3, 5]","[2, 4, 6, 2, 6, 5, 7, 5, 7, 4, 2, 3, 5]","[0, 30, 75, 135, 180, 240, 300, 360, 420, 480, 540, 585, 645]"
2023-08-19,6134,666,"[2, 4, 7, 4, 6, 4, 4, 5, 5, 3, 4, 2, 4, 2, 5]","[2, 4, 7, 4, 6, 4, 5, 3, 4, 2, 4, 2, 5]","[0, 30, 75, 150, 210, 270, 330, 375, 435, 495, 540, 600, 645]"
