日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-08-11,2,3772.0,712,"[0, 1, 0, 4, 2, 3, 7, 5, 6, 4, 5, 2, 4, 4, 1, 0, 3]","[0, 1, 0, 4, 2, 3, 7, 5]","[0, 180, 285, 420, 465, 555, 615, 675]"
2022-08-11,10,4230.0,720,"[2, 6, 5, 0, 7, 2, 6, 4, 0, 2, 1, 4]","[2, 6, 5, 0, 7, 2, 6, 4, 0]","[0, 135, 180, 240, 345, 435, 510, 570, 615]"
2022-08-11,9,4233.0,625,"[5, 5, 0, 3, 7, 4, 2, 3, 5, 7]","[5, 0, 3, 7, 4, 2, 3, 5, 7]","[0, 30, 195, 255, 330, 390, 465, 525, 570]"
2022-08-11,5,3255.0,651,"[0, 0, 0, 6, 1, 5, 2, 5, 5, 0]","[0, 6, 1, 5, 2, 5, 0]","[0, 180, 255, 345, 405, 480, 525]"
2022-08-11,6,3748.0,729,"[0, 4, 5, 1, 2, 1, 0, 6, 0, 2, 3, 7, 2, 1, 1, 7]","[0, 4, 5, 1, 2, 1, 0, 6]","[0, 180, 240, 285, 375, 465, 570, 705]"
2022-08-11,2,4195.0,706,"[2, 1, 5, 6, 4, 2, 2, 1, 6, 1, 0]","[2, 1, 5, 6, 4, 2, 1, 6, 1]","[0, 135, 225, 270, 330, 390, 465, 570, 615]"
2022-08-11,3,4221.0,716,"[0, 0, 5, 7, 2, 4, 1, 5, 3, 2, 0]","[0, 5, 7, 2, 4, 1, 5, 3, 2]","[0, 180, 240, 300, 390, 450, 540, 585, 645]"
2022-08-11,6,3753.0,702,"[2, 7, 6, 5, 0, 3, 1, 0, 1, 1]","[2, 7, 6, 5, 0, 3, 1, 0]","[0, 135, 210, 270, 315, 420, 480, 585]"
2022-08-11,8,4242.0,741,"[0, 3, 2, 0, 2, 6, 3, 7, 1, 1, 6, 4, 2, 1]","[0, 3, 2, 0, 2, 6, 3, 7, 6]","[0, 180, 255, 330, 450, 540, 585, 645, 705]"
2022-08-11,9,4201.0,712,"[7, 1, 3, 3, 1, 4, 5, 6, 0, 5, 0]","[7, 1, 3, 1, 4, 5, 6, 0, 5]","[0, 45, 210, 270, 375, 420, 480, 540, 675]"
