日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,6552,710,"[7, 1, 2, 0, 7, 6, 3, 6, 7, 5, 3, 5, 5, 6, 2, 7, 0, 0, 2]","[7, 1, 2, 0, 7, 6, 3, 6, 7, 5, 3, 5, 6, 2]","[0, 45, 135, 195, 255, 315, 375, 405, 450, 525, 540, 570, 600, 660]"
2022-07-01,4224,599,"[0, 2, 6, 3, 1, 0, 2, 2, 0, 5]","[0, 2, 6, 3, 1, 0, 2, 0, 5]","[0, 120, 180, 255, 285, 360, 435, 495, 585]"
2022-07-01,5672,682,"[4, 0, 6, 2, 2, 3, 3, 3, 7, 3, 2, 2, 7, 3, 0, 6, 1]","[4, 0, 6, 2, 3, 7, 3, 2, 7, 3, 0, 6]","[0, 30, 165, 225, 285, 330, 405, 435, 480, 540, 570, 645]"
2022-07-01,6579,689,"[1, 2, 3, 5, 5, 5, 0, 6, 4, 4, 3, 5, 0, 3, 0, 0, 4, 3]","[1, 2, 3, 5, 0, 6, 4, 3, 5, 0, 3, 0, 4, 3]","[0, 90, 150, 210, 240, 330, 390, 405, 435, 465, 525, 555, 630, 675]"
2022-07-01,6570,715,"[5, 3, 0, 0, 4, 0, 7, 2, 3, 3, 1, 3, 1, 6, 5, 5, 0, 5, 0, 5]","[5, 3, 0, 4, 0, 7, 2, 3, 1, 3, 1, 6, 5, 0]","[0, 30, 90, 195, 210, 270, 330, 405, 435, 495, 525, 555, 615, 630]"
2022-07-01,4673,548,"[1, 5, 6, 4, 3, 0, 6, 0, 7, 5]","[1, 5, 6, 4, 3, 0, 6, 0, 7, 5]","[0, 90, 135, 195, 225, 255, 345, 405, 480, 540]"
2022-07-01,5655,713,"[0, 6, 7, 1, 7, 0, 6, 3, 7, 1, 2, 1, 1, 3, 3, 1, 1, 7, 2, 4]","[0, 6, 7, 1, 7, 0, 6, 3, 7, 1, 2, 3]","[0, 120, 180, 240, 315, 375, 450, 510, 540, 615, 645, 690]"
2022-07-01,7059,695,"[4, 4, 2, 3, 1, 0, 7, 4, 3, 6, 6, 1, 6, 3, 3, 3, 5, 5, 4, 3]","[4, 2, 3, 1, 0, 7, 4, 3, 6, 1, 6, 3, 5, 4, 3]","[0, 30, 105, 150, 210, 270, 330, 360, 405, 450, 525, 600, 630, 645, 675]"
2022-07-01,7020,744,"[3, 6, 1, 3, 6, 6, 5, 6, 0, 1, 4, 2, 2, 3, 4, 5, 7]","[3, 6, 1, 3, 6, 5, 6, 0, 1, 4, 2, 3, 4, 5, 7]","[0, 45, 90, 165, 210, 270, 300, 360, 450, 525, 540, 615, 645, 660, 690]"
2022-07-01,5657,707,"[0, 1, 0, 6, 4, 1, 4, 2, 4, 2, 5, 0, 6, 4]","[0, 1, 0, 6, 4, 1, 4, 2, 4, 2, 5, 0]","[0, 120, 180, 255, 315, 360, 420, 450, 510, 540, 600, 630]"
2022-07-02,5626,725,"[5, 7, 7, 7, 1, 7, 3, 6, 2, 7, 5, 0, 4, 4, 6, 7, 5, 4]","[5, 7, 1, 7, 3, 6, 2, 7, 5, 0, 4, 6]","[0, 30, 75, 210, 270, 330, 390, 450, 525, 555, 675, 690]"
2022-07-02,5648,706,"[6, 7, 7, 3, 4, 3, 1, 4, 3, 1, 1, 5, 2, 7, 1, 3, 1]","[6, 7, 3, 4, 3, 1, 4, 3, 1, 5, 2, 7]","[0, 45, 90, 150, 195, 255, 345, 405, 450, 555, 585, 660]"
2022-07-02,5586,732,"[0, 0, 6, 2, 6, 0, 5, 6, 4, 6, 3, 5, 6, 3, 3]","[0, 6, 2, 6, 0, 5, 6, 4, 6, 3, 5, 6]","[0, 150, 210, 285, 345, 450, 480, 540, 570, 645, 675, 705]"
2022-07-02,4697,585,"[6, 0, 4, 4, 5, 5, 2, 7, 2, 4, 4, 3, 3, 5]","[6, 0, 4, 5, 2, 7, 2, 4, 3, 5]","[0, 45, 180, 225, 270, 345, 405, 465, 510, 555]"
2022-07-02,4683,714,"[2, 6, 7, 0, 7, 5, 0, 1, 3, 1, 5, 2, 1, 6]","[2, 6, 7, 0, 7, 5, 0, 1, 3, 5]","[0, 120, 165, 225, 345, 420, 465, 570, 660, 705]"
2022-07-02,4715,733,"[0, 3, 7, 4, 2, 1, 2, 0, 6, 1, 6, 5, 3, 6, 2, 2, 0, 2, 4]","[0, 3, 7, 4, 2, 1, 2, 0, 6, 6]","[0, 150, 225, 285, 345, 405, 495, 555, 660, 705]"
2022-07-02,5669,711,"[3, 4, 7, 3, 4, 0, 4, 5, 7, 5, 5, 0, 2, 0, 1, 3, 4]","[3, 4, 7, 3, 4, 0, 4, 5, 7, 5, 0, 2]","[0, 60, 120, 180, 240, 285, 405, 435, 480, 555, 600, 705]"
2022-07-02,4234,720,"[0, 0, 0, 3, 1, 7, 7, 0, 5, 6, 7, 0, 2, 0, 2, 5, 7]","[0, 3, 1, 7, 0, 5, 6, 7, 0]","[0, 150, 225, 300, 375, 465, 510, 555, 630]"
2022-07-02,5124,605,"[1, 6, 6, 5, 4, 5, 2, 4, 4, 3, 5, 6, 0]","[1, 6, 5, 4, 5, 2, 4, 3, 5, 6, 0]","[0, 30, 75, 120, 180, 225, 285, 345, 390, 435, 495]"
2022-07-02,5657,695,"[4, 6, 7, 2, 3, 5, 1, 4, 1, 7, 4, 2, 0]","[4, 6, 7, 2, 3, 5, 1, 4, 1, 7, 4, 2]","[0, 30, 75, 135, 195, 255, 285, 375, 435, 525, 615, 645]"
2022-07-03,5608,721,"[1, 5, 7, 6, 5, 4, 1, 2, 3, 1, 4, 1, 4, 3, 4, 0, 4]","[1, 5, 7, 6, 5, 4, 1, 2, 3, 1, 4, 1]","[0, 135, 180, 240, 300, 330, 390, 465, 540, 570, 645, 660]"
2022-07-03,6567,712,"[6, 7, 1, 5, 7, 3, 7, 5, 3, 2, 4, 5, 0, 7]","[6, 7, 1, 5, 7, 3, 7, 5, 3, 2, 4, 5, 0, 7]","[0, 45, 90, 165, 210, 270, 315, 390, 420, 465, 540, 555, 585, 660]"
2022-07-03,4237,674,"[1, 1, 0, 6, 0, 4, 1, 2, 0, 0, 1]","[1, 0, 6, 0, 4, 1, 2, 0, 1]","[0, 135, 225, 300, 375, 420, 480, 540, 615]"
2022-07-03,3801,542,"[2, 0, 0, 0, 0, 4, 2, 0, 2, 3, 7]","[2, 0, 4, 2, 0, 2, 3, 7]","[0, 30, 165, 210, 285, 375, 450, 495]"
2022-07-03,5635,708,"[3, 1, 4, 3, 2, 4, 5, 6, 1, 7, 1, 3, 4, 5, 7, 5, 5, 3, 1]","[3, 1, 4, 3, 2, 4, 5, 6, 1, 7, 1, 3]","[0, 30, 150, 195, 255, 330, 390, 420, 480, 570, 630, 675]"
2022-07-03,5617,725,"[0, 0, 6, 5, 5, 6, 6, 3, 6, 1, 6, 3, 7, 4, 7, 5, 1, 6, 5, 6]","[0, 6, 5, 6, 3, 6, 1, 6, 3, 7, 4, 7]","[0, 150, 195, 240, 300, 345, 405, 480, 540, 585, 645, 675]"
2022-07-03,5153,618,"[5, 4, 3, 2, 2, 3, 3, 7, 3, 5, 1, 6, 0]","[5, 4, 3, 2, 3, 7, 3, 5, 1, 6, 0]","[0, 30, 75, 150, 210, 270, 330, 390, 420, 480, 555]"
2022-07-03,5166,713,"[7, 0, 6, 6, 6, 1, 3, 6, 7, 0, 6, 1, 2, 3, 7]","[7, 0, 6, 1, 3, 6, 7, 0, 6, 1, 2]","[0, 45, 180, 255, 330, 390, 450, 525, 585, 645, 705]"
2022-07-03,5656,715,"[7, 3, 2, 6, 0, 4, 0, 0, 4, 1, 5, 7, 1, 6, 4, 1, 6, 6]","[7, 3, 2, 6, 0, 4, 0, 4, 1, 5, 7, 1]","[0, 45, 90, 180, 255, 330, 375, 465, 480, 570, 600, 660]"
2022-07-03,6069,595,"[2, 4, 5, 7, 4, 7, 3, 6, 5, 7, 5, 5, 6, 6, 5]","[2, 4, 5, 7, 4, 7, 3, 6, 5, 7, 5, 6, 5]","[0, 30, 75, 105, 180, 210, 270, 330, 390, 420, 480, 510, 570]"
