日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-08-01,7003,673,"[5, 7, 5, 4, 5, 4, 0, 6, 4, 6, 4, 5, 6, 6, 6, 2, 1]","[5, 7, 5, 4, 5, 4, 0, 6, 4, 6, 4, 5, 6, 2, 1]","[0, 30, 75, 120, 180, 210, 240, 315, 360, 405, 465, 510, 540, 585, 660]"
2022-08-01,6590,663,"[5, 7, 4, 2, 2, 3, 7, 3, 0, 3, 2, 4, 5, 4, 5]","[5, 7, 4, 2, 3, 7, 3, 0, 3, 2, 4, 5, 4, 5]","[0, 30, 75, 120, 210, 255, 330, 375, 450, 495, 540, 585, 615, 645]"
2022-08-01,6555,671,"[4, 3, 7, 5, 3, 3, 5, 3, 4, 5, 0, 1, 4, 5, 3, 3]","[4, 3, 7, 5, 3, 5, 3, 4, 5, 0, 1, 4, 5, 3]","[0, 45, 105, 180, 210, 270, 300, 360, 390, 420, 495, 570, 600, 645]"
2022-08-01,6559,673,"[5, 6, 6, 4, 1, 4, 5, 2, 4, 6, 5, 4, 3, 2, 7, 7]","[5, 6, 4, 1, 4, 5, 2, 4, 6, 5, 4, 3, 2, 7]","[0, 30, 60, 120, 180, 240, 270, 330, 390, 450, 480, 525, 555, 615]"
2022-08-01,6566,661,"[6, 4, 5, 2, 4, 2, 3, 1, 3, 2, 3, 3, 6, 4, 5]","[6, 4, 5, 2, 4, 2, 3, 1, 3, 2, 3, 6, 4, 5]","[0, 45, 90, 135, 195, 240, 300, 345, 420, 465, 525, 570, 630, 645]"
2022-08-01,6563,622,"[5, 4, 1, 6, 4, 2, 3, 4, 3, 5, 4, 3, 5, 3]","[5, 4, 1, 6, 4, 2, 3, 4, 3, 5, 4, 3, 5, 3]","[0, 30, 75, 165, 210, 240, 300, 360, 390, 435, 480, 510, 555, 585]"
2022-08-01,6567,643,"[4, 7, 5, 5, 3, 4, 2, 6, 4, 5, 2, 5, 2, 6, 4, 4, 4]","[4, 7, 5, 3, 4, 2, 6, 4, 5, 2, 5, 2, 6, 4]","[0, 45, 90, 135, 180, 240, 300, 360, 390, 420, 480, 510, 570, 630]"
2022-08-01,6559,627,"[5, 4, 5, 5, 4, 3, 4, 6, 5, 4, 5, 0, 3, 7, 7, 3]","[5, 4, 5, 4, 3, 4, 6, 5, 4, 5, 0, 3, 7, 3]","[0, 30, 75, 120, 180, 225, 270, 315, 360, 390, 420, 495, 525, 600]"
2022-08-01,6995,675,"[5, 5, 5, 6, 3, 6, 2, 6, 1, 5, 2, 3, 2, 3, 5, 4, 4, 0, 0, 0]","[5, 6, 3, 6, 2, 6, 1, 5, 2, 3, 2, 3, 5, 4, 0]","[0, 30, 60, 135, 180, 240, 300, 360, 405, 465, 510, 570, 600, 645, 660]"
2022-08-01,6585,644,"[4, 4, 5, 3, 4, 2, 4, 6, 4, 5, 4, 2, 5, 5, 3, 3, 7]","[4, 5, 3, 4, 2, 4, 6, 4, 5, 4, 2, 5, 3, 7]","[0, 45, 90, 135, 195, 255, 300, 360, 390, 420, 450, 510, 555, 585]"
2022-08-02,6977,647,"[4, 6, 4, 5, 5, 1, 5, 1, 5, 2, 4, 5, 3, 6, 5, 5, 4, 4]","[4, 6, 4, 5, 1, 5, 1, 5, 2, 4, 5, 3, 6, 5, 4]","[0, 60, 105, 150, 195, 255, 285, 360, 390, 450, 480, 510, 555, 600, 630]"
2022-08-02,7482,671,"[3, 4, 5, 4, 5, 4, 5, 4, 0, 0, 5, 3, 5, 4, 3, 5, 7]","[3, 4, 5, 4, 5, 4, 5, 4, 0, 5, 3, 5, 4, 3, 5, 7]","[0, 60, 120, 150, 195, 240, 270, 300, 345, 420, 450, 495, 510, 540, 585, 615]"
2022-08-02,7054,668,"[3, 1, 1, 4, 5, 5, 4, 0, 5, 4, 3, 4, 6, 6, 4, 3, 4, 5, 1, 1]","[3, 1, 4, 5, 4, 0, 5, 4, 3, 4, 6, 4, 3, 4, 5]","[0, 60, 150, 195, 225, 270, 330, 360, 405, 465, 495, 555, 585, 630, 660]"
2022-08-02,7063,671,"[7, 4, 2, 3, 1, 4, 3, 2, 4, 6, 5, 5, 2, 4, 3, 5, 1]","[7, 4, 2, 3, 1, 4, 3, 2, 4, 6, 5, 2, 4, 3, 5]","[0, 45, 90, 165, 225, 285, 330, 345, 420, 465, 510, 540, 600, 630, 660]"
2022-08-02,7467,666,"[3, 3, 4, 5, 5, 5, 4, 2, 5, 3, 5, 3, 1, 5, 4, 3, 5, 6, 4]","[3, 4, 5, 4, 2, 5, 3, 5, 3, 1, 5, 4, 3, 5, 6, 4]","[0, 60, 120, 150, 195, 270, 300, 315, 345, 375, 450, 480, 510, 555, 585, 645]"
2022-08-02,7084,670,"[3, 0, 1, 4, 3, 4, 3, 2, 2, 5, 4, 3, 3, 4, 5, 4, 4, 4, 7]","[3, 0, 1, 4, 3, 4, 3, 2, 5, 4, 3, 4, 5, 4, 7]","[0, 60, 165, 240, 270, 300, 330, 345, 420, 450, 480, 525, 555, 585, 615]"
2022-08-02,7007,625,"[5, 7, 5, 3, 4, 7, 3, 5, 5, 7, 3, 5, 3, 4, 1, 5, 5]","[5, 7, 5, 3, 4, 7, 3, 5, 7, 3, 5, 3, 4, 1, 5]","[0, 30, 75, 120, 165, 210, 270, 285, 315, 375, 435, 465, 510, 525, 600]"
2022-08-02,7057,670,"[5, 4, 0, 4, 2, 4, 4, 2, 4, 2, 6, 4, 5, 2, 3, 3, 5]","[5, 4, 0, 4, 2, 4, 2, 4, 2, 6, 4, 5, 2, 3, 5]","[0, 30, 75, 150, 195, 270, 300, 360, 405, 450, 510, 525, 555, 615, 660]"
2022-08-02,7031,671,"[7, 5, 1, 4, 3, 3, 7, 2, 5, 5, 0, 5, 2, 5, 5, 4, 3, 0]","[7, 5, 1, 4, 3, 7, 2, 5, 0, 5, 2, 5, 4, 3, 0]","[0, 45, 90, 150, 195, 255, 315, 375, 405, 480, 510, 570, 600, 615, 660]"
2022-08-02,7490,674,"[6, 5, 7, 0, 3, 4, 3, 6, 4, 6, 4, 6, 4, 5, 3, 3, 5, 5]","[6, 5, 7, 0, 3, 4, 3, 6, 4, 6, 4, 6, 4, 5, 3, 5]","[0, 45, 75, 150, 225, 270, 315, 330, 375, 405, 465, 495, 555, 600, 615, 660]"
2022-08-03,7035,674,"[5, 6, 7, 6, 4, 2, 2, 4, 6, 3, 4, 3, 4, 3, 6, 5]","[5, 6, 7, 6, 4, 2, 4, 6, 3, 4, 3, 4, 3, 6, 5]","[0, 30, 60, 120, 195, 225, 285, 330, 375, 435, 480, 525, 555, 600, 660]"
2022-08-03,6942,670,"[5, 3, 5, 6, 3, 4, 5, 1, 5, 4, 5, 5, 6, 7, 5, 5, 6]","[5, 3, 5, 6, 3, 4, 5, 1, 5, 4, 5, 6, 7, 5, 6]","[0, 30, 90, 135, 195, 240, 270, 300, 375, 405, 435, 465, 525, 585, 630]"
2022-08-03,6984,671,"[5, 7, 6, 3, 5, 2, 5, 1, 7, 4, 2, 3, 5, 3, 5, 5]","[5, 7, 6, 3, 5, 2, 5, 1, 7, 4, 2, 3, 5, 3, 5]","[0, 30, 75, 120, 150, 180, 255, 285, 360, 420, 450, 525, 570, 615, 660]"
2022-08-03,6593,622,"[7, 4, 3, 4, 3, 3, 5, 4, 2, 2, 6, 1, 0, 3, 4, 5]","[7, 4, 3, 4, 3, 5, 4, 2, 6, 1, 0, 3, 4, 5]","[0, 45, 105, 120, 165, 195, 225, 270, 330, 375, 450, 510, 570, 600]"
2022-08-03,6573,671,"[5, 4, 5, 2, 7, 4, 0, 1, 2, 5, 4, 7, 6, 2]","[5, 4, 5, 2, 7, 4, 0, 1, 2, 5, 4, 7, 6, 2]","[0, 30, 75, 120, 180, 240, 285, 360, 420, 495, 525, 555, 615, 660]"
