日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,7506,674,"[7, 6, 1, 5, 3, 7, 4, 2, 5, 4, 3, 7, 5, 3, 4, 4, 4, 6]","[7, 6, 1, 5, 3, 7, 4, 2, 5, 4, 3, 7, 5, 3, 4, 6]","[0, 45, 90, 165, 195, 240, 300, 345, 405, 435, 465, 495, 555, 570, 600, 645]"
2022-07-01,7060,665,"[7, 5, 5, 7, 2, 7, 7, 3, 4, 3, 5, 0, 3, 3, 7, 7, 7, 1, 2, 6]","[7, 5, 7, 2, 7, 3, 4, 3, 5, 0, 3, 7, 1, 2, 6]","[0, 45, 75, 135, 195, 255, 300, 330, 375, 405, 465, 495, 555, 570, 630]"
2022-07-01,6615,673,"[4, 1, 7, 2, 7, 6, 3, 3, 4, 4, 7, 2, 4, 2, 3, 5]","[4, 1, 7, 2, 7, 6, 3, 4, 7, 2, 4, 2, 3, 5]","[0, 30, 120, 180, 255, 315, 360, 405, 420, 480, 540, 585, 630, 660]"
2022-07-01,7071,659,"[7, 3, 6, 4, 4, 3, 2, 5, 3, 1, 4, 2, 1, 0, 4, 3]","[7, 3, 6, 4, 3, 2, 5, 3, 1, 4, 2, 1, 0, 4, 3]","[0, 45, 120, 180, 195, 240, 300, 330, 375, 435, 450, 510, 540, 600, 645]"
2022-07-01,7527,664,"[5, 7, 3, 4, 2, 3, 2, 4, 3, 4, 6, 1, 4, 1, 3, 5]","[5, 7, 3, 4, 2, 3, 2, 4, 3, 4, 6, 1, 4, 1, 3, 5]","[0, 30, 75, 120, 165, 225, 270, 330, 360, 405, 420, 495, 555, 600, 615, 645]"
2022-07-01,7062,666,"[4, 4, 4, 5, 2, 3, 2, 5, 4, 4, 4, 7, 5, 3, 4, 3, 3, 0, 3, 7]","[4, 5, 2, 3, 2, 5, 4, 7, 5, 3, 4, 3, 0, 3, 7]","[0, 30, 60, 135, 180, 240, 270, 300, 360, 405, 435, 450, 495, 585, 615]"
2022-07-01,7526,654,"[5, 3, 2, 5, 5, 4, 3, 4, 3, 7, 0, 5, 7, 1, 3, 4, 3]","[5, 3, 2, 5, 4, 3, 4, 3, 7, 0, 5, 7, 1, 3, 4, 3]","[0, 30, 90, 150, 180, 210, 240, 285, 330, 405, 465, 480, 540, 570, 600, 645]"
2022-07-01,7527,668,"[3, 4, 2, 2, 3, 1, 3, 4, 3, 1, 1, 3, 6, 1, 6, 1, 3, 4]","[3, 4, 2, 3, 1, 3, 4, 3, 1, 3, 6, 1, 6, 1, 3, 4]","[0, 45, 75, 135, 195, 255, 300, 330, 375, 435, 465, 525, 555, 600, 630, 645]"
2022-07-01,7061,663,"[1, 4, 5, 4, 2, 4, 4, 6, 4, 7, 5, 7, 3, 1, 1, 2, 2, 3]","[1, 4, 5, 4, 2, 4, 6, 4, 7, 5, 7, 3, 1, 2, 3]","[0, 90, 135, 180, 195, 255, 300, 360, 405, 465, 480, 540, 570, 585, 645]"
2022-07-01,7925,670,"[2, 2, 5, 1, 5, 4, 3, 2, 2, 4, 2, 5, 3, 5, 3, 5, 4, 5, 2, 0]","[2, 5, 1, 5, 4, 3, 2, 4, 2, 5, 3, 5, 3, 5, 4, 5, 2]","[0, 75, 105, 180, 210, 240, 270, 330, 360, 435, 450, 495, 510, 540, 570, 600, 630]"
2022-07-02,6588,664,"[4, 5, 7, 5, 4, 6, 7, 4, 1, 4, 5, 4, 7, 3]","[4, 5, 7, 5, 4, 6, 7, 4, 1, 4, 5, 4, 7, 3]","[0, 30, 60, 105, 150, 195, 255, 315, 375, 450, 495, 525, 570, 630]"
2022-07-02,5702,673,"[3, 2, 7, 6, 4, 7, 3, 4, 7, 3, 4, 7]","[3, 2, 7, 6, 4, 7, 3, 4, 7, 3, 4, 7]","[0, 60, 150, 225, 300, 345, 420, 450, 495, 555, 600, 615]"
2022-07-02,6103,591,"[5, 4, 4, 5, 4, 7, 4, 3, 4, 5, 5, 2, 4, 3, 5]","[5, 4, 5, 4, 7, 4, 3, 4, 5, 2, 4, 3, 5]","[0, 30, 60, 120, 165, 225, 285, 345, 390, 435, 495, 525, 555]"
2022-07-02,6092,665,"[4, 7, 2, 6, 3, 5, 6, 4, 3, 3, 6, 3, 7, 5]","[4, 7, 2, 6, 3, 5, 6, 4, 3, 6, 3, 7, 5]","[0, 30, 75, 165, 225, 285, 330, 390, 435, 480, 525, 570, 645]"
2022-07-02,6152,673,"[1, 4, 6, 0, 4, 0, 5, 3, 4, 3, 4, 7, 4, 0]","[1, 4, 6, 0, 4, 0, 5, 3, 4, 3, 4, 7, 4]","[0, 30, 75, 135, 240, 300, 405, 450, 495, 510, 555, 600, 660]"
2022-07-02,6083,642,"[4, 5, 5, 7, 2, 4, 4, 5, 6, 5, 2, 2, 4, 5, 5, 7, 3]","[4, 5, 7, 2, 4, 5, 6, 5, 2, 4, 5, 7, 3]","[0, 30, 60, 105, 195, 240, 285, 330, 390, 450, 480, 525, 600]"
2022-07-02,7049,657,"[4, 5, 7, 6, 6, 5, 4, 1, 3, 2, 3, 4, 3, 3, 3, 4, 5, 4]","[4, 5, 7, 6, 5, 4, 1, 3, 2, 3, 4, 3, 4, 5, 4]","[0, 30, 60, 105, 165, 210, 255, 345, 405, 465, 510, 555, 600, 615, 645]"
2022-07-02,6532,671,"[1, 5, 2, 5, 5, 4, 5, 7, 6, 2, 4, 2, 5, 4, 6, 0]","[1, 5, 2, 5, 4, 5, 7, 6, 2, 4, 2, 5, 4, 6]","[0, 30, 60, 165, 195, 240, 285, 345, 420, 495, 510, 570, 615, 645]"
2022-07-02,6078,674,"[4, 3, 5, 7, 2, 4, 4, 6, 5, 2, 5, 4, 4, 5, 2, 0]","[4, 3, 5, 7, 2, 4, 6, 5, 2, 5, 4, 5, 2]","[0, 30, 105, 135, 210, 285, 345, 420, 465, 525, 555, 600, 630]"
2022-07-02,6118,656,"[4, 6, 7, 1, 3, 5, 4, 2, 4, 5, 3, 4, 2]","[4, 6, 7, 1, 3, 5, 4, 2, 4, 5, 3, 4, 2]","[0, 30, 75, 135, 240, 300, 345, 405, 465, 510, 540, 585, 600]"
2022-07-03,6575,641,"[3, 4, 5, 7, 6, 3, 3, 3, 4, 2, 3, 4, 5, 2, 5, 5, 5, 7]","[3, 4, 5, 7, 6, 3, 4, 2, 3, 4, 5, 2, 5, 7]","[0, 30, 75, 105, 165, 240, 285, 315, 375, 435, 450, 495, 555, 585]"
2022-07-03,6582,669,"[7, 6, 5, 7, 4, 5, 5, 3, 2, 6, 3, 7, 7, 3, 2, 4, 4, 0]","[7, 6, 5, 7, 4, 5, 3, 2, 6, 3, 7, 3, 2, 4]","[0, 45, 90, 120, 195, 240, 270, 330, 405, 465, 495, 555, 585, 645]"
2022-07-03,7030,675,"[5, 5, 5, 3, 4, 5, 4, 4, 2, 1, 4, 5, 6, 7, 4, 2, 5, 4]","[5, 3, 4, 5, 4, 2, 1, 4, 5, 6, 7, 4, 2, 5, 4]","[0, 30, 60, 105, 135, 180, 240, 330, 375, 420, 480, 540, 570, 630, 660]"
2022-07-03,6980,667,"[5, 6, 5, 7, 5, 1, 7, 4, 1, 3, 4, 5, 6, 4, 5]","[5, 6, 5, 7, 5, 1, 7, 4, 1, 3, 4, 5, 6, 4, 5]","[0, 30, 75, 105, 165, 210, 285, 345, 390, 480, 510, 540, 555, 630, 645]"
2022-07-03,7018,651,"[2, 3, 3, 5, 1, 5, 4, 6, 4, 2, 4, 5, 2, 4, 2, 5, 5]","[2, 3, 5, 1, 5, 4, 6, 4, 2, 4, 5, 2, 4, 2, 5]","[0, 30, 45, 90, 180, 210, 240, 300, 330, 405, 450, 480, 540, 570, 630]"
2022-07-03,7042,662,"[3, 5, 4, 3, 3, 5, 3, 7, 3, 7, 3, 5, 4, 5, 4, 7, 7]","[3, 5, 4, 3, 5, 3, 7, 3, 7, 3, 5, 4, 5, 4, 7]","[0, 30, 60, 120, 180, 210, 270, 330, 390, 450, 495, 525, 555, 585, 600]"
2022-07-03,7027,665,"[5, 5, 5, 3, 4, 5, 0, 5, 7, 5, 3, 4, 2, 4, 0, 5, 4, 0]","[5, 3, 4, 5, 0, 5, 7, 5, 3, 4, 2, 4, 0, 5, 4]","[0, 30, 60, 105, 135, 225, 270, 330, 375, 420, 450, 525, 555, 615, 645]"
2022-07-03,7016,675,"[2, 3, 5, 2, 1, 6, 5, 6, 6, 7, 3, 5, 4, 4, 2, 3, 4, 4]","[2, 3, 5, 2, 1, 6, 5, 6, 7, 3, 5, 4, 2, 3, 4]","[0, 30, 45, 90, 180, 255, 315, 345, 420, 480, 510, 525, 555, 630, 660]"
