日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,9,3753.0,521.0,"[2, 1, 1, 1, 5, 4, 4, 5, 2, 2, 4, 7]","[2, 1, 5, 4, 5, 2, 4, 7]","[0, 75, 180, 225, 285, 330, 405, 450]"
,5,4213.0,570.0,"[4, 1, 5, 3, 2, 2, 6, 7, 5, 4]","[4, 1, 5, 3, 2, 6, 7, 5, 4]","[0, 30, 165, 210, 285, 360, 405, 480, 525]"
,5,4229.0,711.0,"[1, 5, 7, 3, 1, 7, 0, 7, 1, 5, 4, 6, 6, 7, 2, 2]","[1, 5, 7, 3, 1, 7, 0, 7, 1]","[0, 120, 165, 240, 300, 390, 465, 585, 645]"
,9,5609.0,725.5,"[3, 6, 4, 5, 0, 1, 7, 2, 6, 7, 6, 5, 2, 1, 0, 6, 1, 5, 3, 0]","[3, 6, 4, 5, 0, 1, 7, 2, 6, 7, 6, 5]","[0, 60, 105, 165, 210, 315, 420, 480, 555, 615, 675, 705]"
,4,4716.0,755.5,"[0, 0, 4, 3, 5, 7, 1, 7, 6, 0, 7, 1, 4]","[0, 4, 3, 5, 7, 1, 7, 6, 0, 7]","[0, 135, 195, 270, 315, 375, 465, 540, 600, 705]"
,8,4704.0,712.0,"[1, 4, 3, 1, 1, 6, 2, 1, 7, 4, 1, 1, 5, 2, 3, 4, 2, 1, 4]","[1, 4, 3, 1, 6, 2, 1, 7, 4, 1]","[0, 120, 180, 240, 330, 390, 465, 555, 615, 660]"
,2,4687.0,708.0,"[2, 1, 3, 2, 4, 6, 2, 5, 1, 2, 4]","[2, 1, 3, 2, 4, 6, 2, 5, 1, 2]","[0, 75, 180, 255, 315, 375, 450, 510, 555, 660]"
,10,4712.0,576.0,"[4, 5, 7, 2, 5, 4, 0, 4, 6, 4]","[4, 5, 7, 2, 5, 4, 0, 4, 6, 4]","[0, 30, 75, 135, 210, 255, 315, 420, 465, 540]"
,4,5114.0,712.0,"[3, 2, 5, 6, 1, 7, 0, 3, 5, 5, 6, 5]","[3, 2, 5, 6, 1, 7, 0, 3, 5, 6, 5]","[0, 60, 150, 195, 255, 360, 435, 540, 600, 645, 690]"
,7,3784.0,478.5,"[6, 6, 7, 2, 2, 2, 4, 6, 2, 2, 4, 7]","[6, 7, 2, 4, 6, 2, 4, 7]","[0, 45, 105, 180, 225, 285, 360, 405]"
,7,4259.0,718.5,"[0, 3, 4, 0, 1, 0, 6, 2, 4, 2, 4, 3, 3, 2, 3, 5, 4, 7]","[0, 3, 4, 0, 1, 0, 6, 2, 4]","[0, 135, 210, 270, 375, 465, 570, 630, 705]"
,6,4658.0,607.5,"[6, 2, 4, 5, 6, 2, 5, 5, 3, 2, 6, 6]","[6, 2, 4, 5, 6, 2, 5, 3, 2, 6]","[0, 45, 135, 195, 240, 300, 360, 420, 480, 555]"
,3,5133.0,719.0,"[4, 0, 1, 1, 5, 1, 3, 6, 6, 1, 3, 5, 2, 5, 4, 7, 2, 2, 4, 7]","[4, 0, 1, 5, 1, 3, 6, 1, 3, 5, 2]","[0, 30, 180, 270, 315, 405, 480, 540, 645, 690, 705]"
,5,2818.0,432.0,"[5, 2, 2, 0, 3, 3, 3, 3, 4, 1]","[5, 2, 0, 3, 4, 1]","[0, 30, 120, 225, 300, 345]"
,8,4708.0,583.5,"[3, 3, 6, 7, 5, 6, 4, 2, 7, 4, 2]","[3, 6, 7, 5, 6, 4, 2, 7, 4, 2]","[0, 60, 105, 165, 225, 270, 330, 405, 480, 525]"
,8,5583.0,717.0,"[3, 5, 3, 6, 5, 7, 1, 2, 5, 1, 6, 4, 2, 2, 0, 7, 6, 4, 1, 7]","[3, 5, 3, 6, 5, 7, 1, 2, 5, 1, 6, 4]","[0, 60, 120, 195, 255, 300, 360, 450, 525, 570, 660, 705]"
,2,5153.0,708.0,"[2, 5, 0, 3, 3, 1, 4, 3, 6, 3, 7, 5, 5, 5, 2, 3, 2]","[2, 5, 0, 3, 1, 4, 3, 6, 3, 7, 5]","[0, 75, 120, 240, 300, 390, 450, 510, 570, 630, 690]"
