日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,6097,664.0,"[4, 7, 4, 4, 4, 3, 4, 5, 6, 6, 6, 5, 4, 4, 7, 5, 5, 4, 5]","[4, 7, 4, 3, 4, 5, 6, 5, 4, 7, 5, 4, 5]","[0, 30, 75, 150, 210, 270, 315, 375, 420, 480, 540, 585, 630]"
,6131,666.5,"[4, 7, 3, 6, 6, 5, 5, 4, 5, 3, 4, 3, 4, 3, 4, 4, 4]","[4, 7, 3, 6, 5, 4, 5, 3, 4, 3, 4, 3, 4]","[0, 30, 75, 150, 210, 255, 300, 360, 420, 465, 540, 585, 645]"
,6112,672.0,"[4, 7, 5, 3, 4, 5, 2, 4, 6, 5, 4, 4, 3, 4]","[4, 7, 5, 3, 4, 5, 2, 4, 6, 5, 4, 3, 4]","[0, 30, 75, 135, 210, 270, 315, 375, 435, 495, 540, 585, 645]"
,6110,658.0,"[4, 6, 7, 4, 5, 5, 2, 6, 4, 4, 5, 4, 6, 3, 4]","[4, 6, 7, 4, 5, 2, 6, 4, 5, 4, 6, 3, 4]","[0, 30, 75, 135, 195, 240, 315, 375, 420, 480, 510, 570, 630]"
,6095,665.0,"[4, 6, 5, 4, 3, 5, 2, 4, 4, 6, 5, 4, 3, 4]","[4, 6, 5, 4, 3, 5, 2, 4, 6, 5, 4, 3, 4]","[0, 30, 75, 135, 195, 255, 300, 375, 435, 495, 540, 585, 645]"
,6128,674.0,"[5, 4, 6, 4, 6, 6, 4, 4, 4, 3, 4, 7, 3, 4, 5, 4]","[5, 4, 6, 4, 6, 4, 3, 4, 7, 3, 4, 5, 4]","[0, 30, 75, 135, 195, 255, 315, 375, 435, 495, 555, 600, 645]"
,6129,674.0,"[4, 7, 4, 6, 6, 7, 5, 4, 5, 7, 4, 5, 5, 7, 4, 4]","[4, 7, 4, 6, 7, 5, 4, 5, 7, 4, 5, 7, 4]","[0, 30, 75, 150, 195, 255, 315, 375, 420, 495, 540, 585, 645]"
,6101,672.0,"[4, 4, 7, 5, 6, 4, 5, 2, 5, 4, 4, 4, 3, 3, 3, 4, 6, 4, 0]","[4, 7, 5, 6, 4, 5, 2, 5, 4, 3, 4, 6, 4]","[0, 30, 75, 135, 195, 255, 300, 375, 420, 480, 540, 585, 645]"
,6126,673.5,"[5, 7, 7, 4, 4, 7, 5, 4, 3, 3, 4, 6, 3, 4, 6, 4, 4]","[5, 7, 4, 7, 5, 4, 3, 4, 6, 3, 4, 6, 4]","[0, 30, 75, 135, 195, 255, 300, 375, 420, 480, 540, 585, 645]"
,6075,670.0,"[4, 5, 3, 5, 4, 5, 3, 7, 5, 4, 4, 2, 5, 4, 0]","[4, 5, 3, 5, 4, 5, 3, 7, 5, 4, 2, 5, 4]","[0, 30, 75, 150, 195, 255, 300, 360, 435, 480, 525, 600, 645]"
,6082,672.0,"[4, 6, 4, 7, 5, 4, 5, 3, 3, 6, 4, 4, 6, 6, 2, 5]","[4, 6, 4, 7, 5, 4, 5, 3, 6, 4, 6, 2, 5]","[0, 30, 75, 135, 195, 255, 300, 345, 420, 480, 510, 570, 645]"
,6137,673.5,"[4, 7, 4, 7, 7, 4, 5, 3, 4, 5, 5, 5, 3, 6, 3, 4]","[4, 7, 4, 7, 4, 5, 3, 4, 5, 3, 6, 3, 4]","[0, 30, 75, 150, 210, 270, 315, 375, 435, 480, 540, 600, 660]"
,6107,670.0,"[5, 7, 5, 7, 4, 7, 4, 5, 2, 5, 4, 3, 4, 4]","[5, 7, 5, 7, 4, 7, 4, 5, 2, 5, 4, 3, 4]","[0, 30, 75, 135, 195, 255, 315, 375, 435, 495, 540, 585, 645]"
,6103,671.0,"[4, 5, 4, 7, 4, 5, 5, 5, 4, 5, 4, 1, 3, 3, 4, 4, 5]","[4, 5, 4, 7, 4, 5, 4, 5, 4, 1, 3, 4, 5]","[0, 30, 75, 135, 195, 255, 300, 360, 405, 465, 555, 615, 645]"
,6099,669.0,"[4, 4, 6, 7, 2, 5, 3, 7, 6, 4, 5, 4, 5, 5, 4]","[4, 6, 7, 2, 5, 3, 7, 6, 4, 5, 4, 5, 4]","[0, 30, 75, 135, 210, 255, 330, 405, 465, 510, 555, 600, 645]"
,6098,667.5,"[6, 6, 7, 6, 5, 7, 4, 3, 5, 4, 4, 3, 3, 4, 5, 4, 4, 4, 4]","[6, 7, 6, 5, 7, 4, 3, 5, 4, 3, 4, 5, 4]","[0, 45, 105, 165, 210, 270, 330, 390, 435, 495, 555, 600, 645]"
,6118,674.0,"[4, 5, 7, 2, 2, 4, 6, 5, 5, 4, 4, 5, 4, 4, 3, 3, 7, 4]","[4, 5, 7, 2, 4, 6, 5, 4, 5, 4, 3, 7, 4]","[0, 30, 75, 135, 210, 270, 330, 375, 435, 480, 525, 585, 660]"
,5709,671.0,"[4, 4, 6, 4, 3, 4, 2, 4, 7, 4, 2, 4, 3]","[4, 6, 4, 3, 4, 2, 4, 7, 4, 2, 4, 3]","[0, 30, 75, 135, 210, 255, 330, 390, 465, 510, 585, 630]"
,6089,661.5,"[5, 5, 7, 4, 4, 4, 6, 4, 7, 7, 3, 5, 5, 3, 3, 4, 5, 4, 5, 5]","[5, 7, 4, 6, 4, 7, 3, 5, 3, 4, 5, 4, 5]","[0, 30, 75, 135, 195, 255, 315, 390, 435, 495, 540, 585, 630]"
,6126,671.0,"[4, 4, 6, 4, 4, 3, 7, 4, 3, 5, 7, 4, 6, 4, 5]","[4, 6, 4, 3, 7, 4, 3, 5, 7, 4, 6, 4, 5]","[0, 30, 75, 135, 210, 270, 315, 390, 435, 495, 540, 600, 645]"
,6098,675.0,"[5, 7, 6, 5, 4, 5, 3, 4, 7, 4, 4, 6, 3, 4]","[5, 7, 6, 5, 4, 5, 3, 4, 7, 4, 6, 3, 4]","[0, 30, 75, 135, 180, 240, 285, 360, 405, 480, 525, 585, 645]"
,6090,673.0,"[5, 7, 7, 4, 5, 4, 5, 6, 6, 2, 4, 3, 7, 4, 5, 0]","[5, 7, 4, 5, 4, 5, 6, 2, 4, 3, 7, 4, 5]","[0, 30, 75, 135, 195, 240, 300, 360, 435, 480, 540, 615, 645]"
,6067,671.5,"[5, 6, 5, 4, 4, 2, 5, 4, 3, 4, 5, 4, 6, 3, 0]","[5, 6, 5, 4, 2, 5, 4, 3, 4, 5, 4, 6, 3]","[0, 30, 60, 120, 180, 255, 300, 360, 420, 480, 510, 570, 630]"
,6106,662.5,"[5, 7, 4, 5, 3, 4, 6, 4, 7, 4, 6, 5, 4, 4]","[5, 7, 4, 5, 3, 4, 6, 4, 7, 4, 6, 5, 4]","[0, 30, 75, 135, 195, 255, 315, 375, 420, 495, 540, 600, 630]"
,6146,675.0,"[4, 7, 4, 7, 3, 3, 4, 6, 4, 5, 4, 5, 2, 2, 4]","[4, 7, 4, 7, 3, 4, 6, 4, 5, 4, 5, 2, 4]","[0, 30, 75, 150, 210, 270, 330, 390, 435, 480, 525, 570, 645]"
,6090,670.5,"[7, 6, 5, 3, 5, 7, 4, 2, 4, 5, 5, 4, 5, 4, 0, 0]","[7, 6, 5, 3, 5, 7, 4, 2, 4, 5, 4, 5, 4]","[0, 45, 90, 135, 210, 255, 315, 390, 450, 510, 555, 600, 645]"
,6106,660.0,"[5, 4, 7, 7, 6, 4, 4, 5, 4, 3, 6, 4, 7, 5, 4]","[5, 4, 7, 6, 4, 5, 4, 3, 6, 4, 7, 5, 4]","[0, 30, 75, 150, 195, 255, 300, 360, 420, 480, 525, 585, 630]"
,6059,664.0,"[5, 5, 5, 7, 5, 7, 6, 4, 6, 3, 5, 4, 6, 5, 4]","[5, 7, 5, 7, 6, 4, 6, 3, 5, 4, 6, 5, 4]","[0, 30, 75, 135, 195, 255, 315, 375, 435, 480, 525, 585, 645]"
,6115,674.5,"[4, 7, 4, 5, 6, 7, 3, 4, 4, 7, 5, 5, 5, 4, 3, 5]","[4, 7, 4, 5, 6, 7, 3, 4, 7, 5, 4, 3, 5]","[0, 30, 75, 150, 195, 255, 315, 390, 435, 495, 540, 585, 645]"
,6122,674.5,"[4, 4, 6, 4, 7, 5, 2, 6, 3, 4, 2, 4, 4, 5, 4]","[4, 6, 4, 7, 5, 2, 6, 3, 4, 2, 4, 5, 4]","[0, 30, 75, 135, 195, 255, 315, 375, 450, 495, 570, 615, 660]"
,6064,673.5,"[6, 5, 4, 6, 3, 4, 6, 4, 5, 3, 3, 6, 5, 4, 4]","[6, 5, 4, 6, 3, 4, 6, 4, 5, 3, 6, 5, 4]","[0, 45, 90, 150, 210, 270, 330, 390, 435, 480, 555, 615, 660]"
,6103,672.0,"[4, 6, 3, 4, 3, 3, 4, 6, 5, 5, 4, 5, 3, 6, 4, 0, 0]","[4, 6, 3, 4, 3, 4, 6, 5, 4, 5, 3, 6, 4]","[0, 30, 75, 150, 210, 270, 330, 390, 435, 480, 525, 585, 645]"
,6108,663.0,"[4, 6, 4, 3, 5, 4, 5, 4, 5, 7, 7, 4, 6, 4, 0]","[4, 6, 4, 3, 5, 4, 5, 4, 5, 7, 4, 6, 4]","[0, 30, 75, 135, 210, 255, 300, 345, 405, 450, 525, 585, 630]"
,6057,675.0,"[5, 6, 5, 6, 3, 5, 4, 2, 3, 6, 4, 4, 4, 6, 4, 1]","[5, 6, 5, 6, 3, 5, 4, 2, 3, 6, 4, 6, 4]","[0, 30, 60, 120, 180, 255, 300, 360, 420, 495, 555, 600, 660]"
,6124,666.0,"[4, 6, 7, 2, 5, 4, 4, 7, 4, 7, 4, 5, 4, 5, 5, 1]","[4, 6, 7, 2, 5, 4, 7, 4, 7, 4, 5, 4, 5]","[0, 30, 75, 135, 210, 255, 315, 375, 435, 495, 540, 600, 630]"
,6114,674.5,"[6, 7, 4, 6, 5, 7, 6, 4, 2, 4, 7, 4, 5, 5, 5]","[6, 7, 4, 6, 5, 7, 6, 4, 2, 4, 7, 4, 5]","[0, 45, 105, 150, 210, 255, 315, 375, 435, 495, 540, 615, 645]"
,6137,670.5,"[4, 6, 4, 5, 4, 6, 6, 4, 4, 7, 4, 5, 4, 4, 2, 4, 4]","[4, 6, 4, 5, 4, 6, 4, 7, 4, 5, 4, 2, 4]","[0, 30, 75, 135, 195, 240, 300, 360, 435, 480, 525, 570, 645]"
