日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-19,4710,645,"[0, 3, 6, 3, 4, 3, 4, 4, 3, 2, 5]","[0, 3, 6, 3, 4, 3, 4, 3, 2, 5]","[0, 150, 210, 285, 330, 390, 450, 525, 570, 615]"
2023-08-19,5143,647,"[6, 5, 6, 2, 3, 5, 4, 0, 2, 1, 7]","[6, 5, 6, 2, 3, 5, 4, 0, 2, 1, 7]","[0, 45, 105, 165, 210, 285, 315, 375, 465, 510, 600]"
2023-08-19,4705,536,"[4, 6, 2, 4, 6, 5, 2, 3, 3, 2, 4]","[4, 6, 2, 4, 6, 5, 2, 3, 2, 4]","[0, 30, 75, 135, 195, 255, 315, 360, 420, 480]"
2022-07-01,4224,599,"[0, 2, 6, 3, 1, 0, 2, 2, 0, 5]","[0, 2, 6, 3, 1, 0, 2, 0, 5]","[0, 120, 180, 255, 285, 360, 435, 495, 585]"
2022-07-01,4673,548,"[1, 5, 6, 4, 3, 0, 6, 0, 7, 5]","[1, 5, 6, 4, 3, 0, 6, 0, 7, 5]","[0, 90, 135, 195, 225, 255, 345, 405, 480, 540]"
2022-07-02,4697,585,"[6, 0, 4, 4, 5, 5, 2, 7, 2, 4, 4, 3, 3, 5]","[6, 0, 4, 5, 2, 7, 2, 4, 3, 5]","[0, 45, 180, 225, 270, 345, 405, 465, 510, 555]"
2022-07-02,5124,605,"[1, 6, 6, 5, 4, 5, 2, 4, 4, 3, 5, 6, 0]","[1, 6, 5, 4, 5, 2, 4, 3, 5, 6, 0]","[0, 30, 75, 120, 180, 225, 285, 345, 390, 435, 495]"
2022-07-03,4237,674,"[1, 1, 0, 6, 0, 4, 1, 2, 0, 0, 1]","[1, 0, 6, 0, 4, 1, 2, 0, 1]","[0, 135, 225, 300, 375, 420, 480, 540, 615]"
2022-07-03,3801,542,"[2, 0, 0, 0, 0, 4, 2, 0, 2, 3, 7]","[2, 0, 4, 2, 0, 2, 3, 7]","[0, 30, 165, 210, 285, 375, 450, 495]"
2022-07-03,5153,618,"[5, 4, 3, 2, 2, 3, 3, 7, 3, 5, 1, 6, 0]","[5, 4, 3, 2, 3, 7, 3, 5, 1, 6, 0]","[0, 30, 75, 150, 210, 270, 330, 390, 420, 480, 555]"
2022-07-03,6069,595,"[2, 4, 5, 7, 4, 7, 3, 6, 5, 7, 5, 5, 6, 6, 5]","[2, 4, 5, 7, 4, 7, 3, 6, 5, 7, 5, 6, 5]","[0, 30, 75, 105, 180, 210, 270, 330, 390, 420, 480, 510, 570]"
2022-07-04,6561,625,"[5, 6, 1, 7, 0, 3, 1, 2, 6, 0, 4, 7, 5, 3]","[5, 6, 1, 7, 0, 3, 1, 2, 6, 0, 4, 7, 5, 3]","[0, 30, 60, 135, 195, 270, 300, 360, 405, 450, 510, 525, 585, 615]"
2022-07-04,6585,637,"[2, 7, 0, 4, 4, 5, 2, 5, 3, 4, 7, 3, 2, 6, 1]","[2, 7, 0, 4, 5, 2, 5, 3, 4, 7, 3, 2, 6, 1]","[0, 75, 135, 195, 225, 240, 300, 330, 345, 390, 450, 465, 525, 585]"
2022-07-04,4727,511,"[1, 6, 6, 6, 4, 7, 6, 6, 2, 4, 0, 2, 2, 2, 4, 4]","[1, 6, 4, 7, 6, 2, 4, 0, 2, 4]","[0, 90, 150, 195, 255, 330, 375, 405, 450, 495]"
2022-07-04,4707,513,"[0, 6, 1, 7, 7, 2, 6, 1, 4, 0, 3]","[0, 6, 1, 7, 2, 6, 1, 4, 0, 3]","[0, 90, 150, 210, 270, 315, 360, 420, 435, 495]"
2022-07-04,5138,508,"[0, 4, 4, 2, 6, 7, 2, 5, 1, 5, 0, 5]","[0, 4, 2, 6, 7, 2, 5, 1, 5, 0, 5]","[0, 90, 120, 165, 225, 300, 345, 375, 420, 450, 495]"
2022-07-04,6066,614,"[5, 6, 1, 6, 2, 6, 6, 1, 4, 1, 4, 7, 5, 2]","[5, 6, 1, 6, 2, 6, 1, 4, 1, 4, 7, 5, 2]","[0, 30, 60, 135, 195, 255, 315, 390, 405, 465, 480, 540, 570]"
2022-07-04,6164,559,"[7, 6, 3, 4, 2, 2, 0, 4, 3, 3, 3, 4, 2, 1, 7, 0]","[7, 6, 3, 4, 2, 0, 4, 3, 4, 2, 1, 7, 0]","[0, 45, 90, 135, 165, 225, 285, 300, 330, 345, 405, 450, 510]"
