,時間,ソアリン,"トイ・
ストーリ
・マニア","タワー・
オブ・
テラー","センター
・オブ・
ジアース","インディ
ジョー
ンズ","レイジング
スピリッツ","マジック
ランプ
シアター","タートル
・トーク",曜日_数値,曜日,休日
0,2022-07-01 09:00:00,95,65,50,25,5,5,0,0,4,Friday,False
0,2022-07-01 09:15:00,80,65,45,35,10,5,0,0,4,Friday,False
0,2022-07-01 09:30:00,110,65,55,45,10,10,0,0,4,Friday,False
0,2022-07-01 09:45:00,110,65,60,45,10,10,0,0,4,Friday,False
0,2022-07-01 10:00:00,120,65,55,40,20,20,30,15,4,Friday,False
0,2022-07-01 10:15:00,120,55,45,35,30,20,15,15,4,Friday,False
0,2022-07-01 10:30:00,80,55,45,35,30,20,30,20,4,Friday,False
0,2022-07-01 10:45:00,60,45,40,30,30,20,15,20,4,Friday,False
0,2022-07-01 11:00:00,60,40,45,30,25,15,25,20,4,Friday,False
0,2022-07-01 11:15:00,60,40,40,30,20,15,30,20,4,Friday,False
0,2022-07-01 11:30:00,60,35,35,30,20,15,15,15,4,Friday,False
0,2022-07-01 11:45:00,60,45,45,30,10,15,25,20,4,Friday,False
0,2022-07-01 12:00:00,55,45,50,30,5,15,30,15,4,Friday,False
0,2022-07-01 12:15:00,40,45,45,25,5,15,25,15,4,Friday,False
0,2022-07-01 12:30:00,40,40,45,20,5,20,25,15,4,Friday,False
0,2022-07-01 12:45:00,45,35,45,15,20,15,15,15,4,Friday,False
0,2022-07-01 13:00:00,65,50,45,15,20,15,20,15,4,Friday,False
0,2022-07-01 13:15:00,65,45,45,20,20,10,25,15,4,Friday,False
0,2022-07-01 13:30:00,60,45,45,25,5,10,35,15,4,Friday,False
0,2022-07-01 13:45:00,45,45,45,30,15,15,20,20,4,Friday,False
0,2022-07-01 14:00:00,45,40,40,25,20,10,25,20,4,Friday,False
0,2022-07-01 14:15:00,40,50,40,15,20,20,15,20,4,Friday,False
0,2022-07-01 14:30:00,60,55,50,20,20,15,20,20,4,Friday,False
0,2022-07-01 14:45:00,60,55,50,20,20,20,30,20,4,Friday,False
0,2022-07-01 15:00:00,60,45,50,20,20,20,25,20,4,Friday,False
0,2022-07-01 15:15:00,55,40,50,15,5,15,20,25,4,Friday,False
