,時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
0,2022-08-01 09:00:00,90,85,80,40,20,5,0,0,0,Monday,False
1,2022-08-01 09:15:00,95,85,90,45,30,5,0,0,0,Monday,False
2,2022-08-01 09:30:00,95,85,90,50,30,15,0,0,0,Monday,False
3,2022-08-01 09:45:00,90,75,80,45,25,25,0,0,0,Monday,False
4,2022-08-01 10:00:00,80,60,80,45,35,35,10,5,0,Monday,False
5,2022-08-01 10:15:00,75,60,70,35,35,30,15,5,0,Monday,False
6,2022-08-01 10:30:00,65,50,55,35,35,25,20,20,0,Monday,False
7,2022-08-01 10:45:00,60,50,50,35,35,30,25,20,0,Monday,False
8,2022-08-01 11:00:00,60,45,60,40,35,30,25,20,0,Monday,False
9,2022-08-01 11:15:00,60,40,50,35,35,30,10,20,0,Monday,False
10,2022-08-01 11:30:00,60,40,50,35,35,25,15,20,0,Monday,False
11,2022-08-01 11:45:00,65,45,45,35,30,20,15,15,0,Monday,False
12,2022-08-01 12:00:00,70,60,45,35,30,20,20,15,0,Monday,False
13,2022-08-01 12:15:00,70,50,45,35,20,20,25,20,0,Monday,False
14,2022-08-01 12:30:00,60,50,45,40,15,25,15,15,0,Monday,False
15,2022-08-01 12:45:00,45,35,45,35,15,25,15,20,0,Monday,False
16,2022-08-01 13:00:00,45,55,45,30,15,25,15,20,0,Monday,False
17,2022-08-01 13:15:00,60,55,40,30,20,25,20,20,0,Monday,False
18,2022-08-01 13:30:00,70,50,40,25,20,20,20,20,0,Monday,False
19,2022-08-01 13:45:00,60,50,40,25,20,25,20,15,0,Monday,False
20,2022-08-01 14:00:00,60,50,40,30,20,25,25,20,0,Monday,False
21,2022-08-01 14:15:00,50,40,50,30,25,15,15,15,0,Monday,False
22,2022-08-01 14:30:00,50,50,50,30,35,20,15,30,0,Monday,False
23,2022-08-01 14:45:00,60,60,45,30,30,20,15,30,0,Monday,False
24,2022-08-01 15:00:00,65,60,50,30,20,20,20,20,0,Monday,False
25,2022-08-01 15:15:00,55,55,50,30,25,20,25,35,0,Monday,False
26,2022-08-01 15:30:00,55,50,45,20,20,10,25,20,0,Monday,False
27,2022-08-01 15:45:00,55,45,45,20,15,15,30,20,0,Monday,False
28,2022-08-01 16:00:00,55,45,40,20,15,25,15,30,0,Monday,False
29,2022-08-01 16:15:00,55,60,40,20,20,25,20,30,0,Monday,False
30,2022-08-01 16:30:00,60,60,45,20,20,20,25,30,0,Monday,False
31,2022-08-01 16:45:00,60,60,45,25,20,15,50,30,0,Monday,False
32,2022-08-01 17:00:00,55,55,40,25,15,15,35,30,0,Monday,False
33,2022-08-01 17:15:00,55,55,40,20,10,15,25,15,0,Monday,False
34,2022-08-01 17:30:00,50,45,40,25,5,15,25,20,0,Monday,False
35,2022-08-01 17:45:00,60,45,45,20,10,15,25,20,0,Monday,False
36,2022-08-01 18:00:00,70,65,45,20,20,15,15,20,0,Monday,False
37,2022-08-01 18:15:00,65,60,45,20,15,25,20,20,0,Monday,False
38,2022-08-01 18:30:00,60,55,50,20,15,20,20,20,0,Monday,False
39,2022-08-01 18:45:00,60,50,50,20,15,20,25,20,0,Monday,False
40,2022-08-01 19:00:00,60,40,45,20,10,20,25,15,0,Monday,False
41,2022-08-01 19:15:00,60,45,45,20,10,20,15,15,0,Monday,False
42,2022-08-01 19:30:00,60,55,55,20,5,15,15,20,0,Monday,False
43,2022-08-01 19:45:00,70,55,60,20,5,5,25,15,0,Monday,False
44,2022-08-01 20:00:00,0,0,60,20,5,10,0,20,0,Monday,False
45,2022-08-01 20:15:00,0,0,0,20,5,10,0,20,0,Monday,False
46,2022-08-01 20:30:00,0,0,0,20,5,10,0,20,0,Monday,False
47,2022-08-01 20:45:00,0,0,0,15,5,5,0,20,0,Monday,False
48,2022-08-02 09:00:00,90,80,80,40,30,10,0,0,1,Tuesday,False
49,2022-08-02 09:15:00,90,85,90,45,30,5,0,0,1,Tuesday,False
