時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2022-08-06 09:00:00,140,120,90,40,25,5,0,0
2022-08-06 09:15:00,150,120,90,45,25,5,0,0
2022-08-06 09:30:00,140,120,90,50,40,25,0,0
2022-08-06 09:45:00,140,110,100,55,45,35,0,0
2022-08-06 10:00:00,110,100,90,60,50,40,5,5
2022-08-06 10:15:00,110,95,80,60,45,45,20,5
2022-08-06 10:30:00,110,95,70,60,45,40,20,30
2022-08-06 10:45:00,90,90,70,55,45,40,25,20
2022-08-06 11:00:00,100,80,70,55,45,35,10,20
2022-08-06 11:15:00,100,75,60,45,45,35,15,20
2022-08-06 11:30:00,100,75,60,45,40,40,15,20
2022-08-06 11:45:00,95,70,70,45,35,35,15,25
2022-08-06 12:00:00,90,65,80,45,35,35,20,20
2022-08-06 12:15:00,80,70,80,45,40,35,25,20
2022-08-06 12:30:00,90,85,55,0,40,35,15,25
2022-08-06 12:45:00,100,80,55,0,40,35,15,20
2022-08-06 13:00:00,110,80,60,0,40,40,15,25
2022-08-06 13:15:00,100,80,70,0,40,40,25,30
2022-08-06 13:30:00,90,80,65,0,40,40,20,30
2022-08-06 13:45:00,90,80,75,0,40,35,20,30
2022-08-06 14:00:00,95,80,75,10,40,40,25,35
2022-08-06 14:15:00,95,85,75,50,50,35,15,35
2022-08-06 14:30:00,90,85,75,55,45,35,15,35
2022-08-06 14:45:00,95,85,70,55,45,40,25,35
2022-08-06 15:00:00,100,85,65,55,35,40,20,25
2022-08-06 15:15:00,95,80,60,50,35,35,25,30
2022-08-06 15:30:00,95,65,60,50,40,35,20,35
2022-08-06 15:45:00,95,65,60,50,40,25,15,25
2022-08-06 16:00:00,90,80,60,50,40,30,20,35
2022-08-06 16:15:00,90,80,60,50,35,30,20,35
2022-08-06 16:30:00,100,80,70,60,35,40,25,45
2022-08-06 16:45:00,100,80,75,65,35,40,45,35
2022-08-06 17:00:00,105,70,75,60,30,35,35,30
2022-08-06 17:15:00,105,70,65,55,30,35,20,35
2022-08-06 17:30:00,105,70,55,55,30,35,25,15
2022-08-06 17:45:00,100,75,70,45,30,25,25,20
2022-08-06 18:00:00,105,90,90,55,30,25,15,30
2022-08-06 18:15:00,110,90,80,55,30,30,25,20
2022-08-06 18:30:00,120,80,75,55,25,35,20,30
2022-08-06 18:45:00,120,65,75,55,25,30,15,30
2022-08-06 19:00:00,110,65,90,55,30,30,15,15
2022-08-06 19:15:00,100,70,90,50,25,30,15,15
2022-08-06 19:30:00,90,80,70,45,20,30,15,30
2022-08-06 19:45:00,80,0,65,45,20,25,25,30
2022-08-06 20:00:00,0,0,0,45,15,20,0,15
2022-08-06 20:15:00,0,0,0,45,15,20,0,20
2022-08-06 20:30:00,0,0,0,45,15,25,0,15
2022-08-06 20:45:00,0,0,0,0,10,0,0,30
