時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2022-07-21 09:00:00,110,100,5,55,25,10,0,0
2022-07-21 09:15:00,110,100,80,60,25,5,0,0
2022-07-21 09:30:00,110,100,80,45,35,30,0,0
2022-07-21 09:45:00,100,90,80,45,35,40,0,0
2022-07-21 10:00:00,110,90,90,40,40,35,30,5
2022-07-21 10:15:00,100,80,90,40,40,30,20,5
2022-07-21 10:30:00,90,80,80,40,40,30,30,20
2022-07-21 10:45:00,85,70,90,0,35,30,30,25
2022-07-21 11:00:00,80,60,60,0,35,30,20,20
2022-07-21 11:15:00,80,50,50,0,40,30,30,20
2022-07-21 11:30:00,70,60,35,0,40,30,15,15
2022-07-21 11:45:00,60,60,40,0,35,30,25,15
2022-07-21 12:00:00,70,60,45,0,35,20,30,20
2022-07-21 12:15:00,80,60,50,20,35,20,20,30
2022-07-21 12:30:00,80,60,50,35,35,15,25,15
2022-07-21 12:45:00,70,60,40,40,25,25,15,15
2022-07-21 13:00:00,70,70,45,50,25,35,25,30
2022-07-21 13:15:00,60,75,50,40,25,30,25,20
2022-07-21 13:30:00,50,70,55,40,25,20,15,20
2022-07-21 13:45:00,50,70,50,30,25,20,20,20
2022-07-21 14:00:00,60,55,50,30,35,15,25,20
2022-07-21 14:15:00,70,55,35,30,35,20,20,20
2022-07-21 14:30:00,75,60,40,40,35,20,20,20
2022-07-21 14:45:00,75,60,45,40,35,20,30,20
2022-07-21 15:00:00,70,65,50,40,30,20,20,25
2022-07-21 15:15:00,60,65,50,35,30,25,20,20
2022-07-21 15:30:00,60,65,50,35,20,25,25,25
2022-07-21 15:45:00,60,50,40,35,15,25,20,20
2022-07-21 16:00:00,60,50,35,35,15,15,20,15
2022-07-21 16:15:00,70,50,40,35,20,15,30,15
2022-07-21 16:30:00,70,50,45,35,20,20,15,30
2022-07-21 16:45:00,70,60,45,25,20,20,25,20
2022-07-21 17:00:00,70,70,40,20,15,15,30,20
2022-07-21 17:15:00,70,70,45,35,15,15,15,15
2022-07-21 17:30:00,70,65,40,30,10,15,25,20
2022-07-21 17:45:00,65,65,45,30,20,30,15,35
2022-07-21 18:00:00,65,65,50,35,25,20,25,30
2022-07-21 18:15:00,65,65,55,40,20,15,25,30
2022-07-21 18:30:00,70,65,45,40,15,15,30,30
2022-07-21 18:45:00,75,65,40,45,10,15,20,15
2022-07-21 19:00:00,75,65,40,30,5,15,30,15
2022-07-21 19:15:00,75,65,40,25,10,15,30,15
2022-07-21 19:30:00,70,65,50,20,15,10,15,15
2022-07-21 19:45:00,65,65,50,25,10,10,0,20
2022-07-21 20:00:00,65,0,55,25,5,10,0,25
2022-07-21 20:15:00,0,0,0,30,5,10,0,15
2022-07-21 20:30:00,0,0,0,30,5,5,0,15
2022-07-21 20:45:00,0,0,0,0,5,5,0,20
