時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,5,90,30,5,5,0,0
15,130,130,90,40,15,5,0,0
30,120,130,100,50,20,10,0,0
45,120,120,90,50,40,25,0,0
60,140,130,80,50,45,35,5,5
75,130,120,75,50,45,35,20,15
90,125,105,75,45,40,30,30,20
105,110,100,70,45,40,25,20,20
120,110,95,60,45,35,30,20,15
135,90,95,50,45,35,30,30,30
150,90,85,55,45,30,25,15,30
165,80,70,50,45,30,25,20,15
180,90,60,55,40,25,25,30,20
195,100,60,50,40,25,25,20,20
210,100,60,60,40,35,25,25,15
225,100,65,50,40,35,25,30,20
240,90,65,45,40,35,25,20,35
255,90,70,50,40,40,20,25,20
270,85,70,55,40,35,25,30,20
285,90,70,55,35,35,25,20,20
300,90,70,55,35,35,30,25,25
315,80,65,50,35,35,30,35,30
330,80,65,50,40,35,30,20,30
345,80,60,50,40,35,25,35,20
360,75,60,50,40,30,20,35,30
375,75,60,45,40,30,25,20,30
390,75,65,45,40,30,20,30,30
405,75,65,45,30,25,25,35,30
420,70,65,50,25,20,25,25,20
435,70,80,50,25,20,25,30,30
450,90,80,50,25,20,15,20,30
465,95,60,50,25,20,15,25,30
480,95,60,45,30,5,20,20,30
495,90,50,45,35,5,20,35,15
510,90,50,45,30,20,15,20,15
525,85,70,50,25,20,15,30,40
540,90,70,50,25,20,15,15,20
555,90,70,50,25,20,20,25,20
570,95,70,50,25,10,25,30,20
585,90,55,45,25,5,20,15,20
600,85,55,45,25,5,10,25,15
615,85,55,50,25,5,5,30,15
630,80,55,40,20,5,15,15,20
645,70,60,45,20,5,15,0,15
660,70,60,50,15,5,15,0,15
675,0,60,50,20,5,5,0,20
690,0,0,0,20,5,5,0,20
705,0,0,0,20,5,5,0,20
