時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,70,60,80,25,5,5,0,0
15,70,70,70,30,5,5,0,0
30,65,45,40,30,5,5,0,0
45,60,40,40,30,5,20,0,0
60,55,45,40,30,20,20,15,5
75,50,40,50,30,20,15,30,15
90,40,40,55,25,20,15,30,15
105,40,40,45,20,10,20,20,15
120,45,45,45,20,5,20,20,20
135,45,45,25,20,15,20,15,20
150,40,30,45,20,15,20,15,20
165,40,35,45,20,5,10,25,20
180,45,30,40,20,5,5,30,20
195,40,30,40,25,5,5,15,20
210,40,40,40,15,5,5,25,20
225,35,40,50,15,5,5,30,20
240,45,50,55,15,5,5,15,20
255,45,50,40,15,5,5,25,20
270,50,40,30,15,5,5,15,20
285,45,35,30,15,5,5,15,15
300,35,40,35,20,5,10,25,15
315,35,50,35,15,15,10,35,15
330,50,45,55,15,15,5,30,30
345,50,50,45,15,15,5,30,30
360,40,45,40,15,15,10,30,30
375,40,40,40,15,5,10,20,20
390,40,30,40,15,5,5,30,20
405,40,35,30,0,5,5,20,15
420,40,45,30,0,5,5,20,15
435,40,45,45,0,5,5,30,15
450,40,45,50,0,5,0,30,20
465,40,40,50,0,5,0,30,15
480,40,40,50,5,5,0,30,15
495,40,35,35,5,5,0,15,20
510,40,35,30,20,5,0,20,20
525,40,50,45,20,5,0,30,20
540,30,50,45,25,5,0,15,20
555,40,45,45,25,5,0,30,20
570,50,35,40,25,5,0,30,15
585,45,30,30,35,5,0,20,15
600,40,30,25,25,5,0,25,20
615,35,40,30,20,5,0,20,20
630,50,40,30,10,10,0,15,15
645,70,40,40,10,5,0,0,15
660,50,40,40,10,5,5,0,15
675,50,35,40,10,5,5,0,20
690,35,30,0,10,5,5,0,15
705,30,0,0,5,5,5,0,0
