時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
2023-12-01 09:00:00,100,90,30,0,5,5,0,15,4,Friday,False
2023-12-01 09:15:00,120,130,65,0,5,5,0,20,4,Friday,False
2023-12-01 09:30:00,165,145,70,0,40,20,0,20,4,Friday,False
2023-12-01 09:45:00,160,145,75,0,60,55,0,35,4,Friday,False
2023-12-01 10:00:00,170,155,80,0,100,15,0,35,4,Friday,False
2023-12-01 10:15:00,160,150,90,0,110,70,0,45,4,Friday,False
2023-12-01 10:30:00,150,150,100,0,110,80,0,60,4,Friday,False
2023-12-01 10:45:00,140,140,100,0,105,85,0,65,4,Friday,False
2023-12-01 11:00:00,140,130,100,0,95,80,0,45,4,Friday,False
2023-12-01 11:15:00,135,130,100,0,95,70,0,35,4,Friday,False
2023-12-01 11:30:00,150,115,100,0,100,70,0,45,4,Friday,False
2023-12-01 11:45:00,150,100,95,0,95,65,0,50,4,Friday,False
2023-12-01 12:00:00,160,95,90,0,95,65,0,45,4,Friday,False
2023-12-01 12:15:00,150,110,90,0,95,65,0,50,4,Friday,False
2023-12-01 12:30:00,160,115,95,0,95,70,0,50,4,Friday,False
2023-12-01 12:45:00,160,115,95,0,100,70,0,50,4,Friday,False
2023-12-01 13:00:00,155,115,95,0,105,70,0,50,4,Friday,False
2023-12-01 13:15:00,140,125,85,0,110,75,0,45,4,Friday,False
2023-12-01 13:30:00,140,120,80,0,110,75,0,45,4,Friday,False
2023-12-01 13:45:00,155,120,85,0,110,75,0,45,4,Friday,False
2023-12-01 14:00:00,160,125,85,0,120,80,0,45,4,Friday,False
2023-12-01 14:15:00,160,125,85,0,115,85,0,60,4,Friday,False
2023-12-01 14:30:00,160,125,85,0,120,80,0,45,4,Friday,False
2023-12-01 14:45:00,160,115,95,0,120,75,0,45,4,Friday,False
2023-12-01 15:00:00,155,105,100,0,110,75,0,60,4,Friday,False
2023-12-01 15:15:00,150,105,100,0,105,70,0,50,4,Friday,False
2023-12-01 15:30:00,160,120,100,0,115,75,0,60,4,Friday,False
2023-12-01 15:45:00,160,130,95,0,105,80,0,60,4,Friday,False
2023-12-01 16:00:00,160,145,95,0,100,80,0,60,4,Friday,False
2023-12-01 16:15:00,150,145,95,0,100,80,0,50,4,Friday,False
2023-12-01 16:30:00,145,145,90,0,100,75,0,45,4,Friday,False
2023-12-01 16:45:00,145,130,90,0,100,75,0,50,4,Friday,False
2023-12-01 17:00:00,145,115,90,0,100,65,0,50,4,Friday,False
2023-12-01 17:15:00,145,115,95,0,95,65,0,60,4,Friday,False
2023-12-01 17:30:00,140,115,105,0,90,65,0,65,4,Friday,False
2023-12-01 17:45:00,135,95,110,0,90,65,0,60,4,Friday,False
2023-12-01 18:00:00,130,95,110,0,80,60,0,45,4,Friday,False
2023-12-01 18:15:00,120,85,90,0,80,55,0,45,4,Friday,False
2023-12-01 18:30:00,120,85,80,0,70,55,0,30,4,Friday,False
2023-12-01 18:45:00,110,85,70,0,60,40,0,30,4,Friday,False
2023-12-01 19:00:00,105,85,65,0,65,30,0,20,4,Friday,False
2023-12-01 19:15:00,90,65,55,0,65,30,0,20,4,Friday,False
2023-12-01 19:30:00,85,65,55,0,50,30,0,15,4,Friday,False
2023-12-01 19:45:00,0,70,60,0,60,35,0,20,4,Friday,False
2023-12-01 20:00:00,0,0,0,0,0,45,0,45,4,Friday,False
2023-12-01 20:15:00,0,0,0,0,0,0,0,45,4,Friday,False
2023-12-01 20:30:00,0,0,0,0,0,0,0,15,4,Friday,False
2023-12-01 20:45:00,0,0,0,0,0,0,0,15,4,Friday,False
2023-12-02 09:00:00,165,140,5,0,20,15,0,15,5,Saturday,False
2023-12-02 09:15:00,180,160,65,0,35,30,0,20,5,Saturday,False
2023-12-02 09:30:00,170,180,80,0,90,60,0,30,5,Saturday,False
2023-12-02 09:45:00,175,185,95,0,125,65,0,50,5,Saturday,False
2023-12-02 10:00:00,175,180,95,0,120,80,0,50,5,Saturday,False
2023-12-02 10:15:00,200,130,95,0,115,80,0,50,5,Saturday,False
2023-12-02 10:30:00,200,125,90,0,115,80,0,50,5,Saturday,False
2023-12-02 10:45:00,200,130,90,0,120,0,0,45,5,Saturday,False
2023-12-02 11:00:00,190,130,85,0,120,0,0,50,5,Saturday,False
2023-12-02 11:15:00,190,135,60,0,130,0,0,45,5,Saturday,False
2023-12-02 11:30:00,185,130,60,0,140,0,0,45,5,Saturday,False
2023-12-02 11:45:00,180,140,80,0,145,0,0,55,5,Saturday,False
2023-12-02 12:00:00,170,130,80,0,155,0,0,50,5,Saturday,False
2023-12-02 12:15:00,160,135,80,0,155,25,0,50,5,Saturday,False
2023-12-02 12:30:00,160,125,80,0,145,100,0,60,5,Saturday,False
2023-12-02 12:45:00,155,130,75,0,145,100,0,60,5,Saturday,False
2023-12-02 13:00:00,165,135,75,0,135,100,0,60,5,Saturday,False
2023-12-02 13:15:00,165,135,70,0,135,110,0,60,5,Saturday,False
2023-12-02 13:30:00,165,140,65,0,135,120,0,60,5,Saturday,False
2023-12-02 13:45:00,170,140,65,0,120,120,0,60,5,Saturday,False
2023-12-02 14:00:00,165,145,70,0,110,110,0,60,5,Saturday,False
2023-12-02 14:15:00,170,145,70,0,105,90,0,60,5,Saturday,False
2023-12-02 14:30:00,180,135,75,0,120,85,0,60,5,Saturday,False
2023-12-02 14:45:00,185,140,80,0,130,80,0,60,5,Saturday,False
