時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク,曜日_数値,曜日,休日
09:00,35,0,10,5,0,5,0,15,3,Thursday,False
09:15,90,0,35,40,0,5,0,15,3,Thursday,False
09:30,125,0,100,100,0,5,0,15,3,Thursday,False
09:45,150,0,100,95,0,60,0,15,3,Thursday,False
10:00,160,0,120,100,0,100,0,30,3,Thursday,False
10:15,170,0,130,120,0,100,0,40,3,Thursday,False
10:30,180,0,130,130,0,110,0,50,3,Thursday,False
10:45,160,0,140,0,0,110,0,35,3,Thursday,False
11:00,160,0,160,0,0,120,0,50,3,Thursday,False
11:15,160,0,170,0,0,120,0,50,3,Thursday,False
11:30,160,0,150,0,0,120,0,55,3,Thursday,False
11:45,160,0,150,0,0,130,0,45,3,Thursday,False
12:00,150,0,140,0,0,130,0,45,3,Thursday,False
12:15,150,0,140,100,0,130,0,45,3,Thursday,False
12:30,150,0,135,130,0,120,0,45,3,Thursday,False
12:45,150,0,135,140,0,130,0,45,3,Thursday,False
13:00,140,0,145,140,0,130,0,50,3,Thursday,False
13:15,135,0,140,150,0,120,0,50,3,Thursday,False
13:30,135,0,140,145,0,120,0,55,3,Thursday,False
13:45,150,0,140,145,0,120,0,45,3,Thursday,False
14:00,145,0,140,140,0,120,0,45,3,Thursday,False
14:15,155,0,140,140,0,120,0,45,3,Thursday,False
14:30,170,0,145,150,0,120,0,60,3,Thursday,False
14:45,150,0,145,150,0,120,0,45,3,Thursday,False
15:00,160,0,140,150,0,120,0,50,3,Thursday,False
15:15,160,0,150,180,0,115,0,50,3,Thursday,False
15:30,170,0,150,170,0,115,0,50,3,Thursday,False
15:45,170,0,160,170,0,115,0,50,3,Thursday,False
16:00,175,0,170,0,0,120,0,50,3,Thursday,False
16:15,180,0,190,0,0,130,0,60,3,Thursday,False
16:30,170,0,180,0,0,140,0,60,3,Thursday,False
16:45,170,0,170,0,0,140,0,45,3,Thursday,False
17:00,170,0,170,0,0,140,0,50,3,Thursday,False
17:15,165,0,170,0,0,140,0,50,3,Thursday,False
17:30,165,0,160,0,0,150,0,50,3,Thursday,False
17:45,165,0,165,0,0,150,0,50,3,Thursday,False
18:00,160,0,170,0,0,130,0,50,3,Thursday,False
18:15,150,0,165,0,0,130,0,45,3,Thursday,False
18:30,140,0,160,0,0,110,0,45,3,Thursday,False
18:45,140,0,145,40,0,110,0,45,3,Thursday,False
19:00,130,0,0,90,0,80,0,50,3,Thursday,False
19:15,0,0,0,100,0,70,0,45,3,Thursday,False
19:30,0,0,0,0,0,65,0,35,3,Thursday,False
19:45,0,0,0,0,0,70,0,35,3,Thursday,False
20:00,0,0,0,0,0,70,0,45,3,Thursday,False
20:15,0,0,0,0,0,0,0,20,3,Thursday,False
20:30,0,0,0,0,0,0,0,20,3,Thursday,False
20:45,0,0,0,0,0,0,0,15,3,Thursday,False
09:00,140,0,5,45,0,5,0,15,4,Friday,False
09:15,165,0,80,110,0,5,0,20,4,Friday,False
09:30,165,0,120,110,0,45,0,15,4,Friday,False
09:45,165,0,125,110,0,75,0,30,4,Friday,False
10:00,175,0,150,130,0,75,0,50,4,Friday,False
10:15,160,0,130,130,0,100,0,55,4,Friday,False
10:30,150,0,130,130,0,110,0,60,4,Friday,False
10:45,150,0,125,130,0,115,0,45,4,Friday,False
11:00,145,0,115,135,0,120,0,35,4,Friday,False
11:15,140,0,135,130,0,120,0,30,4,Friday,False
11:30,135,0,140,120,0,115,0,45,4,Friday,False
11:45,140,0,135,140,0,115,0,50,4,Friday,False
12:00,140,0,130,145,0,115,0,60,4,Friday,False
12:15,140,0,120,145,0,115,0,50,4,Friday,False
12:30,145,0,120,130,0,110,0,45,4,Friday,False
12:45,145,0,125,120,0,85,0,50,4,Friday,False
13:00,150,0,130,120,0,90,0,50,4,Friday,False
13:15,150,0,125,120,0,100,0,50,4,Friday,False
13:30,150,0,130,120,0,105,0,50,4,Friday,False
13:45,150,0,130,120,0,105,0,50,4,Friday,False
14:00,155,0,110,130,0,105,0,50,4,Friday,False
14:15,155,0,125,130,0,105,0,50,4,Friday,False
14:30,150,0,130,130,0,105,0,50,4,Friday,False
14:45,145,0,130,125,0,105,0,55,4,Friday,False
15:00,155,0,135,125,0,95,0,45,4,Friday,False
15:15,155,0,135,130,0,100,0,50,4,Friday,False
15:30,155,0,145,125,0,110,0,50,4,Friday,False
15:45,155,0,140,125,0,110,0,50,4,Friday,False
16:00,155,0,140,135,0,110,0,60,4,Friday,False
16:15,155,0,140,135,0,110,0,65,4,Friday,False
16:30,165,0,135,130,0,100,0,65,4,Friday,False
16:45,160,0,135,130,0,110,0,65,4,Friday,False
17:00,160,0,135,140,0,115,0,50,4,Friday,False
17:15,160,0,135,145,0,115,0,45,4,Friday,False
17:30,170,0,135,140,0,110,0,60,4,Friday,False
17:45,170,0,135,125,0,100,0,50,4,Friday,False
18:00,150,0,130,120,0,95,0,60,4,Friday,False
18:15,145,0,130,115,0,75,0,50,4,Friday,False
18:30,140,0,145,110,0,75,0,50,4,Friday,False
18:45,130,0,135,105,0,65,0,45,4,Friday,False
19:00,120,0,0,100,0,75,0,30,4,Friday,False
19:15,110,0,0,85,0,75,0,25,4,Friday,False
19:30,0,0,0,0,0,70,0,45,4,Friday,False
19:45,0,0,0,0,0,70,0,35,4,Friday,False
20:00,0,0,0,0,0,0,0,35,4,Friday,False
20:15,0,0,0,0,0,0,0,20,4,Friday,False
20:30,0,0,0,0,0,0,0,20,4,Friday,False
20:45,0,0,0,0,0,0,0,15,4,Friday,False
09:00,120,0,55,25,0,5,0,15,5,Saturday,False
09:15,145,0,80,70,0,5,0,15,5,Saturday,False
09:30,160,0,85,0,0,10,0,30,5,Saturday,False
09:45,160,0,105,0,0,55,0,45,5,Saturday,False
10:00,155,0,100,0,0,60,0,45,5,Saturday,False
10:15,150,0,100,0,0,65,0,35,5,Saturday,False
10:30,140,0,95,0,0,65,0,50,5,Saturday,False
10:45,140,0,80,0,0,70,0,45,5,Saturday,False
11:00,130,0,80,0,0,85,0,35,5,Saturday,False
11:15,120,0,80,10,0,90,0,35,5,Saturday,False
11:30,120,0,90,100,0,85,0,40,5,Saturday,False
11:45,110,0,90,100,0,80,0,35,5,Saturday,False
12:00,105,0,90,85,0,60,0,45,5,Saturday,False
12:15,105,0,75,80,0,45,0,35,5,Saturday,False
12:30,105,0,75,95,0,50,0,35,5,Saturday,False
12:45,105,0,75,85,0,60,0,50,5,Saturday,False
13:00,100,0,65,85,0,55,0,35,5,Saturday,False
13:15,100,0,55,75,0,55,0,45,5,Saturday,False
13:30,110,0,40,75,0,60,0,35,5,Saturday,False
13:45,105,0,40,75,0,50,0,35,5,Saturday,False
14:00,105,0,45,75,0,50,0,30,5,Saturday,False
14:15,105,0,65,85,0,45,0,30,5,Saturday,False
14:30,105,0,65,95,0,45,0,45,5,Saturday,False
14:45,105,0,60,90,0,55,0,50,5,Saturday,False
15:00,110,0,60,80,0,60,0,35,5,Saturday,False
15:15,110,0,40,80,0,50,0,45,5,Saturday,False
15:30,110,0,50,90,0,50,0,45,5,Saturday,False
15:45,110,0,70,90,0,55,0,50,5,Saturday,False
16:00,105,0,70,80,0,60,0,50,5,Saturday,False
16:15,100,0,70,80,0,60,0,45,5,Saturday,False
16:30,105,0,70,85,0,60,0,50,5,Saturday,False
16:45,105,0,55,75,0,50,0,35,5,Saturday,False
17:00,110,0,45,80,0,50,0,35,5,Saturday,False
17:15,105,0,55,90,0,50,0,50,5,Saturday,False
17:30,100,0,55,110,0,50,0,35,5,Saturday,False
17:45,100,0,70,100,0,55,0,40,5,Saturday,False
18:00,100,0,75,80,0,60,0,45,5,Saturday,False
18:15,100,0,70,75,0,60,0,30,5,Saturday,False
18:30,105,0,70,75,0,55,0,30,5,Saturday,False
18:45,105,0,70,75,0,50,0,30,5,Saturday,False
19:00,90,0,55,60,0,40,0,30,5,Saturday,False
19:15,90,0,50,50,0,40,0,30,5,Saturday,False
19:30,80,0,50,50,0,30,0,30,5,Saturday,False
19:45,75,0,50,45,0,30,0,20,5,Saturday,False
20:00,70,0,50,45,0,40,0,15,5,Saturday,False
20:15,0,0,0,0,0,40,0,15,5,Saturday,False
20:30,0,0,0,0,0,25,0,15,5,Saturday,False
20:45,0,0,0,0,0,15,0,15,5,Saturday,False
09:00,110,0,80,30,0,5,0,15,0,Monday,False
09:15,115,0,130,70,0,5,0,15,0,Monday,False
09:30,105,0,55,90,0,20,0,15,0,Monday,False
09:45,110,0,55,80,0,45,0,15,0,Monday,False
10:00,110,0,55,55,0,55,0,20,0,Monday,False
