時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,112.5,90.0,45.0,37.5,10.0,5.0,0.0,0.0
15,130.0,110.0,65.0,50.0,15.0,5.0,0.0,2.5
30,130.0,110.0,70.0,60.0,35.0,20.0,0.0,0.0
45,130.0,100.0,70.0,57.5,45.0,35.0,0.0,7.5
60,120.0,100.0,70.0,55.0,45.0,40.0,5.0,20.0
75,110.0,90.0,65.0,55.0,45.0,40.0,20.0,20.0
90,100.0,82.5,60.0,55.0,40.0,35.0,20.0,20.0
105,90.0,80.0,60.0,50.0,40.0,35.0,25.0,20.0
120,90.0,75.0,60.0,50.0,40.0,35.0,25.0,20.0
135,90.0,70.0,60.0,50.0,40.0,35.0,25.0,20.0
150,90.0,67.5,55.0,50.0,40.0,32.5,15.0,20.0
165,90.0,65.0,55.0,50.0,40.0,30.0,20.0,20.0
180,95.0,65.0,55.0,50.0,35.0,30.0,25.0,20.0
195,95.0,70.0,50.0,50.0,37.5,30.0,25.0,20.0
210,90.0,70.0,55.0,50.0,40.0,30.0,25.0,20.0
225,90.0,70.0,55.0,50.0,35.0,30.0,20.0,20.0
240,90.0,70.0,55.0,50.0,40.0,35.0,20.0,20.0
255,85.0,70.0,55.0,50.0,35.0,30.0,25.0,20.0
270,85.0,70.0,55.0,50.0,35.0,30.0,20.0,20.0
285,85.0,70.0,55.0,50.0,35.0,30.0,25.0,20.0
300,85.0,70.0,55.0,50.0,35.0,30.0,25.0,20.0
315,85.0,70.0,55.0,45.0,42.5,30.0,20.0,20.0
330,90.0,70.0,55.0,45.0,40.0,35.0,20.0,25.0
345,85.0,70.0,55.0,50.0,40.0,35.0,25.0,25.0
360,85.0,70.0,55.0,47.5,35.0,35.0,20.0,30.0
375,85.0,70.0,55.0,50.0,35.0,35.0,25.0,30.0
390,87.5,70.0,55.0,50.0,35.0,30.0,30.0,30.0
405,90.0,70.0,50.0,45.0,35.0,30.0,20.0,30.0
420,90.0,70.0,50.0,45.0,35.0,30.0,20.0,22.5
435,85.0,70.0,50.0,45.0,35.0,30.0,25.0,20.0
450,85.0,70.0,52.5,45.0,35.0,30.0,25.0,30.0
465,90.0,65.0,50.0,45.0,30.0,30.0,25.0,20.0
480,90.0,70.0,52.5,42.5,25.0,25.0,30.0,20.0
495,90.0,70.0,50.0,45.0,30.0,25.0,20.0,22.5
510,95.0,70.0,50.0,47.5,30.0,30.0,20.0,20.0
525,95.0,70.0,55.0,45.0,30.0,30.0,25.0,20.0
540,95.0,75.0,55.0,45.0,30.0,30.0,20.0,20.0
555,90.0,75.0,55.0,42.5,30.0,30.0,25.0,20.0
570,90.0,70.0,55.0,40.0,27.5,30.0,25.0,20.0
585,90.0,65.0,50.0,40.0,25.0,30.0,20.0,20.0
600,85.0,65.0,50.0,40.0,25.0,25.0,20.0,20.0
615,80.0,65.0,45.0,37.5,20.0,25.0,15.0,15.0
630,70.0,55.0,50.0,35.0,15.0,20.0,20.0,20.0
645,65.0,50.0,45.0,30.0,15.0,15.0,20.0,15.0
660,40.0,40.0,40.0,25.0,10.0,15.0,0.0,15.0
675,0.0,30.0,20.0,22.5,5.0,10.0,0.0,15.0
690,0.0,0.0,0.0,20.0,5.0,5.0,0.0,15.0
705,0.0,0.0,0.0,0.0,5.0,5.0,0.0,20.0
