日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,867,651,"[4, 2, 3, 0, 4, 0, 1, 1, 4, 0, 5, 0, 1, 1, 5]","[4, 2, 3, 0, 4, 0, 1, 1, 4, 0, 5, 0, 1, 1, 5]","[0, 30, 90, 135, 210, 240, 315, 375, 435, 450, 525, 540, 600, 615, 645]"
2022-07-01,915,641,"[2, 7, 1, 0, 1, 3, 1, 0, 1, 1, 1, 5, 1, 1, 3]","[2, 7, 1, 0, 1, 3, 1, 0, 1, 1, 1, 5, 1, 1, 3]","[0, 75, 120, 180, 255, 315, 345, 420, 480, 540, 555, 570, 585, 615, 630]"
2022-07-01,885,652,"[5, 0, 1, 1, 3, 5, 1, 3, 3, 0, 5, 1, 1, 1, 0]","[5, 0, 1, 1, 3, 5, 1, 3, 3, 0, 5, 1, 1, 1, 0]","[0, 30, 150, 195, 270, 300, 330, 390, 420, 450, 510, 540, 555, 570, 585]"
2022-07-02,629,656,"[4, 2, 3, 1, 3, 1, 0, 4, 1, 4, 4, 4, 5]","[4, 2, 3, 1, 3, 1, 0, 4, 1, 4, 4, 4, 5]","[0, 30, 135, 195, 270, 330, 405, 495, 510, 585, 600, 615, 630]"
2022-07-02,667,655,"[1, 5, 7, 3, 2, 2, 0, 0, 4, 1, 3, 3, 4]","[1, 5, 7, 3, 2, 2, 0, 0, 4, 1, 3, 3, 4]","[0, 30, 45, 90, 150, 210, 285, 390, 480, 495, 570, 600, 645]"
2022-07-02,630,652,"[1, 0, 2, 1, 3, 4, 5, 3, 4, 1, 2, 3]","[1, 0, 2, 1, 3, 4, 5, 3, 4, 1, 2, 3]","[0, 30, 165, 225, 315, 360, 405, 435, 480, 495, 555, 615]"
2022-07-03,748,659,"[2, 3, 0, 0, 7, 0, 2, 1, 3, 3, 4, 4, 4, 5, 4]","[2, 3, 0, 0, 7, 0, 2, 1, 3, 3, 4, 4, 4, 5, 4]","[0, 30, 45, 165, 255, 315, 390, 450, 495, 540, 570, 585, 615, 630, 645]"
2022-07-03,774,653,"[3, 3, 3, 1, 1, 5, 0, 1, 3, 0, 3, 3, 5, 3, 5]","[3, 3, 3, 1, 1, 5, 0, 1, 3, 0, 3, 3, 5, 3, 5]","[0, 15, 30, 45, 180, 240, 270, 345, 420, 450, 525, 555, 585, 615, 645]"
2022-07-03,748,660,"[4, 5, 5, 1, 5, 0, 1, 4, 0, 0, 3, 3, 3, 5, 3]","[4, 5, 5, 1, 5, 0, 1, 4, 0, 0, 3, 3, 3, 5, 3]","[0, 45, 75, 105, 180, 210, 300, 360, 405, 465, 540, 570, 600, 615, 645]"
2022-07-04,1031,650,"[0, 1, 0, 0, 4, 3, 5, 0, 0, 2, 3, 0, 0, 0, 0]","[0, 1, 0, 0, 4, 3, 5, 0, 0, 2, 3, 0, 0, 0, 0]","[0, 75, 120, 180, 225, 240, 270, 285, 345, 405, 450, 465, 510, 555, 615]"
2022-07-04,979,652,"[7, 0, 0, 0, 0, 0, 1, 0, 4, 0, 1, 1, 0, 3]","[7, 0, 0, 0, 0, 0, 1, 0, 4, 0, 1, 1, 0, 3]","[0, 45, 120, 180, 225, 285, 345, 405, 450, 450, 495, 555, 600, 645]"
2022-07-04,1023,644,"[3, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 1, 4, 1, 0]","[3, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 1, 4, 1, 0]","[0, 30, 120, 165, 210, 240, 270, 315, 360, 420, 450, 495, 540, 555, 600]"
2022-07-05,707,645,"[3, 4, 4, 4, 0, 4, 5, 3, 1, 3, 1, 4, 0, 5, 3]","[3, 4, 4, 4, 0, 4, 5, 3, 1, 3, 1, 4, 0, 5, 3]","[0, 30, 60, 90, 135, 195, 225, 270, 315, 390, 435, 495, 525, 600, 615]"
2022-07-05,703,659,"[2, 0, 3, 1, 4, 2, 3, 5, 3, 4, 0, 4, 5, 4, 4]","[2, 0, 3, 1, 4, 2, 3, 5, 3, 4, 0, 4, 5, 4, 4]","[0, 75, 165, 195, 255, 300, 360, 405, 450, 480, 510, 585, 615, 630, 645]"
2022-07-05,731,649,"[3, 2, 1, 0, 0, 0, 1, 0, 3, 5, 0]","[3, 2, 1, 0, 0, 0, 1, 0, 3, 5, 0]","[0, 30, 90, 150, 225, 285, 360, 420, 495, 540, 570]"
2022-07-06,931,627,"[0, 0, 7, 5, 7, 0, 5, 1, 0, 0, 3, 0, 0, 3, 0]","[0, 0, 7, 5, 7, 0, 5, 1, 0, 0, 3, 0, 0, 3, 0]","[0, 75, 135, 195, 210, 270, 330, 345, 390, 435, 480, 495, 540, 570, 600]"
2022-07-06,980,621,"[7, 0, 4, 0, 0, 0, 3, 4, 7, 0, 0, 0, 0, 1, 0]","[7, 0, 4, 0, 0, 0, 3, 4, 7, 0, 0, 0, 0, 1, 0]","[0, 45, 120, 135, 195, 240, 285, 300, 315, 375, 420, 450, 495, 540, 585]"
2022-07-06,1052,638,"[3, 4, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 2, 2]","[3, 4, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 2, 2]","[0, 45, 60, 120, 180, 225, 270, 315, 375, 420, 450, 510, 540, 585, 615]"
2022-07-07,964,653,"[4, 0, 5, 4, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0]","[4, 0, 5, 4, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0]","[0, 30, 105, 135, 150, 210, 255, 315, 360, 420, 480, 525, 555, 615]"
2022-07-07,970,641,"[4, 4, 0, 4, 1, 0, 0, 1, 3, 0, 3, 0, 2, 0, 0]","[4, 4, 0, 4, 1, 0, 0, 1, 3, 0, 3, 0, 2, 0, 0]","[0, 30, 60, 120, 135, 195, 240, 300, 345, 375, 435, 450, 510, 540, 600]"
2022-07-07,935,654,"[7, 4, 0, 2, 3, 0, 0, 4, 0, 0, 1, 3, 0, 0, 3]","[7, 4, 0, 2, 3, 0, 0, 4, 0, 0, 1, 3, 0, 0, 3]","[0, 45, 60, 135, 180, 210, 255, 315, 345, 405, 465, 510, 540, 585, 645]"
2022-07-08,788,645,"[4, 4, 2, 4, 0, 3, 4, 0, 0, 4, 0, 3, 3, 1, 5]","[4, 4, 2, 4, 0, 3, 4, 0, 0, 4, 0, 3, 3, 1, 5]","[0, 45, 60, 120, 135, 210, 240, 270, 330, 405, 450, 510, 555, 585, 630]"
2022-07-08,802,648,"[5, 4, 3, 1, 0, 0, 5, 3, 0, 2, 0, 5, 3, 3, 3]","[5, 4, 3, 1, 0, 0, 5, 3, 0, 2, 0, 5, 3, 3, 3]","[0, 30, 30, 90, 150, 210, 285, 330, 360, 420, 480, 540, 570, 600, 615]"
2022-07-08,747,644,"[0, 4, 1, 4, 0, 3, 0, 4, 3, 0, 0, 1]","[0, 4, 1, 4, 0, 3, 0, 4, 3, 0, 0, 1]","[0, 105, 120, 180, 195, 270, 315, 375, 420, 450, 525, 600]"
2022-07-09,498,654,"[3, 2, 3, 3, 3, 3, 0, 5, 7, 0]","[3, 2, 3, 3, 3, 3, 0, 5, 7, 0]","[0, 30, 120, 210, 270, 345, 360, 525, 570, 645]"
2022-07-09,549,660,"[4, 5, 1, 4, 1, 3, 6, 3, 1, 0, 2]","[4, 5, 1, 4, 1, 3, 6, 3, 1, 0, 2]","[0, 30, 45, 195, 240, 360, 375, 450, 525, 645, 660]"
2022-07-09,452,660,"[4, 2, 6, 2, 1, 2, 5, 1, 1]","[4, 2, 6, 2, 1, 2, 5, 1, 1]","[0, 30, 120, 180, 270, 390, 480, 540, 645]"
2022-07-10,524,650,"[3, 4, 4, 1, 6, 4, 3, 0, 5, 4, 4, 1]","[3, 4, 4, 1, 6, 4, 3, 0, 5, 4, 4, 1]","[0, 75, 135, 195, 285, 330, 390, 450, 555, 600, 615, 645]"
2022-07-10,542,659,"[2, 1, 1, 1, 3, 3, 1, 4, 4, 2]","[2, 1, 1, 1, 3, 3, 1, 4, 4, 2]","[0, 105, 210, 300, 390, 450, 510, 615, 630, 660]"
2022-07-10,542,659,"[5, 3, 1, 1, 1, 1, 1, 1, 2]","[5, 3, 1, 1, 1, 1, 1, 1, 2]","[0, 30, 105, 225, 315, 405, 480, 570, 660]"
2022-07-11,819,658,"[1, 0, 1, 5, 5, 3, 0, 0, 5, 0, 4, 1, 3, 1]","[1, 0, 1, 5, 5, 3, 0, 0, 5, 0, 4, 1, 3, 1]","[0, 30, 120, 180, 225, 255, 285, 360, 420, 450, 510, 525, 585, 615]"
2022-07-11,849,654,"[3, 5, 4, 0, 1, 5, 5, 0, 0, 3, 0, 1, 0, 0]","[3, 5, 4, 0, 1, 5, 5, 0, 0, 3, 0, 1, 0, 0]","[0, 30, 45, 75, 165, 210, 240, 270, 330, 390, 435, 480, 540, 600]"
2022-07-11,809,657,"[6, 4, 0, 3, 0, 3, 0, 0, 4, 1, 0, 0, 5, 4]","[6, 4, 0, 3, 0, 3, 0, 0, 4, 1, 0, 0, 5, 4]","[0, 45, 75, 165, 210, 255, 300, 360, 420, 435, 510, 570, 630, 645]"
2022-07-12,839,659,"[1, 0, 4, 5, 0, 0, 4, 0, 5, 4, 4, 0, 0, 4, 3]","[1, 0, 4, 5, 0, 0, 4, 0, 5, 4, 4, 0, 0, 4, 3]","[0, 90, 165, 195, 225, 285, 360, 390, 450, 465, 480, 510, 570, 630, 645]"
2022-07-12,824,660,"[5, 1, 4, 0, 5, 0, 3, 0, 0, 4, 0, 0, 0]","[5, 1, 4, 0, 5, 0, 3, 0, 0, 4, 0, 0, 0]","[0, 30, 90, 135, 195, 225, 285, 330, 390, 450, 480, 540, 600]"
2022-07-12,861,651,"[5, 2, 2, 1, 3, 4, 0, 0, 0, 0, 0, 3, 3, 4, 4]","[5, 2, 2, 1, 3, 4, 0, 0, 0, 0, 0, 3, 3, 4, 4]","[0, 30, 90, 135, 195, 225, 255, 315, 390, 450, 510, 570, 600, 615, 645]"
2022-07-13,972,656,"[1, 1, 0, 0, 5, 4, 3, 0, 3, 0, 0, 2, 2, 1, 0]","[1, 1, 0, 0, 5, 4, 3, 0, 3, 0, 0, 2, 2, 1, 0]","[0, 30, 90, 165, 225, 240, 255, 285, 345, 360, 420, 480, 510, 555, 615]"
2022-07-13,928,660,"[0, 3, 1, 0, 4, 5, 2, 1, 3, 0, 1, 0, 2, 2, 1]","[0, 3, 1, 0, 4, 5, 2, 1, 3, 0, 1, 0, 2, 2, 1]","[0, 30, 75, 135, 180, 210, 225, 270, 330, 360, 420, 465, 525, 585, 615]"
2022-07-13,990,655,"[0, 3, 0, 0, 0, 5, 3, 4, 0, 0, 2, 0, 0, 0, 5]","[0, 3, 0, 0, 0, 5, 3, 4, 0, 0, 2, 0, 0, 0, 5]","[0, 30, 75, 135, 195, 255, 270, 300, 315, 375, 435, 480, 540, 585, 645]"
2022-07-14,907,633,"[7, 1, 0, 5, 5, 1, 3, 0, 5, 0, 3, 0, 1, 0, 0]","[7, 1, 0, 5, 5, 1, 3, 0, 5, 0, 3, 0, 1, 0, 0]","[0, 45, 105, 165, 180, 195, 240, 270, 345, 360, 405, 420, 480, 540, 585]"
2022-07-14,936,647,"[3, 2, 0, 1, 4, 0, 5, 1, 0, 2, 0, 0, 0, 4, 3]","[3, 2, 0, 1, 4, 0, 5, 1, 0, 2, 0, 0, 0, 4, 3]","[0, 45, 90, 150, 195, 210, 270, 285, 345, 405, 450, 510, 555, 615, 630]"
2022-07-14,933,657,"[3, 3, 0, 0, 5, 0, 0, 3, 2, 0, 1, 0, 1, 3, 5]","[3, 3, 0, 0, 5, 0, 0, 3, 2, 0, 1, 0, 1, 3, 5]","[0, 45, 90, 150, 195, 210, 270, 330, 360, 420, 465, 525, 585, 630, 645]"
2022-07-15,649,660,"[2, 4, 3, 4, 4, 5, 0, 0, 5, 0, 3, 1, 5]","[2, 4, 3, 4, 4, 5, 0, 0, 5, 0, 3, 1, 5]","[0, 30, 45, 105, 150, 195, 240, 315, 420, 435, 510, 555, 645]"
2022-07-15,705,660,"[4, 3, 3, 3, 1, 0, 5, 4, 4, 3, 2, 5, 0, 3, 4]","[4, 3, 3, 3, 1, 0, 5, 4, 4, 3, 2, 5, 0, 3, 4]","[0, 30, 75, 135, 195, 255, 345, 375, 405, 450, 480, 510, 510, 600, 645]"
2022-07-15,674,660,"[2, 1, 1, 3, 5, 0, 0, 2, 0, 5, 3, 5]","[2, 1, 1, 3, 5, 0, 0, 2, 0, 5, 3, 5]","[0, 30, 135, 210, 270, 300, 390, 480, 495, 570, 615, 645]"
2022-07-16,594,646,"[4, 6, 1, 0, 4, 2, 2, 4, 3, 0, 0]","[4, 6, 1, 0, 4, 2, 2, 4, 3, 0, 0]","[0, 45, 75, 195, 330, 345, 435, 525, 585, 630, 645]"
2022-07-16,543,659,"[1, 4, 5, 6, 1, 1, 4, 2, 0, 0]","[1, 4, 5, 6, 1, 1, 4, 2, 0, 0]","[0, 150, 195, 240, 285, 390, 495, 555, 630, 645]"
2022-07-16,518,659,"[4, 2, 6, 2, 5, 1, 3, 5, 4, 1, 0]","[4, 2, 6, 2, 5, 1, 3, 5, 4, 1, 0]","[0, 45, 150, 210, 285, 330, 435, 495, 510, 570, 645]"
2022-07-17,516,653,"[5, 4, 3, 3, 4, 1, 4, 2, 7, 1, 0]","[5, 4, 3, 3, 4, 1, 4, 2, 7, 1, 0]","[0, 30, 90, 105, 120, 210, 375, 435, 555, 630, 645]"
2022-07-17,554,658,"[3, 5, 2, 5, 1, 7, 0, 2, 0, 0]","[3, 5, 2, 5, 1, 7, 0, 2, 0, 0]","[0, 75, 135, 300, 375, 525, 615, 630, 630, 645]"
2022-07-17,674,655,"[5, 4, 3, 3, 6, 3, 5, 1, 2, 0, 0, 0, 2]","[5, 4, 3, 3, 6, 3, 5, 1, 2, 0, 0, 0, 2]","[0, 30, 90, 105, 120, 165, 255, 315, 480, 600, 615, 630, 645]"
2022-07-18,655,643,"[3, 6, 4, 1, 0, 0, 0, 0, 0, 1]","[3, 6, 4, 1, 0, 0, 0, 0, 0, 1]","[0, 15, 60, 105, 195, 270, 345, 435, 525, 600]"
2022-07-18,721,658,"[3, 3, 3, 1, 4, 4, 3, 0, 5, 4, 4, 1, 3, 1, 3]","[3, 3, 3, 1, 4, 4, 3, 0, 5, 4, 4, 1, 3, 1, 3]","[0, 15, 90, 150, 210, 240, 285, 315, 405, 435, 465, 495, 555, 585, 645]"
2022-07-18,704,656,"[5, 7, 4, 1, 0, 2, 2, 0, 3, 3, 4, 3, 4, 5, 3]","[5, 7, 4, 1, 0, 2, 2, 0, 3, 3, 4, 3, 4, 5, 3]","[0, 15, 60, 105, 195, 270, 330, 390, 465, 510, 540, 555, 585, 615, 630]"
2022-07-19,995,636,"[0, 0, 0, 0, 1, 1, 5, 0, 0, 0, 5, 0, 0, 3]","[0, 0, 0, 0, 1, 1, 5, 0, 0, 0, 5, 0, 0, 3]","[0, 90, 165, 225, 270, 300, 315, 330, 390, 450, 495, 510, 570, 615]"
2022-07-19,944,648,"[1, 3, 0, 0, 2, 1, 1, 1, 3, 0, 3, 2, 1, 4, 1]","[1, 3, 0, 0, 2, 1, 1, 1, 3, 0, 3, 2, 1, 4, 1]","[0, 75, 120, 180, 255, 300, 315, 345, 360, 405, 450, 480, 525, 585, 615]"
2022-07-19,984,610,"[4, 5, 0, 2, 0, 1, 1, 0, 1, 1, 4, 2, 0, 0, 0]","[4, 5, 0, 2, 0, 1, 1, 0, 1, 1, 4, 2, 0, 0, 0]","[0, 30, 60, 150, 210, 270, 285, 300, 360, 375, 390, 420, 450, 510, 570]"
2022-07-20,1068,655,"[1, 7, 0, 0, 0, 0, 0, 2, 0, 5, 0, 0, 0, 1, 1]","[1, 7, 0, 0, 0, 0, 0, 2, 0, 5, 0, 0, 0, 1, 1]","[0, 30, 75, 135, 180, 225, 285, 330, 375, 420, 435, 480, 525, 570, 615]"
2022-07-20,1028,609,"[1, 1, 0, 0, 0, 4, 2, 0, 0, 3, 0, 0, 2, 3, 1]","[1, 1, 0, 0, 0, 4, 2, 0, 0, 3, 0, 0, 2, 3, 1]","[0, 30, 45, 120, 180, 225, 240, 300, 345, 405, 420, 465, 510, 555, 570]"
