日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,7988.0,655.0,"[5, 5, 3, 4, 6, 4, 5, 2, 3, 4, 4, 2, 3, 5, 3, 3, 4, 1, 3, 4]","[5, 3, 4, 6, 4, 5, 2, 3, 4, 2, 3, 5, 3, 4, 1, 3, 4]","[0, 30, 90, 135, 210, 225, 270, 330, 360, 405, 465, 495, 525, 555, 585, 615, 645]"
2022-07-01,7025.0,606.0,"[6, 6, 3, 3, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[6, 6, 3, 3, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 45, 75, 120, 165, 240, 315, 375, 450, 510, 525, 540, 555, 585, 600]"
2022-07-01,7060.0,656.0,"[3, 4, 1, 0, 0, 0, 0, 2, 2, 3, 1, 1, 1, 1, 6]","[3, 4, 1, 0, 0, 0, 0, 2, 2, 3, 1, 1, 1, 1, 6]","[0, 45, 75, 135, 210, 270, 345, 420, 465, 525, 540, 570, 585, 600, 615]"
2022-07-01,6567.0,632.0,"[0, 5, 1, 0, 0, 7, 0, 5, 0, 1, 1, 4, 1, 1]","[0, 5, 1, 0, 0, 7, 0, 5, 0, 1, 1, 4, 1, 1]","[0, 120, 150, 195, 255, 330, 390, 450, 465, 540, 555, 570, 600, 615]"
2022-07-01,7066.0,630.0,"[3, 0, 1, 3, 1, 0, 4, 3, 0, 3, 1, 1, 3, 1, 2]","[3, 0, 1, 3, 1, 0, 4, 3, 0, 3, 1, 1, 3, 1, 2]","[0, 45, 165, 225, 255, 315, 375, 390, 420, 495, 510, 525, 540, 570, 585]"
2022-07-01,7042.0,655.0,"[1, 6, 0, 2, 0, 0, 2, 7, 1, 1, 1, 5, 3, 1, 4]","[1, 6, 0, 2, 0, 0, 2, 7, 1, 1, 1, 5, 3, 1, 4]","[0, 90, 150, 225, 285, 345, 420, 465, 525, 540, 555, 570, 600, 615, 645]"
2022-07-01,7023.0,630.0,"[1, 2, 1, 2, 3, 1, 3, 3, 0, 0, 1, 5, 4, 1, 5]","[1, 2, 1, 2, 3, 1, 3, 3, 0, 0, 1, 5, 4, 1, 5]","[0, 90, 150, 195, 255, 285, 345, 390, 405, 465, 540, 555, 570, 600, 615]"
2022-07-01,7030.0,637.0,"[6, 0, 3, 0, 3, 3, 0, 0, 1, 1, 1, 1, 1, 5, 3]","[6, 0, 3, 0, 3, 3, 0, 0, 1, 1, 1, 1, 1, 5, 3]","[0, 45, 165, 210, 270, 300, 345, 420, 480, 540, 555, 570, 585, 600, 615]"
2022-07-01,7072.0,634.0,"[7, 7, 5, 0, 0, 3, 1, 3, 4, 0, 0, 1, 0, 1, 1]","[7, 7, 5, 0, 0, 3, 1, 3, 4, 0, 0, 1, 0, 1, 1]","[0, 45, 90, 120, 195, 255, 285, 345, 375, 390, 450, 525, 540, 600, 615]"
2022-07-01,7030.0,631.0,"[3, 2, 3, 5, 5, 4, 1, 0, 1, 3, 4, 1, 0, 1, 1]","[3, 2, 3, 5, 5, 4, 1, 0, 1, 3, 4, 1, 0, 1, 1]","[0, 45, 120, 165, 180, 210, 225, 285, 345, 420, 450, 465, 540, 600, 615]"
2022-07-01,7020.0,648.0,"[5, 1, 5, 1, 4, 0, 0, 0, 5, 0, 3, 3, 1, 1, 0]","[5, 1, 5, 1, 4, 0, 0, 0, 5, 0, 3, 3, 1, 1, 0]","[0, 30, 105, 135, 195, 210, 270, 345, 420, 435, 495, 525, 540, 570, 585]"
2022-07-01,7029.0,632.0,"[3, 2, 0, 0, 2, 0, 0, 4, 5, 5, 5, 1, 0, 1, 1]","[3, 2, 0, 0, 2, 0, 0, 4, 5, 5, 5, 1, 0, 1, 1]","[0, 45, 120, 195, 240, 300, 360, 435, 450, 480, 495, 525, 540, 600, 615]"
2022-07-01,7095.0,653.0,"[4, 4, 5, 0, 4, 0, 0, 0, 0, 0, 3, 1, 1, 1, 4]","[4, 4, 5, 0, 4, 0, 0, 0, 0, 0, 3, 1, 1, 1, 4]","[0, 30, 45, 75, 210, 225, 285, 345, 420, 480, 555, 570, 600, 615, 630]"
2022-07-01,6601.0,628.0,"[0, 1, 7, 3, 0, 0, 4, 1, 4, 1, 1, 1, 1, 2]","[0, 1, 7, 3, 0, 0, 4, 1, 4, 1, 1, 1, 1, 2]","[0, 120, 180, 225, 255, 330, 405, 435, 495, 510, 525, 555, 570, 585]"
2022-07-01,7035.0,653.0,"[5, 0, 7, 0, 3, 0, 1, 2, 3, 3, 1, 1, 5, 1, 0]","[5, 0, 7, 0, 3, 0, 1, 2, 3, 3, 1, 1, 5, 1, 0]","[0, 30, 150, 210, 255, 285, 345, 420, 480, 495, 510, 540, 555, 570, 585]"
2022-07-01,7074.0,631.0,"[1, 2, 4, 1, 4, 4, 3, 3, 1, 1, 3, 3, 0, 3, 1]","[1, 2, 4, 1, 4, 4, 3, 3, 1, 1, 3, 3, 0, 3, 1]","[0, 90, 150, 180, 240, 270, 285, 330, 375, 420, 480, 510, 525, 600, 615]"
2022-07-01,7069.0,655.0,"[5, 3, 4, 3, 4, 3, 0, 1, 0, 1, 2, 0, 1, 1, 4]","[5, 3, 4, 3, 4, 3, 0, 1, 0, 1, 2, 0, 1, 1, 4]","[0, 30, 75, 120, 165, 195, 225, 285, 345, 420, 495, 540, 600, 615, 645]"
2022-07-01,7024.0,646.0,"[5, 4, 4, 0, 0, 1, 1, 5, 0, 5, 1, 0, 3, 1, 3]","[5, 4, 4, 0, 0, 1, 1, 5, 0, 5, 1, 0, 3, 1, 3]","[0, 30, 45, 75, 210, 255, 315, 390, 420, 480, 510, 525, 585, 615, 630]"
2022-07-01,7053.0,635.0,"[1, 1, 3, 0, 0, 2, 4, 5, 3, 0, 3, 3, 1, 3, 1]","[1, 1, 3, 0, 0, 2, 4, 5, 3, 0, 3, 3, 1, 3, 1]","[0, 90, 165, 210, 255, 345, 405, 420, 435, 465, 525, 555, 570, 585, 615]"
2022-07-01,7104.0,651.0,"[0, 0, 0, 4, 3, 4, 0, 4, 0, 1, 3, 1, 1, 2, 3]","[0, 0, 0, 4, 3, 4, 0, 4, 0, 1, 3, 1, 1, 2, 3]","[0, 120, 195, 240, 285, 330, 360, 435, 450, 510, 525, 555, 570, 585, 645]"
2022-07-01,7084.0,656.0,"[0, 5, 0, 0, 0, 3, 3, 0, 0, 3, 3, 3, 3, 3, 3]","[0, 5, 0, 0, 0, 3, 3, 0, 0, 3, 3, 3, 3, 3, 3]","[0, 120, 150, 225, 285, 345, 375, 405, 465, 525, 555, 570, 600, 615, 645]"
2022-07-01,7056.0,649.0,"[0, 1, 4, 5, 0, 5, 0, 1, 4, 0, 4, 0, 1, 1, 3]","[0, 1, 4, 5, 0, 5, 0, 1, 4, 0, 4, 0, 1, 1, 3]","[0, 120, 180, 195, 225, 285, 300, 360, 435, 450, 510, 540, 600, 615, 645]"
2022-07-01,7077.0,603.0,"[4, 1, 3, 1, 0, 3, 4, 0, 0, 0, 1, 1, 3, 1, 3]","[4, 1, 3, 1, 0, 3, 4, 0, 0, 0, 1, 1, 3, 1, 3]","[0, 30, 105, 150, 195, 255, 285, 315, 375, 450, 510, 525, 540, 570, 585]"
